transform,E_interface,interface_energy,expected_pair_count,consumed_pair_count,pair_count_ok,orientation_reversing_pair_count
RC0,0.0,1.2839170935185423e-05,105344,105344,True,0
RC1,8.99265912922513e-16,1.2839170935185421e-05,105344,105344,True,0
RC2,1.3948670028773022e-15,1.2839170935185421e-05,105344,105344,True,0
RC3,1.2054063129473219e-15,1.2839170935185423e-05,105344,105344,True,0
RC4,1.330345244221303e-15,1.2839170935185423e-05,105344,105344,True,32768
RC5,1.3738822090496204e-15,1.2839170935185423e-05,105344,105344,True,36288
RC6,8.99265912922513e-16,1.2839170935185423e-05,105344,105344,True,36288
