x0,y0,x_final,y_final,max_deviation,bending_angle
-7.993303571428571175e+00,-2.986607142857142794e+00,-3.208455576161935774e+00,-2.971444857505803228e+00,1.516228535133956612e-02,8.846287651416584463e-02
-7.979910714285714413e+00,-2.986607142857142794e+00,-3.195053255922324809e+00,-2.972207621646754117e+00,1.439952121038867716e-02,8.802498814796197446e-02
-7.966517857142857650e+00,-2.986607142857142794e+00,-3.181689318309607106e+00,-2.969148516244269231e+00,1.745862661287356232e-02,9.027711257474861639e-02
-7.953125000000000000e+00,-2.986607142857142794e+00,-3.168280640217474353e+00,-2.971157487156237398e+00,1.544965570090539586e-02,9.136640971549132850e-02
-7.939732142857142350e+00,-2.986607142857142794e+00,-3.154901057159584798e+00,-2.967442603465480389e+00,1.916453939166240517e-02,9.014618361167460459e-02
-7.926339285714285587e+00,-2.986607142857142794e+00,-3.141514613274223322e+00,-2.966196342007497933e+00,2.041080084964486119e-02,9.119531088200978630e-02
-7.912946428571428825e+00,-2.986607142857142794e+00,-3.128086732947003235e+00,-2.972353056022376094e+00,1.425408683476669935e-02,9.101277255819680001e-02
-7.899553571428571175e+00,-2.986607142857142794e+00,-3.114669554190529599e+00,-2.979527124006191574e+00,7.227611738660488783e-03,9.265951196448417304e-02
-7.886160714285714413e+00,-2.986607142857142794e+00,-3.101287750496799944e+00,-2.975879011552189368e+00,1.072813130495342548e-02,9.136489032622215067e-02
-7.872767857142857650e+00,-2.986607142857142794e+00,-3.087927960379565739e+00,-2.970756143083574052e+00,1.585099977356874135e-02,9.393823295098446824e-02
-7.859375000000000000e+00,-2.986607142857142794e+00,-3.074545909693403356e+00,-2.968828054223085378e+00,1.777908863405741613e-02,9.387253164708662945e-02
-7.845982142857142350e+00,-2.986607142857142794e+00,-3.061136753945231437e+00,-2.971586759567756086e+00,1.502038328938670730e-02,9.300556990760773524e-02
-7.832589285714285587e+00,-2.986607142857142794e+00,-3.047768656319740810e+00,-2.968855831429571435e+00,1.775131142757135905e-02,9.458254554936201819e-02
-7.819196428571428825e+00,-2.986607142857142794e+00,-3.034355489507708725e+00,-2.969740439782277086e+00,1.686670307486570763e-02,9.174768904332557262e-02
-7.805803571428571175e+00,-2.986607142857142794e+00,-3.020996363771295545e+00,-2.964138347937553597e+00,2.246879491958919672e-02,9.135485067130751091e-02
-7.792410714285714413e+00,-2.986607142857142794e+00,-3.007578048759453448e+00,-2.967769138621513036e+00,1.883800423562975723e-02,9.055277052687368822e-02
-7.779017857142857650e+00,-2.986607142857142794e+00,-2.994150265550723944e+00,-2.975446257873549438e+00,1.116088498359335546e-02,9.211885569269888385e-02
-7.765625000000000000e+00,-2.986607142857142794e+00,-2.980777176387792160e+00,-2.970538573488711087e+00,1.606856936843170658e-02,9.166632679034167341e-02
-7.752232142857142350e+00,-2.986607142857142794e+00,-2.967423095657810705e+00,-2.964340447111553978e+00,2.226669574558881592e-02,9.318585280235265611e-02
-7.738839285714285587e+00,-2.986607142857142794e+00,-2.954062106548560607e+00,-2.959881208143409381e+00,2.672593471373341245e-02,9.499902843637536565e-02
-7.725446428571428825e+00,-2.986607142857142794e+00,-2.940689443548004878e+00,-2.956095539557593188e+00,3.051160329954960559e-02,9.565375775934438496e-02
-7.712053571428571175e+00,-2.986607142857142794e+00,-2.927314526647998960e+00,-2.953995520407984632e+00,3.261162244915816188e-02,9.913437857884822846e-02
-7.698660714285714413e+00,-2.986607142857142794e+00,-2.913934461702828216e+00,-2.951268366091208684e+00,3.533877676593411010e-02,9.730762525071763591e-02
-7.685267857142857650e+00,-2.986607142857142794e+00,-2.900534120958457418e+00,-2.950288388271586015e+00,3.631875458555677838e-02,9.470313177602256161e-02
-7.671875000000000000e+00,-2.986607142857142794e+00,-2.887144867985128371e+00,-2.949950332963700461e+00,3.665680989344233254e-02,9.667178554952160496e-02
-7.658482142857142350e+00,-2.986607142857142794e+00,-2.873704178284290478e+00,-2.955814539098254645e+00,3.079260375888814849e-02,9.889149994281429268e-02
-7.645089285714285587e+00,-2.986607142857142794e+00,-2.860293596171994412e+00,-2.958288683829856769e+00,2.831845902728602482e-02,1.006380494667310083e-01
-7.631696428571428825e+00,-2.986607142857142794e+00,-2.846938745274202986e+00,-2.953952564553641302e+00,3.265457830350149138e-02,1.009856851545614109e-01
-7.618303571428571175e+00,-2.986607142857142794e+00,-2.833593634130539218e+00,-2.950094613284844236e+00,3.651252957229855767e-02,1.049309984013137576e-01
