architecture_family,attenuation_log,attenuation_score,closest_ratio_value,closest_stable_ratio,cluster,cluster_id,coherence_length,dispersion_class,energy_final,energy_initial,group_velocity_normalized,helicity,laboratory_id,longitudinal_energy_fraction,longitudinal_score,mode_conversion_fraction,mode_stability,model,number_of_wave_modes,perturbation,phase_velocity_normalized,polarization_axis,polarization_like,propagating_score,relative_distance_to_3alpha,relative_distance_to_alpha,spatial_dimension,standing_score,transverse_1_energy_fraction,transverse_2_energy_fraction,transverse_score
D5 (frozen),,0.0,0.014594705138567603,2*alpha_fs,Abell2744,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4961659397372029,,0.9641788058770147,,1,,0.0,,0.01497409906572178,0.0,inf,inf,,0.0,,,0.0
D5 (frozen),,0.0,0.021892057707851405,3*alpha_fs,MACS0416,,7.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.494785362144733,,0.9639037492525464,,1,,0.0,,0.023877855351306265,0.0,inf,inf,,0.0,,,0.0
D5 (frozen),,0.0,0.014594705138567603,2*alpha_fs,MACS1149,,4.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49170536690861893,,0.9635411097263976,,1,,0.0,,0.041069445234037105,0.0,inf,inf,,0.0,,,0.0
D5 (frozen),,0.0,0.014594705138567603,2*alpha_fs,AbellS1063,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4957220396875297,,0.9636230324153767,,1,,0.0,,0.021699559262381096,0.0,inf,inf,,0.0,,,0.0
D5 (frozen),,0.0,0.014594705138567603,2*alpha_fs,Abell370,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4970609734425989,,0.9644159707479819,,1,,0.0,,0.012139668737328302,0.0,inf,inf,,0.0,,,0.0
D6 (coupling_direction),,0.0,0.014594705138567603,2*alpha_fs,Abell2744,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4971811453162097,,0.9923577732827703,,2,,0.0,,0.011088333664734829,0.0,inf,inf,,0.0,,,0.5691320338636878
D6 (coupling_direction),,0.0,0.021892057707851405,3*alpha_fs,MACS0416,,7.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.496175089558348,,0.9945006525523772,,2,,0.0,,0.017665289121023497,0.0,inf,inf,,0.0,,,0.6346099885607832
D6 (coupling_direction),,0.0,0.014594705138567603,2*alpha_fs,MACS1149,,4.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4939823309730831,,0.9966308128463334,,2,,0.0,,0.030181801050117474,0.0,inf,inf,,0.0,,,0.7077421320368511
D6 (coupling_direction),,0.0,0.014594705138567603,2*alpha_fs,AbellS1063,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4968517314849658,,0.996721301066866,,2,,0.0,,0.016072184222226005,0.0,inf,inf,,0.0,,,0.7004637858035192
D6 (coupling_direction),,0.0,0.014594705138567603,2*alpha_fs,Abell370,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49783641884597757,,0.9893364997129319,,2,,0.0,,0.00898150504281281,0.0,inf,inf,,0.0,,,0.4914914549691282
