laboratory_id,cluster,pbuf_lane,observable,smoothing_state,comparison_mode,pearson,spearman,ssim,mean_difference,rms_difference,normalized_rms_difference,amplitude_ratio,variance_ratio,sign_agreement,radial_difference,peak_common_fraction,multipole_distance,power_spectrum_distance,neighbourhood_class,aggregate_class,nearest_alpha_multiple,alpha_input_dependency
PBUF SAME-INPUT LCDM/GR-C10-A8 BENCHMARK-LAB-001,Abell2744,L2_c10,kappa,S0,C1_direct_vs_L1_padded,0.14201737282603594,0.0846896864915263,0.0049905185412741524,-0.05541861414816566,0.17126735955354508,0.6640079526164822,0.46018004488200404,0.09003676329113594,0.4479166666666667,0.5843941322955967,0.0,24.604228594808973,1.079781530064064,N3,G3,indirect,indirect
PBUF SAME-INPUT LCDM/GR-C10-A8 BENCHMARK-LAB-001,Abell2744,L2_c10,kappa,S1,C1_direct_vs_L1_padded,0.038846275773895475,0.04374198864676799,-0.010544908596430407,-0.07030474435361309,0.10588919399377256,0.7554842030778675,0.917493047538608,0.15905491505538139,0.453125,0.5843941322955967,0.0,24.604228594808973,1.079781530064064,N3,G3,indirect,indirect
PBUF SAME-INPUT LCDM/GR-C10-A8 BENCHMARK-LAB-001,Abell2744,L3_a8_t1,kappa,S0,C1_direct_vs_L1_padded,0.2519540490312848,0.20565930819960695,0.000696265472963193,-0.05647724862833251,0.16647397149647228,0.6454238639835391,0.46031314865566375,0.09008551105506461,0.4340277777777778,0.588327407430626,0.047619047619047616,28.303068657514604,1.0502997665841785,N3,G3,indirect,indirect
PBUF SAME-INPUT LCDM/GR-C10-A8 BENCHMARK-LAB-001,Abell2744,L3_a8_t1,kappa,S1,C1_direct_vs_L1_padded,0.14752879977159905,0.17635277421717635,-0.030108736917251088,-0.07091454949248813,0.10326733368016883,0.7367781012095229,0.9301341145233293,0.16383932552777059,0.4296875,0.588327407430626,0.047619047619047616,28.303068657514604,1.0502997665841785,N3,G3,indirect,indirect
PBUF SAME-INPUT LCDM/GR-C10-A8 BENCHMARK-LAB-001,MACS0416,L2_c10,kappa,S0,C1_direct_vs_L1_padded,0.2528293435030616,0.25735545294157836,-0.010797925543634694,-0.08870509819621722,0.18580914406278654,0.7396923530669417,0.5938910121811063,0.09571629466100047,0.4791666666666667,0.45126744552210624,0.06666666666666667,59.275640507280315,0.9378012494438668,N3,G3,indirect,indirect
PBUF SAME-INPUT LCDM/GR-C10-A8 BENCHMARK-LAB-001,MACS0416,L2_c10,kappa,S1,C1_direct_vs_L1_padded,0.269601628041665,0.24776254349020327,-0.01988289194982133,-0.0990795429601081,0.1305832361536898,1.0217692265015519,1.1173987128527683,0.12013256674785251,0.515625,0.45126744552210624,0.06666666666666667,59.275640507280315,0.9378012494438668,N3,G3,indirect,indirect
PBUF SAME-INPUT LCDM/GR-C10-A8 BENCHMARK-LAB-001,MACS0416,L3_a8_t1,kappa,S0,C1_direct_vs_L1_padded,0.3644889864202237,0.35615724051457026,-0.008941389769589381,-0.08769342026360744,0.20224226477839402,0.8051113817787545,0.5140384178466173,0.07168987188038713,0.4722222222222222,0.49320119892580916,0.13333333333333333,59.125839136414115,0.8891315241202399,N3,G3,indirect,indirect
PBUF SAME-INPUT LCDM/GR-C10-A8 BENCHMARK-LAB-001,MACS0416,L3_a8_t1,kappa,S1,C1_direct_vs_L1_padded,0.34339850767424285,0.31286051089544037,-0.02047485735000758,-0.09872400141873347,0.1375185156594466,1.0760354201179287,0.966882529178926,0.08983266331071872,0.4609375,0.49320119892580916,0.13333333333333333,59.125839136414115,0.8891315241202399,N3,G3,indirect,indirect
PBUF SAME-INPUT LCDM/GR-C10-A8 BENCHMARK-LAB-001,MACS1149,L2_c10,kappa,S0,C1_direct_vs_L1_padded,0.21088311696503098,0.16532236998099095,0.12151367825437759,-0.018981609389716738,0.07396643693035387,0.5706679881746001,0.6501725383340882,0.22477519989929198,0.4201388888888889,0.18229037016983002,0.0,16.64937643085409,1.3755964966677945,N3,G3,indirect,indirect
PBUF SAME-INPUT LCDM/GR-C10-A8 BENCHMARK-LAB-001,MACS1149,L2_c10,kappa,S1,C1_direct_vs_L1_padded,0.6022444891747951,0.3306743270463285,0.45580445096159355,-0.008020924154333928,0.02870722503675945,0.34231714463824475,0.7684914102833755,0.29158620342875935,0.6015625,0.18229037016983002,0.0,16.64937643085409,1.3755964966677945,N3,G3,indirect,indirect
PBUF SAME-INPUT LCDM/GR-C10-A8 BENCHMARK-LAB-001,MACS1149,L3_a8_t1,kappa,S0,C1_direct_vs_L1_padded,0.23662895121166677,0.212561136362723,0.14235951991586637,-0.014791086420591888,0.08404410387911755,0.648419494963547,0.544626005298248,0.15889819419960227,0.4270833333333333,0.14724115539732635,0.0,16.706821777245324,1.2503287280834996,N3,G3,indirect,indirect
PBUF SAME-INPUT LCDM/GR-C10-A8 BENCHMARK-LAB-001,MACS1149,L3_a8_t1,kappa,S1,C1_direct_vs_L1_padded,0.5986060749877309,0.3741874198864677,0.4326057756064212,-0.004072533159756268,0.03529266176312518,0.42084468930613644,0.6139476201703685,0.18804989408868306,0.609375,0.14724115539732635,0.0,16.706821777245324,1.2503287280834996,N3,G3,indirect,indirect
