laboratory_id,candidate_a,candidate_b,cluster,normalization,representation_transform,trajectory_correlation,derivative_correlation,normalized_rms_distance,sign_agreement,turning_point_agreement,wave_mode_equivalence,exchange_cycle_difference,state_space_geometry_difference,equivalence_level,nearest_alpha_ratio,nearest_inverse_alpha_ratio
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R1,0.9999858702051462,0.9999857548852699,0.007276294796535041,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R2,0.9999858702051462,0.9999857548852699,0.007276294796535041,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R3,0.9999999852734908,0.9999857548852695,0.007276294796535015,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R4,0.9999858702051462,0.9999857548852699,0.007276294796535041,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R5,-1.0,-1.0,1.9999999999999998,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R6,-1.0,-1.0,1.9999999999999998,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R1,0.9999858702051464,0.9999857548852695,0.007276294796535042,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R2,0.9999858702051464,0.9999857548852695,0.007276294796535042,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R3,0.9999989882997503,0.9999857548852698,0.007276294796535042,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R4,0.9999858702051464,0.9999857548852695,0.007276294796535042,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
