laboratory_id,candidate_family,conserved_quantity,wave_families_median,memory_strength_median,fast_slow_exchange_median,emergent_phase,emergent_orientation,multiplicative_behaviour,closest_stable_ratio,relative_distance_to_alpha,relative_distance_to_3alpha,equivalence_class_id,highest_equivalence_level,equivalent_to,mapping_type,trajectory_correlation,derivative_correlation,wave_mode_equivalent,exchange_cycle_equivalent
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T5,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T6,T9,T10",fixed transformation R1-R6,0.997480623622221,0.9959576288421015,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T6,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T5,T9,T10",fixed transformation R1-R6,0.997480623622221,0.9959576288421015,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T9,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 4 (representation equivalence),"T1,T4,T5,T6,T10",fixed transformation R1-R6,0.9999396699328549,0.9999139896694282,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T10,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T5,T6,T9",fixed transformation R1-R6,0.979912467666957,0.9636324626578328,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 4 (representation equivalence),"T4,T5,T6,T9,T10",fixed transformation R1-R6,0.9999327913237899,0.9999323817364003,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T4,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 4 (representation equivalence),"T1,T5,T6,T9,T10",fixed transformation R1-R6,0.9999396699328549,0.9999139896694282,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T5,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T6,T9,T10",fixed transformation R1-R6,0.997480623622221,0.9959576288421015,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T6,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T5,T9,T10",fixed transformation R1-R6,0.997480623622221,0.9959576288421015,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T9,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 4 (representation equivalence),"T1,T4,T5,T6,T10",fixed transformation R1-R6,0.9999396699328549,0.9999139896694282,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T10,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T5,T6,T9",fixed transformation R1-R6,0.979912467666957,0.9636324626578328,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 4 (representation equivalence),"T4,T5,T6,T9,T10",fixed transformation R1-R6,0.9999327913237899,0.9999323817364003,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T4,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 4 (representation equivalence),"T1,T5,T6,T9,T10",fixed transformation R1-R6,0.9999396699328549,0.9999139896694282,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T5,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T6,T9,T10",fixed transformation R1-R6,0.997480623622221,0.9959576288421015,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T6,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T5,T9,T10",fixed transformation R1-R6,0.997480623622221,0.9959576288421015,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T9,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 4 (representation equivalence),"T1,T4,T5,T6,T10",fixed transformation R1-R6,0.9999396699328549,0.9999139896694282,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T10,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T5,T6,T9",fixed transformation R1-R6,0.979912467666957,0.9636324626578328,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 4 (representation equivalence),"T4,T5,T6,T9,T10",fixed transformation R1-R6,0.9999327913237899,0.9999323817364003,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T4,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 4 (representation equivalence),"T1,T5,T6,T9,T10",fixed transformation R1-R6,0.9999396699328549,0.9999139896694282,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T5,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T6,T9,T10",fixed transformation R1-R6,0.997480623622221,0.9959576288421015,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T6,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T5,T9,T10",fixed transformation R1-R6,0.997480623622221,0.9959576288421015,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T9,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 4 (representation equivalence),"T1,T4,T5,T6,T10",fixed transformation R1-R6,0.9999396699328549,0.9999139896694282,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T10,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T5,T6,T9",fixed transformation R1-R6,0.979912467666957,0.9636324626578328,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 4 (representation equivalence),"T4,T5,T6,T9,T10",fixed transformation R1-R6,0.9999327913237899,0.9999323817364003,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T4,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 4 (representation equivalence),"T1,T5,T6,T9,T10",fixed transformation R1-R6,0.9999396699328549,0.9999139896694282,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T5,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T6,T9,T10",fixed transformation R1-R6,0.997480623622221,0.9959576288421015,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T6,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T5,T9,T10",fixed transformation R1-R6,0.997480623622221,0.9959576288421015,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T9,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 4 (representation equivalence),"T1,T4,T5,T6,T10",fixed transformation R1-R6,0.9999396699328549,0.9999139896694282,True,False
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T10,see invariants lab,0,0.0,0.0,0.0,0.0,0.0,1/pi,0.743,0.743,class_T1_T10_T4_T5_T6_T9,Level 3 (dynamical equivalence),"T1,T4,T5,T6,T9",fixed transformation R1-R6,0.979912467666957,0.9636324626578328,True,False
