cluster_id,candidate_id,physical_source_representation,geometry_lane,observer_order,observer_channels,benchmark_role,n_photons,source_supported_bins,checkpoint_count,g3d_unit_speed_max_error,g3d_unit_speed_pass,first_step_exact_max_vector_error,first_step_exact_pass,los_mag_vs_observed_pearson,los_mag_vs_observed_spearman,final_position_full3d_metric_trace_identity_relative_rms_error,final_position_projection_metric_identity_relative_rms_error,final_direction_full3d_metric_trace_identity_relative_rms_error,final_direction_projection_metric_identity_relative_rms_error,final_observer_tangent_metric_trace_identity_relative_rms_error,final_position_full3d_stretch_gap_vs_observed_pearson,final_position_projected2d_stretch_gap_vs_observed_pearson,final_direction_full3d_principal_stretch_high_vs_observed_pearson,final_direction_full3d_principal_stretch_low_vs_observed_pearson,final_direction_full3d_area_scale_vs_observed_pearson,final_direction_full3d_stretch_gap_vs_observed_pearson,final_direction_full3d_metric_frobenius_mag_vs_observed_pearson,final_direction_projected2d_principal_stretch_high_vs_observed_pearson,final_direction_projected2d_principal_stretch_low_vs_observed_pearson,final_direction_projected2d_area_scale_vs_observed_pearson,final_direction_projected2d_stretch_gap_vs_observed_pearson,final_direction_projected2d_metric_frobenius_mag_vs_observed_pearson,final_direction_z_gradient_mag_vs_observed_pearson,final_direction_projection_metric_loss_frobenius_mag_vs_observed_pearson,final_direction_transverse_mag_vs_observed_pearson,final_observer_tangent_angle_mag_vs_observed_pearson,final_observer_tangent_principal_stretch_high_vs_observed_pearson,final_observer_tangent_principal_stretch_low_vs_observed_pearson,final_observer_tangent_area_scale_vs_observed_pearson,final_observer_tangent_stretch_gap_vs_observed_pearson,final_observer_tangent_metric_frobenius_mag_vs_observed_pearson
Abell2744,PL1_PM1_PS2,M10_interface_field,G3D_LOS_consistent_diagnostic,full_3d_position_plus_direction_then_fixed_xy_projection,position_and_direction_kept_separate_no_arbitrary_weighting,external_morphology_comparison_only,71289,1024,9,2.220446049250313e-16,True,4.902191892490871e-16,True,0.7697236967097444,0.671986686945565,2.4292342153401755e-17,4.7860286906618143e-17,4.799645127815538e-17,4.1007521685232436e-17,3.786103228275151e-17,0.6315208119645077,0.6315208164078676,0.7006357289252982,0.5297385887169487,0.47802247783538937,0.5741174641207609,0.6635611359209125,0.7006355021331865,0.5297377632152088,0.47802227237142936,0.5741174099638908,0.6635614850182908,0.5847574272753595,nan,0.7790770389652775,0.7790774766991165,0.7006364537284582,0.5297378225293111,0.47801973554905247,0.5741187277970484,0.663559699360768
MACS0416,PL1_PM1_PS2,M10_interface_field,G3D_LOS_consistent_diagnostic,full_3d_position_plus_direction_then_fixed_xy_projection,position_and_direction_kept_separate_no_arbitrary_weighting,external_morphology_comparison_only,71289,1024,9,2.220446049250313e-16,True,4.664558536237207e-16,True,0.7439897594213153,0.6455692865332464,2.248812213609713e-17,4.841116709956389e-17,1.2447636269391147e-16,5.576278862176496e-17,6.708146120888483e-17,0.6727462566902076,0.6727462621702347,0.7107426566904687,0.4481271240719235,0.5309705845776853,0.652361053949323,0.6138746897977679,0.7107424306259567,0.4481252092901193,0.5309706976590916,0.652361114783039,0.6138745265079201,0.6310364479724796,nan,0.7502091486018115,0.7502092048562241,0.7107433471932644,0.4481276723753054,0.5309699458552944,0.6523619329534748,0.6138736812550439
MACS1149,PL1_PM1_PS2,M10_interface_field,G3D_LOS_consistent_diagnostic,full_3d_position_plus_direction_then_fixed_xy_projection,position_and_direction_kept_separate_no_arbitrary_weighting,external_morphology_comparison_only,71289,1024,9,2.220446049250313e-16,True,4.771006342555579e-16,True,0.7884323322863971,0.7011600616612864,2.2216873455125414e-17,4.4971060458687075e-17,2.3407229961408447e-17,4.27745843859831e-17,3.0293299925963523e-17,0.6820434055096094,0.6820434057709106,0.7682221327823324,0.5458075122014175,0.42081160367577547,0.6273691143909059,0.6301302710569866,0.768222055049437,0.5458075343162964,0.42081176798687603,0.6273692159036081,0.6301304403932743,0.6041928347816989,nan,0.8409062516329419,0.8409063596216751,0.7682223498278599,0.5458070296202147,0.4208104583458455,0.6273692516487643,0.6301294599867036
AbellS1063,PL1_PM1_PS2,M10_interface_field,G3D_LOS_consistent_diagnostic,full_3d_position_plus_direction_then_fixed_xy_projection,position_and_direction_kept_separate_no_arbitrary_weighting,external_morphology_comparison_only,71289,1024,9,2.220446049250313e-16,True,4.8154685385691e-16,True,0.8075234973090877,0.6828267917055436,2.2217345511423077e-17,4.654689873939133e-17,1.0536367544703509e-16,5.681109124820929e-17,3.041185581403085e-17,0.7230640717498545,0.7230640721430339,0.790770172647884,0.6642735308967423,0.6073456702588264,0.6746391338395553,0.6448506104885918,0.7907699928582338,0.6642718377879566,0.6073459347286191,0.6746385073360986,0.6448516145080553,0.6155366859755402,nan,0.8457591150069134,0.8457597351098372,0.7907706272655909,0.6642727860817923,0.6073423503818373,0.674641290490814,0.644845726154391
Abell370,PL1_PM1_PS2,M10_interface_field,G3D_LOS_consistent_diagnostic,full_3d_position_plus_direction_then_fixed_xy_projection,position_and_direction_kept_separate_no_arbitrary_weighting,external_morphology_comparison_only,71289,1024,9,2.220446049250313e-16,True,4.924896573333921e-16,True,0.7918907566644745,0.6990111606304666,2.5020506572083772e-17,4.808972673767963e-17,5.228571979035554e-17,5.1694667921447496e-17,4.3015227332862416e-17,0.6510604461384583,0.6510604548334127,0.6883925541449597,0.5382614922891168,0.5349930919882476,0.5478367208232965,0.6503310850178732,0.6883919694143067,0.5382606551803056,0.5349938231651066,0.5478363205818182,0.6503306968516954,0.6590500295132042,nan,0.8170804402137148,0.8170806194503496,0.6883941397569028,0.5382619718080219,0.5349909321222713,0.5478386266783986,0.6503310064744304
