decomposition_number,decomposition_code,decomposition_name,family,principle,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,neighbour_coherence_gain,neighbour_coherence_final,elastic_persistence_index,elastic_persistence_activity,phase_field_coherence,phase_change_from_init,theta_change_from_init,relaxation_time,spatial_correlation_length,temporal_persistence_length,clusters_with_emergent_coherence
1,D1,Full S9 (Control),both,Complete coupled phase + orientation microscopic state,Abell2744,Abell 2744,-0.0034380104113712544,0.17100652507105557,-0.001832870577292678,0.1740721589488422,0.16620611206861377,0.05804952596318168,-0.05437911366912628,0.013931445217652973,0.24605024000629783,2.220446049250313e-16,0.0018826856568050403,0.9981474227064532,0.04160841070988971,0.2262947933348587,0.9843094294709966,0.9981474227064532,0.00038574921719913954,0.00032688880534392344,0.6080473974949001,0.44466466919167863,6.0,3.0,4.0,
2,D2,Phase frozen / Orientation evolves,orient,phi held at initial value; theta evolves,Abell2744,Abell 2744,0.00030689346938347467,0.17228998789353245,-0.0028038536611587482,0.17746486054327743,0.16386339483220125,0.05688437414554072,-0.054734846902440654,0.012040859017797695,0.24477920797653496,2.220446049250313e-16,0.002504390132065365,0.997982115686562,0.04118386277543342,0.22471742015151885,0.9827320562876568,0.997982115686562,0.0003825961174816428,0.00046091326358733324,0.0,0.44466466919167863,6.0,3.0,4.0,
3,D3,Orientation frozen / Phase evolves,phase,theta held at initial value; phi evolves,Abell2744,Abell 2744,0.0010516233559781769,0.1701141649662306,-0.0029146240626402855,0.17542308118046274,0.1638854743608997,0.056908447238281513,-0.05469399386080878,0.012137911691250463,0.2455124199623242,2.220446049250313e-16,0.002560269731570643,0.9978722563370933,0.04115613693101785,0.22466537019981436,0.9826800063359523,0.9978722563370933,0.00038245059174803436,-0.0002417132462888727,0.6080473974949001,0.0,6.0,3.0,4.0,
4,D4,Phase evolution disabled / Orientation active,orient,phi snapped to neighbour target each step (no dt smoothing); theta evolves,Abell2744,Abell 2744,-0.0022296949043268534,0.17345291935152568,-0.0021528998205325245,0.17765383929055428,0.164963308689853,0.05736501479505193,-0.054373766947131516,0.013118086439855984,0.24446308694314212,2.220446049250313e-16,0.002508717874216947,0.9976810945456281,0.04168517027223378,0.2262750052149296,0.9842896413510676,0.9976810945456281,0.0003886043061431748,0.0010951428663470498,0.9510760527638721,0.44466466919167863,6.0,3.0,4.0,
5,D5,Orientation evolution disabled / Phase active,phase,theta snapped to neighbour target each step (no dt smoothing); phi evolves,Abell2744,Abell 2744,-0.0018108678380478877,0.17112279981212145,-0.0022004978881298635,0.1753018387915,0.16501376726335787,0.05742870874605374,-0.05440366080004538,0.013194069300131391,0.24480312794912606,2.220446049250313e-16,0.0027062781906557276,0.9975672009138773,0.04165571139931187,0.22620884568264454,0.9842234818187825,0.9975672009138773,0.0003884512130414054,0.00043069305008444685,0.6080473974949001,0.9510760527638721,6.0,3.0,4.0,
6,D6,Phase-Orientation coupling removed,both,both evolve; u update modulation becomes additive (no multiplicative coupling),Abell2744,Abell 2744,-0.0022615156678214565,0.17263753909519064,-0.002120422929376504,0.17676347214204655,0.1650368372244015,0.05738794841157364,-0.05437736473145321,0.013154534227052591,0.24620178202167153,2.220446049250313e-16,0.002595250957783666,0.9978538164055046,0.041672451896239616,0.22626668825763974,0.9842813243937777,0.9978538164055046,0.0003884067322096447,0.0006518992297075932,0.6080473974949001,0.44466466919167863,6.0,3.0,4.0,
7,D7,Phase drives Orientation only,orient-drives,theta target = phi (no neighbour theta target); phi evolves normally,Abell2744,Abell 2744,-0.0003210118522395169,0.17554352341804755,-0.0027397340161191817,0.18015343619560226,0.1646463890366349,0.05723303251458583,-0.05473852166051463,0.012703089389368045,0.24333265493623912,2.220446049250313e-16,0.0036335167125349345,0.997637886270307,0.041276132463040086,0.22503282266680003,0.983047458802938,0.997637886270307,0.00038299892819923856,0.00015117152192425904,0.6080473974949001,0.3999849059963544,6.0,3.0,4.0,
8,D8,Orientation drives Phase only,phase-drives,phi target = theta (no neighbour phi target); theta evolves normally,Abell2744,Abell 2744,-0.0012215105276118163,0.17631905877059448,-0.0025231973668492667,0.18075306290596158,0.16462247428791885,0.05723917979116544,-0.05465586292216462,0.012624790259722886,0.24327203503344208,2.220446049250313e-16,0.0033380650941742564,0.9977633898065666,0.04131038732544141,0.22511463295448386,0.9831292690906218,0.9977633898065666,0.00038328181735340893,0.0007444105058054354,0.3566369474516691,0.44466466919167863,6.0,3.0,4.0,
9,D9,Bidirectional coupling (current S9),both,Both theta and phi respond to neighbours; product modulation,Abell2744,Abell 2744,-0.0034380104113712544,0.17100652507105557,-0.001832870577292678,0.1740721589488422,0.16620611206861377,0.05804952596318168,-0.05437911366912628,0.013931445217652973,0.24394665600266308,2.220446049250313e-16,0.0018826856568050403,0.9981474227064532,0.04160841070988971,0.2262947933348587,0.9843094294709966,0.9981474227064532,0.00038574921719913954,0.00032688880534392344,0.6080473974949001,0.44466466919167863,6.0,3.0,4.0,
10,D10,Phase update delayed (one-step lag),phase,phi uses target_p and phi from previous step,Abell2744,Abell 2744,-0.00024128126213256827,0.16983089477584795,-0.0023830947019443573,0.17325050420530463,0.16579421879735862,0.05803830784508793,-0.054165465280280684,0.013767178528523053,0.24733678495977074,2.220446049250313e-16,0.002354564515645503,0.9975872761569625,0.0415545946481118,0.22612019602982503,0.984134832165963,0.9975872761569625,0.00038576298137783045,0.0002498135791975877,0.5706670365795238,0.44466466919167863,6.0,3.0,4.0,
11,D11,Orientation update delayed (one-step lag),orient,theta uses target_t and theta from previous step,Abell2744,Abell 2744,-0.0013523007261793854,0.17044522399835849,-0.0021910112621102156,0.17390302949893532,0.16560203070805146,0.057923226420234036,-0.05419102134089014,0.01362821060517863,0.24578277196269482,2.220446049250313e-16,0.0024420921247008806,0.9975342829243381,0.0415416088383926,0.22608031216318003,0.984094948299318,0.9975342829243381,0.0003856485393259246,0.00020714436949933554,0.6080473974949001,0.42646692948179155,6.0,3.0,4.0,
12,D12,Neighbour phase ignored / local only,phase,phi evolves with OMEGA drift only; no neighbour phase alignment,Abell2744,Abell 2744,-0.0022296949043268534,0.17345291935152568,-0.0021528998205325245,0.17765383929055428,0.164963308689853,0.05736501479505193,-0.054373766947131516,0.013118086439855984,0.24418481800239533,2.220446049250313e-16,0.002508717874216947,0.9976810945456281,0.04168517027223378,0.2262750052149296,0.9842896413510676,0.9976810945456281,0.0003886043061431748,0.0010951428663470498,0.40000000000000036,0.44466466919167863,6.0,3.0,4.0,
13,D13,Neighbour orientation ignored / local only,orient,theta held at initial value; no neighbour alignment,Abell2744,Abell 2744,0.0010516233559781769,0.1701141649662306,-0.0029146240626402855,0.17542308118046274,0.1638854743608997,0.056908447238281513,-0.05469399386080878,0.012137911691250463,0.2461485720705241,2.220446049250313e-16,0.002560269731570643,0.9978722563370933,0.04115613693101785,0.22466537019981436,0.9826800063359523,0.9978722563370933,0.00038245059174803436,-0.0002417132462888727,0.6080473974949001,0.0,6.0,3.0,4.0,
14,D14,Pure self-evolution (control vs WR4),control-wr4,"no neighbour contribution to theta, phi, or u relaxation",Abell2744,Abell 2744,0.018779455484112577,0.10074146095699049,-0.013265827032544414,0.11152159049953632,0.1568745301036342,0.06026079663520232,-0.06073626403405349,0.002052225415533495,0.2462429030565545,2.220446049250313e-16,-0.000771134469132352,1.0,0.04400521832054349,0.22308646670528176,0.9811011028414197,1.0,0.0003960469648848915,0.0006219198245367367,0.40000000000000036,0.0,6.0,3.0,5.0,
1,D1,Full S9 (Control),both,Complete coupled phase + orientation microscopic state,MACS0416,MACS J0416,0.004853112223018255,0.06520497921006715,-0.001097475783687764,0.07941222237647907,0.19641360422206253,0.06340792711580959,-0.10381515288085219,0.004057764097045998,0.2462245129281655,2.220446049250313e-16,0.004810324075567131,0.9981471240665494,0.04143665935511279,0.3170208710509692,0.9788222113230465,0.9981471240665494,0.00038396549813795244,0.0001975231090148369,0.5933216624945651,0.4088990418738237,6.0,7.0,4.0,
2,D2,Phase frozen / Orientation evolves,orient,phi held at initial value; theta evolves,MACS0416,MACS J0416,-0.0008866806831419295,0.0624105953528656,-0.0007706786992415003,0.07700552710787867,0.19528426994547063,0.0630057504813102,-0.10408388822049101,0.002847105318040181,0.25310270895715803,2.220446049250313e-16,0.00429075418187446,0.9980012385626998,0.041051147145901384,0.3147668368081362,0.9765681770802135,0.9980012385626998,0.000381225119086071,1.2645124761397514e-05,0.0,0.4088990418738237,6.0,7.0,4.0,
3,D3,Orientation frozen / Phase evolves,phase,theta held at initial value; phi evolves,MACS0416,MACS J0416,0.0009819679770894177,0.05642573587450446,-0.0009173453976367483,0.07096813263290432,0.19626572042327775,0.06349871690836123,-0.10418081410913388,0.003552907818365957,0.24726775602903217,2.220446049250313e-16,0.004437783297308384,0.9978925093761075,0.04102258114748627,0.31466596236773436,0.9764673026398116,0.9978925093761075,0.0003810903061822341,0.0007506987008580717,0.5933216624945651,0.0,6.0,7.0,4.0,
4,D4,Phase evolution disabled / Orientation active,orient,phi snapped to neighbour target each step (no dt smoothing); theta evolves,MACS0416,MACS J0416,0.005053903601771248,0.06959921744434369,-0.001135984020348018,0.0837966321824331,0.1961674367079498,0.06312146371479363,-0.10388205922338023,0.003923490106992142,0.24548244196921587,2.220446049250313e-16,0.004865942536549655,0.9977282978211385,0.041501516753687996,0.31694485545342066,0.9787461957254979,0.9977282978211385,0.0003866238588235337,0.00024186224673073678,0.890334768639378,0.4088990418738237,6.0,7.0,4.0,
5,D5,Orientation evolution disabled / Phase active,phase,theta snapped to neighbour target each step (no dt smoothing); phi evolves,MACS0416,MACS J0416,0.005991983118822673,0.06639897330371902,-0.0012346215987151282,0.0805698873287778,0.1964298073655573,0.0633797474188739,-0.10403092080858363,0.004015544902718966,0.24401698808651417,2.220446049250313e-16,0.005088006196861998,0.9976180619720784,0.04147279193505041,0.31684479208468397,0.9786461323567612,0.9976180619720784,0.00038648151089054844,0.0010152305721490465,0.5933216624945651,0.890334768639378,6.0,7.0,4.0,
6,D6,Phase-Orientation coupling removed,both,both evolve; u update modulation becomes additive (no multiplicative coupling),MACS0416,MACS J0416,0.005655768875067389,0.06831808078307938,-0.0011842148515006463,0.08248161841038067,0.1962675498269477,0.06325891632174963,-0.10392442491615539,0.003981168603277266,0.24358672800008208,2.220446049250313e-16,0.00497407527978419,0.9978938164705909,0.04148904297353224,0.31693237987652423,0.9787337201486015,0.9978938164705909,0.00038642614415897896,0.00061362030122379,0.5933216624945651,0.4088990418738237,6.0,7.0,4.0,
