cluster_id,pearson_kappa,pearson_gamma,ssim_kappa,rms_kappa,neighbour_coherence_gain,elastic_persistence_index,phase_field_coherence
Abell2744,-0.0026787659293015433,-0.17023043970729648,0.003282251373477471,-0.1626931295556438,-0.22457942254760022,-0.9972920345445174,0.00013790900154834926
MACS0416,-0.002120838872893836,-0.05761972996815633,0.0010544912126641123,-0.19628192356677251,-0.3144898834014491,-0.9973634472816365,-0.0015684061639922812
MACS1149,-0.10376648020243477,0.05924665650235682,-0.045800071156089465,-0.12223669879281837,-0.43353617564000124,-0.9969683420233734,7.435640362699601e-05
AbellS1063,-0.08659745024654038,-0.09019067677000839,0.031132263106325712,-0.14673412407276934,-0.2922993753091787,-0.9972209849132335,-0.0025662953458058502
Abell370,-0.19815924899072682,-0.1393169045186661,0.02490166268884531,-0.17033393649219364,-0.19106997573972406,-0.9970714463402337,-0.0012349326225911316
