decomposition_number,decomposition_code,decomposition_name,family,principle,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_ssim_gamma,median_rms_kappa,median_rms_gamma,mean_kappa_bias,mean_gamma_bias,median_runtime_seconds,max_conservation_error,median_emergent_coherence_index,median_coherence_gain,median_emergent_memory_index,median_evolution_activity,median_spatial_correlation_length,median_temporal_persistence_length,median_relaxation_time,median_effective_interaction_radius,median_strain_energy,median_interaction_energy,median_total_energy,median_strain_energy_relaxation,median_neighbour_coherence_gain,median_neighbour_coherence_final,median_elastic_persistence_index,median_elastic_persistence_activity,median_phase_field_coherence,median_phase_change_from_init,median_theta_change_from_init,clusters_with_emergent_coherence,clusters_with_emergent_memory
1,D1,Full S9 (Control),both,Complete coupled phase + orientation microscopic state,0.10494564177366811,0.09399620573787398,-0.001832870577292678,0.10577598054984859,0.16620611206861377,0.06360586362812297,-0.06208837193194302,-0.012500440373931781,0.24605024000629783,2.220446049250313e-16,0.0039781969612401056,0.0021661336656330736,0.9980359705156546,0.04143665935511279,3.0,4.0,6.0,4.0,4.5520948038631426e-06,1.789698333690629e-06,6.3417931375537715e-06,2.882219029194897e-05,0.29466007293894614,0.9817266661365637,0.9980359705156546,0.00038396549813795244,0.0007804070294651873,0.6080473974949001,0.44466466919167863,5,5
2,D2,Phase frozen / Orientation evolves,orient,phi held at initial value; theta evolves,0.09433297991610266,0.09404163675628067,-0.0028038536611587482,0.10590123728498113,0.16386339483220125,0.06346248833261536,-0.0621272275749996,-0.013091953242284394,0.24477920797653496,2.220446049250313e-16,0.0037792964300630075,0.002927253125089942,0.9977909560604449,0.041051147145901384,3.0,4.0,6.0,4.0,4.8396837985107485e-06,1.9877831229391523e-06,6.827466921449901e-06,2.8537590657107014e-05,0.29242332194955256,0.9794899151471701,0.9977909560604449,0.000381225119086071,0.0006636091790454308,0.0,0.44466466919167863,5,5
3,D3,Orientation frozen / Phase evolves,phase,theta held at initial value; phi evolves,0.09399181384635043,0.09639778409024705,-0.0029146240626402855,0.10822384344530281,0.1638854743608997,0.06349871690836123,-0.06211982161675857,-0.01295681312095002,0.2455124199623242,2.220446049250313e-16,0.003926325545496932,0.0028534211572628903,0.997749806745504,0.04102258114748627,3.0,4.0,6.0,4.0,4.8505600057304095e-06,1.9970702240077583e-06,6.847630229738168e-06,2.852623657800712e-05,0.2923877520758035,0.979454345273421,0.997749806745504,0.0003810903061822341,0.0007506987008580717,0.6080473974949001,0.0,5,5
4,D4,Phase evolution disabled / Orientation active,orient,phi snapped to neighbour target each step (no dt smoothing); theta evolves,0.09809070974046341,0.08579003144034694,-0.0021528998205325245,0.09782872427193588,0.164963308689853,0.06388554187146478,-0.06193284739118189,-0.012550772115984687,0.24532576301135123,2.220446049250313e-16,0.004013938498668553,0.0025104158661154647,0.9975323396003628,0.041501516753687996,3.0,4.0,6.0,4.0,4.57215561896252e-06,1.7950733552390407e-06,6.36722897420156e-06,2.871871100984959e-05,0.2946044633728597,0.9816710565704773,0.9975323396003628,0.0003866238588235337,0.0009767271115283247,0.9510760527638721,0.44466466919167863,5,5
5,D5,Orientation evolution disabled / Phase active,phase,theta snapped to neighbour target each step (no dt smoothing); phi evolves,0.09755127817385806,0.08778909841763533,-0.0022004978881298635,0.0997181279838233,0.16501376726335787,0.06373954309895323,-0.061936715298870584,-0.01255852403448019,0.24401698808651417,2.220446049250313e-16,0.0040665056697661165,0.0027062781906557276,0.9975099370714582,0.04147279193505041,3.0,4.0,6.0,4.0,4.583427221943279e-06,1.8041202597994152e-06,6.387547481742695e-06,2.870687877416336e-05,0.2945716961723214,0.9816382893699389,0.9975099370714582,0.00038648151089054844,0.0010152305721490465,0.6080473974949001,0.9510760527638721,5,5
6,D6,Phase-Orientation coupling removed,both,both evolve; u update modulation becomes additive (no multiplicative coupling),0.09756944752384189,0.08693335263985891,-0.002120422929376504,0.09893791271742072,0.1650368372244015,0.0638176463270504,-0.06194264014604336,-0.01256162648526877,0.24537139700260013,2.220446049250313e-16,0.004034304488899056,0.002595250957783666,0.997720526490577,0.04148904297353224,3.0,4.0,6.0,4.0,4.573397474173895e-06,1.7962649248477814e-06,6.369662399021676e-06,2.8717187532517045e-05,0.29460808396311955,0.9816746771607371,0.997720526490577,0.00038642614415897896,0.0006694034484882412,0.6080473974949001,0.44466466919167863,5,5
7,D7,Phase drives Orientation only,orient-drives,theta target = phi (no neighbour theta target); phi evolves normally,0.09549593434161932,0.09007724857190344,-0.0027397340161191817,0.10211259657587507,0.1646463890366349,0.06374543143784467,-0.06202473752362293,-0.013155335570724297,0.24333265493623912,2.220446049250313e-16,0.005200009895250347,0.004215117371668659,0.9975697025361743,0.041121930354328505,3.0,4.0,6.0,4.0,4.7743760735775955e-06,1.956035722601669e-06,6.730411796179264e-06,2.8600747102199144e-05,0.2926873297069559,0.9797539229045734,0.9975697025361743,0.00038139059761485946,0.0005107570796194835,0.6080473974949001,0.3999849059963544,5,5
8,D8,Orientation drives Phase only,phase-drives,phi target = theta (no neighbour phi target); theta evolves normally,0.09725106826193627,0.0880716532158478,-0.0025231973668492667,0.10015504516268434,0.16462247428791885,0.06359084953714025,-0.06197730318443732,-0.013181648313334331,0.24381026800256222,2.220446049250313e-16,0.005146903626004856,0.004068983633654306,0.9975904801692878,0.041153319293380695,3.0,4.0,6.0,4.0,4.759830037525696e-06,1.945470749766396e-06,6.705300787292092e-06,2.861641786956582e-05,0.29275242782284694,0.9798190210204645,0.9975904801692878,0.0003816301268627759,0.0009963721567949316,0.3566369474516691,0.44466466919167863,5,5
9,D9,Bidirectional coupling (current S9),both,Both theta and phi respond to neighbours; product modulation,0.10494564177366811,0.09399620573787398,-0.001832870577292678,0.10577598054984859,0.16620611206861377,0.06360586362812297,-0.06208837193194302,-0.012500440373931781,0.24394665600266308,2.220446049250313e-16,0.0039781969612401056,0.0021661336656330736,0.9980359705156546,0.04143665935511279,3.0,4.0,6.0,4.0,4.5520948038631426e-06,1.789698333690629e-06,6.3417931375537715e-06,2.882219029194897e-05,0.29466007293894614,0.9817266661365637,0.9980359705156546,0.00038396549813795244,0.0007804070294651873,0.6080473974949001,0.44466466919167863,5,5
10,D10,Phase update delayed (one-step lag),phase,phi uses target_p and phi from previous step,0.10342169746773451,0.09280095487967484,-0.0023830947019443573,0.1047074324555773,0.16579421879735862,0.06340798879935879,-0.062017501569897514,-0.012390960318714703,0.24733678495977074,2.220446049250313e-16,0.004089639364195004,0.002604673915818515,0.9973916955564762,0.0413803190375389,3.0,4.0,6.0,4.0,4.58796825718713e-06,1.81333278489206e-06,6.40130104207919e-06,2.8703557221411292e-05,0.29437471045889485,0.9814413036565124,0.9973916955564762,0.0003839501183420312,0.0011871357961825268,0.5706670365795238,0.44466466919167863,5,5
