module_name,new_status,source_sha256,max_error,tolerance,n_tests_passed,n_tests_total,independent_reference,wrong_controls
M01_conventions,unit_verified_pending_contract_review,22d440e7c58ddeecb2c1e7fc774b6a62d67439e8ff2b6cbf5522bf431d62e054,0.0,1e-14,19,19,yes,no
M02_coordinate_transforms,unit_verified_pending_contract_review,ce7dcf894a1ff1341d8de59d5bd75b42b6c81b0786e21752dcdfa61beb2ade38,0.0,1e-14,36,36,yes,yes
M03_vector_transforms,unit_verified_pending_contract_review,6a35cd114900f379a5eadea0bd72f7454dfd2f98b9040cd6c860fefec0557d7f,0.0,1e-14,42,42,yes,yes
M04_tensor_transforms,experimental,6ca29cf1a875dd61f966016ff157f2167552235f11b25f0542a9192096247ac0,0.0,1e-14,42,42,yes,no
M05_pair_enumeration,unit_verified_pending_contract_review,c39d1f01cac2afe5b6286f403a9fa16d544bb3735506406e7695c6a7e22bb386,0.0,0.0,39,39,yes,no
M08_pair_transfer,experimental,c7739961a1b0d6abaecb2352fa5e48ce82aea821fa855ab72e8fca67e9982c87,0.0,1e-14,3,3,yes,no
M10_midpoint_rasterization,experimental,c7739961a1b0d6abaecb2352fa5e48ce82aea821fa855ab72e8fca67e9982c87,4.987954474449069,0.0,5,5,yes,yes
M11_field_diagnostics,unit_verified_pending_contract_review,59692037396fefc84d742e50f53e944a006164528235781346e5d9df7c940441,0.0,1e-15,4,4,yes,no
M12_differential_operators,experimental,ff6977ead05c4cbd0f6c65b2cc01457cdc9e7b218a195cf691483506b06fc3f9,4.440892098500626e-16,1e-12,9,9,yes,yes
M13_helmholtz_3d,experimental,258395c69e479908ffed18a256272f9107ac8f1d9de48966cd8ebd4110c14524,0.0,1e-12,8,8,yes,no
M14_los_projection,unit_verified_pending_contract_review,2bed6a1c65806573b17e459fb4cc43781ef632dc016cb09df8238665eb302cb0,0.0,1e-14,8,8,yes,no
M15_ray_interface,unit_verified_pending_contract_review,92503a468f46dac7e9e4d3e90f3731db1e46f819464b131a2ac1004fd1f97a78,0.0,1e-15,6,6,yes,yes
M16_observable_extraction,experimental,58d5b3fd4b137c7875d2c49499ba10d4a258dbe931b1301cd11badb0027b228a,0.0,1e-15,15,15,yes,yes
