cluster_id,step_index,propagation_distance,sampled_response_mag_vs_observed_pearson,sampled_response_mag_vs_observed_spearman,sampled_response_mag_vs_observed_count,sampled_response_mag_vs_los_mag_pearson,sampled_response_mag_vs_los_mag_spearman,sampled_response_mag_vs_los_mag_count,sampled_response_mag_rms,velocity_change_mag_vs_observed_pearson,velocity_change_mag_vs_observed_spearman,velocity_change_mag_vs_observed_count,velocity_change_mag_vs_los_mag_pearson,velocity_change_mag_vs_los_mag_spearman,velocity_change_mag_vs_los_mag_count,velocity_change_mag_rms,displacement_mag_vs_observed_pearson,displacement_mag_vs_observed_spearman,displacement_mag_vs_observed_count,displacement_mag_vs_los_mag_pearson,displacement_mag_vs_los_mag_spearman,displacement_mag_vs_los_mag_count,displacement_mag_rms,linear_kappa_vs_observed_pearson,linear_kappa_vs_observed_spearman,linear_kappa_vs_observed_count,linear_kappa_vs_los_mag_pearson,linear_kappa_vs_los_mag_spearman,linear_kappa_vs_los_mag_count,linear_kappa_rms
Abell2744,0,0.0,0.779711599218283,0.726271904727845,1024,0.8640680111930577,0.8248312553644231,1024,0.00010043954768390241,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,-0.11290457766200054,1024,nan,-0.10713486336680869,1024,5.795326635978589e-16
Abell2744,1,0.03,0.788653180559687,0.7262077551677276,1024,0.8821057214278115,0.8402762901437666,1024,0.00010256531366547016,0.7261280232169319,0.6224942332451183,1024,0.7957377724881285,0.7261252436342178,1024,2.0307453705459194e-06,nan,-0.09667783351770463,1024,nan,-0.04173794089618643,1024,0.030000000000000006,-0.03853128051241848,0.09789219521135827,1024,-0.12365806035681887,0.07446137838852729,1024,4.7109600931736075e-07
Abell2744,5,0.15,0.8111494922778086,0.7304906100243187,1024,0.8686127549456475,0.8062165505865103,1024,0.00010879899938973168,0.7351104903803646,0.6172745712931836,1024,0.8221898336238055,0.7393491278342036,1024,1.012541190682121e-05,nan,-0.6281475031010771,1024,nan,-0.7408811557634446,1024,0.1499999999992241,-0.03810059490202423,0.09932435090479937,1024,-0.12637814808582223,0.07587693789786139,1024,7.362952850081096e-06
Abell2744,10,0.3,0.7488953770935212,0.6152151468957872,1024,0.669050102361093,0.5841232297403619,1024,0.00011838033286140545,0.7554101945498573,0.6255565477254846,1024,0.8057104819411632,0.7116189829053716,1024,1.9516673277442706e-05,nan,-0.6424429319527722,1024,nan,-0.7168649106026137,1024,0.29999999999370575,-0.03793370524442351,0.0893599907910736,1024,-0.11590874836038521,0.07390640646234176,1024,2.6290651748398896e-05
Abell2744,20,0.6,0.47803872619700977,0.334905854373793,1024,0.3849887092214213,0.33685699565481725,1024,0.00012882441135764785,0.6946450497775911,0.5256263187540233,1024,0.6748835404697102,0.5701707786460196,1024,3.694219768825983e-05,nan,-0.5616148701809599,1024,nan,-0.5904521873435377,1024,0.5999999999498214,-0.034390262675173616,0.08010373453257993,1024,-0.0703367325399395,0.07677877565982405,1024,9.23484493592213e-05
Abell2744,40,1.2,0.3216005746899295,0.24799212994421,1024,0.2411482239373615,0.1824093412488377,1024,0.00014268593377380294,0.5246571966559623,0.3007594123274444,1024,0.5120285509220938,0.34042204599098774,1024,6.398563641340706e-05,nan,-0.35974067484443173,1024,nan,-0.36559004184250055,1024,1.1999999996441029,-0.013290160885497608,0.067221944066948,1024,-0.023106887514231206,0.06127786147271297,1024,0.0003140419343218887
Abell2744,80,2.4,0.16782491857208606,0.2137827341570703,1024,0.11523933255873363,0.15019443798726845,1024,0.0001597484511224615,0.378214714562451,0.22446703338459337,1024,0.3383264105179997,0.2377918134432444,1024,9.991560739611953e-05,nan,-0.2628865849188184,1024,nan,-0.240996575709892,1024,2.3999999977920745,0.00810466887093648,0.04022921733066304,1024,-0.010717722214725004,0.03905092178671053,1024,0.0010151539792446543
Abell2744,120,3.5999999999999996,0.04791703382261756,0.09248717008797654,1024,0.06218865203305559,0.11687161370788927,1024,0.0001591061474019976,0.3322239831136968,0.22512630981331808,1024,0.3219131801759647,0.25122949225734925,1024,0.0001238397707567293,nan,-0.26087088057005936,1024,nan,-0.26374286978756883,1024,3.599999994310767,0.0183864260431916,0.06365992239467849,1024,0.0004126436487637506,0.05884362035977398,1024,0.001955717652935544
Abell2744,159,4.77,-0.12123939245233534,-0.10541375348687504,1024,-0.04936279927331749,-0.0539113014984622,1024,0.00015746980660360396,0.24615078859618708,0.19006159028324154,1024,0.2583760382725951,0.23587172993705743,1024,0.0001449100557488337,nan,-0.20192802955797154,1024,nan,-0.23554661236678348,1024,4.769999989528211,0.03156909268108031,0.07095577256634003,1024,0.019331147465658383,0.06798070819326228,1024,0.0030391424132643185
MACS0416,0,0.0,0.7507576994454248,0.6694017568309744,1024,0.8825813656070695,0.8282622062978328,1024,0.00010591621044869976,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,0.06592221091441128,1024,nan,0.014257597530520756,1024,5.795326635978589e-16
