cluster_id,n_photons,checkpoint_count,production_parity_rms,production_parity_max,production_parity_pass,source_supported_bins,los_mag_vs_observed_pearson,los_mag_vs_observed_spearman,first_finite_linear_step,final_linear_vs_observed_pearson,final_linear_vs_observed_spearman,final_displacement_mag_vs_observed_pearson,final_velocity_change_mag_vs_observed_pearson
Abell2744,71289,9,0.0,0.0,True,1024,0.7697236967097444,0.671986686945565,1,0.03156909268108031,0.07095577256634003,nan,0.24615078859618708
MACS0416,71289,9,0.0,0.0,True,1024,0.7439897594213153,0.6455692865332464,1,-0.0046217243517842335,0.03917152011775321,-0.15542930688533074,0.3504081091675279
MACS1149,71289,9,0.0,0.0,True,1024,0.7884323322863971,0.7011600616612864,1,0.0017341527022655854,0.05712972532131247,nan,0.28579811034535335
AbellS1063,71289,9,0.0,0.0,True,1024,0.8075234973090877,0.6828267917055436,1,-0.08376731698080613,0.06348542218010157,-0.3311869273922736,0.4451528459222788
Abell370,71289,9,0.0,0.0,True,1024,0.7918907566644745,0.6990111606304666,1,-0.08411353379616798,0.028880076085401617,-0.18715139599622088,0.3323093987721856
