cluster_id,step_index,propagation_distance,second_moment_equals_cov_plus_centroid_outer_relative_rms_error,rms_angle_squared_equals_second_moment_trace_relative_rms_error,covariance_eigen_trace_identity_relative_rms_error,covariance_eigen_det_identity_relative_rms_error,covariance_min_eigenvalue,covariance_psd_pass,direction_mean_vector_mag_min,direction_mean_vector_mag_max,direction_mean_vector_bound_pass,direction_mean_transverse_aggregation_parity_relative_rms_error,angular_mean_angle_aggregation_parity_relative_rms_error,angular_centroid_mag_vs_observed_pearson,angular_centroid_mag_vs_observed_spearman,angular_centroid_mag_vs_observed_count,angular_centroid_mag_vs_los_mag_pearson,angular_centroid_mag_vs_los_mag_spearman,angular_centroid_mag_vs_los_mag_count,angular_centroid_mag_rms,angular_mean_angle_mag_vs_observed_pearson,angular_mean_angle_mag_vs_observed_spearman,angular_mean_angle_mag_vs_observed_count,angular_mean_angle_mag_vs_los_mag_pearson,angular_mean_angle_mag_vs_los_mag_spearman,angular_mean_angle_mag_vs_los_mag_count,angular_mean_angle_mag_rms,angular_rms_angle_mag_vs_observed_pearson,angular_rms_angle_mag_vs_observed_spearman,angular_rms_angle_mag_vs_observed_count,angular_rms_angle_mag_vs_los_mag_pearson,angular_rms_angle_mag_vs_los_mag_spearman,angular_rms_angle_mag_vs_los_mag_count,angular_rms_angle_mag_rms,angular_sigma_high_vs_observed_pearson,angular_sigma_high_vs_observed_spearman,angular_sigma_high_vs_observed_count,angular_sigma_high_vs_los_mag_pearson,angular_sigma_high_vs_los_mag_spearman,angular_sigma_high_vs_los_mag_count,angular_sigma_high_rms,angular_sigma_low_vs_observed_pearson,angular_sigma_low_vs_observed_spearman,angular_sigma_low_vs_observed_count,angular_sigma_low_vs_los_mag_pearson,angular_sigma_low_vs_los_mag_spearman,angular_sigma_low_vs_los_mag_count,angular_sigma_low_rms,angular_cov_trace_vs_observed_pearson,angular_cov_trace_vs_observed_spearman,angular_cov_trace_vs_observed_count,angular_cov_trace_vs_los_mag_pearson,angular_cov_trace_vs_los_mag_spearman,angular_cov_trace_vs_los_mag_count,angular_cov_trace_rms,angular_cov_det_vs_observed_pearson,angular_cov_det_vs_observed_spearman,angular_cov_det_vs_observed_count,angular_cov_det_vs_los_mag_pearson,angular_cov_det_vs_los_mag_spearman,angular_cov_det_vs_los_mag_count,angular_cov_det_rms,angular_cov_frobenius_mag_vs_observed_pearson,angular_cov_frobenius_mag_vs_observed_spearman,angular_cov_frobenius_mag_vs_observed_count,angular_cov_frobenius_mag_vs_los_mag_pearson,angular_cov_frobenius_mag_vs_los_mag_spearman,angular_cov_frobenius_mag_vs_los_mag_count,angular_cov_frobenius_mag_rms,angular_spread_rms_vs_observed_pearson,angular_spread_rms_vs_observed_spearman,angular_spread_rms_vs_observed_count,angular_spread_rms_vs_los_mag_pearson,angular_spread_rms_vs_los_mag_spearman,angular_spread_rms_vs_los_mag_count,angular_spread_rms_rms,angular_cov_anisotropy_ratio_low_over_high_vs_observed_pearson,angular_cov_anisotropy_ratio_low_over_high_vs_observed_spearman,angular_cov_anisotropy_ratio_low_over_high_vs_observed_count,angular_cov_anisotropy_ratio_low_over_high_vs_los_mag_pearson,angular_cov_anisotropy_ratio_low_over_high_vs_los_mag_spearman,angular_cov_anisotropy_ratio_low_over_high_vs_los_mag_count,angular_cov_anisotropy_ratio_low_over_high_rms,angular_second_moment_trace_vs_observed_pearson,angular_second_moment_trace_vs_observed_spearman,angular_second_moment_trace_vs_observed_count,angular_second_moment_trace_vs_los_mag_pearson,angular_second_moment_trace_vs_los_mag_spearman,angular_second_moment_trace_vs_los_mag_count,angular_second_moment_trace_rms,direction_mean_vector_mag_vs_observed_pearson,direction_mean_vector_mag_vs_observed_spearman,direction_mean_vector_mag_vs_observed_count,direction_mean_vector_mag_vs_los_mag_pearson,direction_mean_vector_mag_vs_los_mag_spearman,direction_mean_vector_mag_vs_los_mag_count,direction_mean_vector_mag_rms,direction_dispersion_one_minus_mean_vector_mag_vs_observed_pearson,direction_dispersion_one_minus_mean_vector_mag_vs_observed_spearman,direction_dispersion_one_minus_mean_vector_mag_vs_observed_count,direction_dispersion_one_minus_mean_vector_mag_vs_los_mag_pearson,direction_dispersion_one_minus_mean_vector_mag_vs_los_mag_spearman,direction_dispersion_one_minus_mean_vector_mag_vs_los_mag_count,direction_dispersion_one_minus_mean_vector_mag_rms,direction_mean_transverse_mag_vs_observed_pearson,direction_mean_transverse_mag_vs_observed_spearman,direction_mean_transverse_mag_vs_observed_count,direction_mean_transverse_mag_vs_los_mag_pearson,direction_mean_transverse_mag_vs_los_mag_spearman,direction_mean_transverse_mag_vs_los_mag_count,direction_mean_transverse_mag_rms,photon_count_per_bin_vs_observed_pearson,photon_count_per_bin_vs_observed_spearman,photon_count_per_bin_vs_observed_count,photon_count_per_bin_vs_los_mag_pearson,photon_count_per_bin_vs_los_mag_spearman,photon_count_per_bin_vs_los_mag_count,photon_count_per_bin_rms
Abell2744,0,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,1.0,True,0.0,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,0,nan,nan,0,nan,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,1.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,1,0.03,1.826098091058593e-16,2.849677170129462e-16,3.6522142452320423e-17,3.397354049946204e-17,-8.077935669463161e-28,True,0.9999999998372672,0.9999999999999993,True,0.0,0.0,0.6687825249353404,0.5729118982905371,1024,0.7779428178013827,0.7089102174379515,1024,2.2397156138718054e-06,0.7797115992182831,0.726271904727845,1024,0.8640680111930577,0.8248312553644231,1024,3.013186430517073e-06,0.7839156908344725,0.7207834740004292,1024,0.8605194956191419,0.8069474979436378,1024,3.246690424784365e-06,0.7111873750403854,0.6508208461483442,1024,0.7525740853410599,0.6815638075781417,1024,2.196979662209539e-06,0.5615346528595281,0.4608647405802961,1024,0.5575571206883404,0.43531697606558384,1024,8.354358426611735e-07,nan,0.6549965131249553,1024,nan,0.6802951997353551,1024,1.481522327042941e-11,nan,0.5536756969015872,1024,nan,0.5305441129800504,1024,7.412512175124628e-22,nan,0.6522069125062585,1024,nan,0.6821093917638223,1024,1.2484676247790533e-11,0.7180324135090029,0.6549965131249553,1024,0.7563187110860671,0.6802951997353551,1024,2.3504622275980795e-06,0.058034698976716745,0.07522595297714282,1024,0.0199421204066316,0.038811958602244234,1024,0.3900111403363866,nan,0.7207834740004292,1024,nan,0.8069474979436378,1024,2.6807150254321974e-11,nan,-0.6550053267466489,1024,nan,-0.6803064506182052,1024,0.9999999999972377,nan,0.6550053267466489,1024,nan,0.6803064506182052,1024,7.407598019556157e-12,0.7797115992009803,0.726271904727845,1024,0.8640680111708143,0.8248312553644231,1024,3.0131864303812245e-06,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,5,0.15,2.2521416868219435e-16,2.7637376334222173e-16,4.915010348873182e-17,2.6633134928426086e-17,-2.5849394142282115e-26,True,0.9999999959316804,0.9999999999999776,True,0.0,0.0,0.668746594318677,0.5729624803304485,1024,0.7777703535920987,0.7089653145340105,1024,1.1197203570706505e-05,0.7792336652164954,0.7251498573957513,1024,0.8637590982831577,0.8243047260567914,1024,1.505851924836775e-05,0.7835102124072284,0.7199439417781275,1024,0.8602715989677663,0.8067223486338603,1024,1.6225321540677054e-05,0.71055477247654,0.6492497630713111,1024,0.7523273842894854,0.6808726798869895,1024,1.0977268817116111e-05,0.5614782434830244,0.4609494014010638,1024,0.5576104674203698,0.43568677611520074,1024,4.169323759470648e-06,nan,0.6532248006222731,1024,nan,0.6797785052034905,1024,3.703268424926096e-10,nan,0.5560334466024687,1024,nan,0.5342858903961215,1024,4.632816590606062e-19,nan,0.650586901419784,1024,nan,0.681468231439096,1024,3.120968602926119e-10,0.7174458148666846,0.6532248006222731,1024,0.7561271844103836,0.6797785052034905,1024,1.1742388653698882e-05,0.0571249843852862,0.0745868206020633,1024,0.019335038013828347,0.039204418105852575,1024,0.3898763734224869,nan,0.7199439417781275,1024,nan,0.8067223486338603,1024,6.70098747687425e-10,nan,-0.6532293380301838,1024,nan,-0.6797791869322652,1024,0.9999999999310581,nan,0.6532293380301838,1024,nan,0.6797791869322652,1024,1.8516340148421483e-10,0.7792336647827365,0.7251498573957513,1024,0.8637590977262907,0.8243047260567914,1024,1.5058519231382391e-05,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,10,0.3,2.0505958409673513e-16,1.579369265662313e-16,3.1624507018098067e-17,4.163516975813858e-16,-1.0339757656912846e-25,True,0.9999999837267216,0.999999999999911,True,0.0,0.0,0.6687201560087163,0.5729391339138832,1024,0.7777649717958696,0.7090213839317645,1024,2.2393425911488912e-05,0.7792015437592091,0.7251328365281453,1024,0.8637416163450191,0.8243417405764967,1024,3.0116456200447953e-05,0.783488153822141,0.7199532177598169,1024,0.8602622822420934,0.8067570609219655,1024,3.245026329289629e-05,0.7105376248749672,0.6492383748480081,1024,0.7523276137112848,0.6809206691223804,1024,2.195465854743865e-05,0.5614798595341928,0.46029524884112627,1024,0.5575803291291364,0.4348921397232273,1024,8.339486302544572e-06,nan,0.653229908000143,1024,nan,0.6797523312888921,1024,1.4813255410391193e-09,nan,0.5523020580494683,1024,nan,0.5315416358213164,1024,7.412507135892163e-18,nan,0.6505856050175238,1024,nan,0.6814682426149775,1024,1.2484017174040694e-09,0.7174332349572562,0.653229908000143,1024,0.7561207931399526,0.6797523312888921,1024,2.3485188177337427e-05,0.05730492798502957,0.074386137249379,1024,0.019409604622686486,0.038273762714569316,1024,0.38986640032386394,nan,0.7199532177598169,1024,nan,0.8067570609219655,1024,2.6803980835350764e-09,nan,-0.653229908000143,1024,nan,-0.6797523312888921,1024,0.9999999997242229,nan,0.653229908000143,1024,nan,0.6797523312888921,1024,7.406627276873609e-10,0.7792015420238529,0.7251328365281453,1024,0.8637416141173572,0.8243417405764967,1024,3.0116456064562e-05,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,20,0.6,1.9554659838600517e-16,1.9676284811682119e-16,3.2046034305226526e-17,2.1101196334962584e-16,-4.1359030627651384e-25,True,0.9999999349068941,0.9999999999996442,True,0.0,0.0,0.6686980901013333,0.5728704804734998,1024,0.7777484842995123,0.708967404423861,1024,4.478656996322455e-05,0.7791936032670459,0.7251134799012946,1024,0.863732223550231,0.8243739494671339,1024,6.023319253710861e-05,0.7834792511058711,0.7199199024569058,1024,0.860256062051896,0.8067562003790859,1024,6.490068313873442e-05,0.7105357461989433,0.6492574967813461,1024,0.7523291910197244,0.6809512686860739,1024,4.390971825248965e-05,0.5615114377980497,0.45978095083888293,1024,0.5576305895096964,0.43578263485402086,1024,1.6679282532248662e-05,nan,0.6532966391888992,1024,nan,0.6798223146591803,1024,5.925349785461276e-09,nan,0.5505479857654467,1024,nan,0.5326958481056623,1024,1.1860013910068776e-16,nan,0.6506062915742794,1024,nan,0.6815202439918461,1024,4.993644453769222e-09,0.7174331602832107,0.6532966391888992,1024,0.7561270374485792,0.6798223146591803,1024,4.697086142283957e-05,0.057391863341317254,0.07387142381637195,1024,0.019493199211127216,0.03926093067278778,1024,0.3898353852163387,nan,0.7199199024569058,1024,nan,0.8067562003790859,1024,1.072162000643725e-08,nan,-0.6532966391888992,1024,nan,-0.6798223146591803,1024,0.9999999988968692,nan,0.6532966391888992,1024,nan,0.6798223146591803,1024,2.9626743461002663e-09,0.7791935963256099,0.7251134799012946,1024,0.8637322146394837,0.8243739494671339,1024,6.0233191450020304e-05,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,40,1.2,1.7319788184724028e-16,1.742729921249867e-16,5.506793548710731e-17,1.8549568947680708e-17,-8.271806125530277e-25,True,0.9999997396277023,0.9999999999985767,True,0.0,0.0,0.6686988789812965,0.5728613274265074,1024,0.7777505070359986,0.7090127337994421,1024,8.957234046905936e-05,0.7791776747685247,0.7250722297224805,1024,0.8637243558590701,0.8243470602961162,1024,0.00012046528890850234,0.783473208095018,0.7199151080037194,1024,0.8602540749497186,0.8067562562584937,1024,0.00012980101149931243,0.7105291442216294,0.649253395232816,1024,0.7523259047265025,0.6809450660718117,1024,8.78189475235004e-05,0.5615107363400934,0.4611311305053166,1024,0.557614499967047,0.4390116868799378,1024,3.3360618474546315e-05,nan,0.6532847927544525,1024,nan,0.6798076742543452,1024,2.370150260082485e-08,nan,0.5536781864698709,1024,nan,0.5362418176119719,1024,1.897603683321791e-15,nan,0.6506297609255418,1024,nan,0.6815135272870324,1024,1.9974633393934805e-08,0.7174295319918773,0.6532847927544525,1024,0.7561229976548333,0.6798076742543452,1024,9.394199491781912e-05,0.057411251724742936,0.07525499357986865,1024,0.019476231296861973,0.04211221147200076,1024,0.3898965097226068,0.6980752380514399,0.7199151080037194,1024,0.7836968108073766,0.8067562562584937,1024,4.2886526862419056e-08,nan,-0.6532847927544525,1024,nan,-0.6798076742543452,1024,0.9999999955874516,nan,0.6532847927544525,1024,nan,0.6798076742543452,1024,1.1850742673294494e-08,0.7791776469999229,0.7250722297224805,1024,0.8637243202143979,0.8243470602961162,1024,0.00012046528021170255,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,80,2.4,2.1696586162322805e-16,2.361638423720759e-16,3.483135548734768e-17,2.1035143306411586e-16,-6.617444900424222e-24,True,0.9999989585127843,0.9999999999943063,True,0.0,0.0,0.6686989705750153,0.572912401205207,1024,0.7777448319643213,0.7090461943888134,1024,0.00017914530416104424,0.77917390994884,0.7250707098025893,1024,0.8637203587090766,0.8243401647771976,1024,0.0002409311651457049,0.7834714118265217,0.7199167732100709,1024,0.8602523493911883,0.8067695667334239,1024,0.00025960264318686065,0.7105260840405577,0.6492436163364567,1024,0.7523269808161425,0.6809434232172233,1024,0.00017563851524908476,0.5615224589525032,0.46244468098752045,1024,0.5576407710033717,0.43718835055801486,1024,6.672034403200023e-05,0.6491871140884775,0.65328981072527,1024,0.7037567750531878,0.6798348987018096,1024,9.480630583534671e-08,nan,0.5542078871795013,1024,nan,0.5349441745030369,1024,3.036175156413413e-14,0.6698080093810086,0.6506250223517631,1024,0.7240821692065746,0.6815056594664187,1024,7.989878963620243e-08,0.7174265220707858,0.65328981072527,1024,0.7561261560293997,0.6798348987018096,1024,0.00018788425252439718,0.05745555378949798,0.0761522250433858,1024,0.01952676509047761,0.0403435297374488,1024,0.38986047605754864,0.6980741511478837,0.7199167732100709,1024,0.7836958335695543,0.8067695667334239,1024,1.7154645153721367e-07,-0.6491874942984059,-0.65328981072527,1024,-0.7037570853909418,-0.6798348987018096,1024,0.9999999823497663,0.649187494298406,0.65328981072527,1024,0.703757085390942,0.6798348987018096,1024,4.74030151530893e-08,0.7791737988717689,0.7250707098025893,1024,0.8637202161274186,0.8243401647771976,1024,0.00024093109557139759,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,120,3.5999999999999996,1.899450472210293e-16,2.802329703307907e-16,3.976300721109469e-17,3.301768848157905e-16,-1.3234889800848443e-23,True,0.9999976566611437,0.9999999999871892,True,0.0,0.0,0.6686161290352106,0.5728589469637365,1024,0.777696326242479,0.7090302687575996,1024,0.0002686609243953976,0.7791039347729316,0.7250403449324083,1024,0.863661154035857,0.824324585598312,1024,0.00036134324272026167,0.7834035550375468,0.7199002887847793,1024,0.8602013522901614,0.8067691085222802,1024,0.0003893392434895754,0.7104304861895516,0.6492151290143766,1024,0.7522386164168733,0.6809248041985552,1024,0.00026342074444709825,0.561522247916096,0.462444474180333,1024,0.5576420224644038,0.4355212707156565,1024,0.00010007929665511188,0.6490989838299842,0.6532451407267005,1024,0.7036631808041377,0.6797815562191546,1024,2.1328977703331893e-07,nan,0.5504788794964548,1024,nan,0.5311761943214305,1024,1.5370713046136903e-13,0.6697165784367182,0.6505826434089121,1024,0.7239828733717872,0.6814986521886847,1024,1.7974595972027334e-07,0.7173460519816172,0.6532451407267005,1024,0.7560500906695133,0.6797815562191546,1024,0.00028179133099519814,0.057595728297369836,0.07603041371828836,1024,0.019647834033279396,0.038719152619903795,1024,0.38989706754779035,0.6979393834434429,0.7199002887847793,1024,0.7835608804383606,0.8067691085222802,1024,3.8592050008067504e-07,-0.6490998393362718,-0.6532451407267005,1024,-0.7036638791068875,-0.6797815562191546,1024,0.9999999602968856,0.6490998393362719,0.6532451407267005,1024,0.7036638791068877,0.6797815562191546,1024,1.0664419107178722e-07,0.7791036849251107,0.7250403449324083,1024,0.8636608333180443,0.824324585598312,1024,0.0003613430079391005,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,159,4.77,2.4570817043974946e-16,1.359667712107006e-16,3.7786056324960375e-17,3.5248572271042827e-17,-1.3234889800848443e-23,True,0.9999958859933092,0.9999999999775091,True,0.0,0.0,0.6687991362766817,0.5730666171947644,1024,0.777826929727697,0.7091475261068593,1024,0.0003557501057481416,0.7790774766991165,0.7249241716436593,1024,0.863647141120649,0.8243658246012445,1024,0.0004785128932948377,0.7833627980622624,0.7197749624490379,1024,0.860183308429924,0.8067437057435091,1024,0.0005155814260625713,0.7101389141676723,0.6486917848329876,1024,0.7520330722545107,0.6806925805557542,1024,0.000348838177267766,0.5620509153770702,0.4644996541536721,1024,0.5587961406697213,0.44253905426137297,1024,0.00013258203212126218,0.6488451209702363,0.652949952167227,1024,0.7033840804510109,0.6801059250053644,1024,3.743356968638837e-07,nan,0.5588951159195736,1024,nan,0.5401979876537908,1024,4.737615823740626e-13,0.6694587387835518,0.6501473204706387,1024,0.7236799100633842,0.6814312839746799,1024,3.154459235418091e-07,0.7171143761451128,0.652949952167227,1024,0.7559724075594934,0.6801059250053644,1024,0.00037318369358923056,0.05695401385823601,0.07712347240429117,1024,0.02127890590361178,0.04605115135739828,1024,0.3907166439114022,0.697788332999648,0.7197749624490379,1024,0.7833380446194638,0.8067437057435091,1024,6.771697752050724e-07,-0.6488466223080123,-0.652949952167227,1024,-0.7033853079905665,-0.6801059250053644,1024,0.9999999303671584,0.6488466223080122,0.652949952167227,1024,0.7033853079905663,0.6801059250053644,1024,1.8716569975181635e-07,0.7790770389652775,0.7249241716436593,1024,0.8636465795782956,0.8243658246012445,1024,0.0004785123474333305,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
MACS0416,0,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,1.0,True,0.0,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,0,nan,nan,0,nan,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,1.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,0.03885639510333267,0.05171560989652309,1024,-0.020409173342902556,-0.024684737632400394,1024,69.84375
