candidate_a_code,candidate_b_code,cluster_id,transform,median_trajectory_correlation,median_derivative_correlation,median_normalized_rms_distance
T1,T4,Abell2744,R1,0.9999857408111006,0.9999857463591828,0.00730887689581303
T1,T4,Abell2744,R2,0.9999857408111006,0.9999857463591828,0.00730887689581303
T1,T4,Abell2744,R3,0.9999991898581855,0.9999857463591831,0.00730887689581303
T1,T4,Abell2744,R4,0.9999857408111006,0.9999857463591828,0.00730887689581303
T1,T4,Abell2744,R5,-1.0,-1.0,2.0
T1,T4,Abell2744,R6,-1.0,-1.0,2.0
T1,T4,MACS0416,R1,0.9999707672937179,0.9999707461760687,0.009820327043502055
T1,T4,MACS0416,R2,0.9999707672937179,0.9999707461760687,0.009820327043502055
T1,T4,MACS0416,R3,0.9999979061287675,0.9999707461760686,0.009820327043502051
T1,T4,MACS0416,R4,0.9999707672937179,0.9999707461760687,0.009820327043502055
T1,T4,MACS0416,R5,-1.0,-1.0,2.0
T1,T4,MACS0416,R6,-1.0,-1.0,2.0
T1,T4,MACS1149,R1,0.9999327254384995,0.9999323899508769,0.014371498393623238
T1,T4,MACS1149,R2,0.9999327254384995,0.9999323899508769,0.014371498393623238
T1,T4,MACS1149,R3,0.9999979546621717,0.9999323899508767,0.014371498393623245
T1,T4,MACS1149,R4,0.9999327254384995,0.9999323899508769,0.014371498393623238
T1,T4,MACS1149,R5,-1.0,-1.0,2.0
T1,T4,MACS1149,R6,-1.0,-1.0,2.0
T1,T4,AbellS1063,R1,0.9999788477213567,0.9999788157053475,0.008347354948002414
T1,T4,AbellS1063,R2,0.9999788477213567,0.9999788157053475,0.008347354948002414
T1,T4,AbellS1063,R3,0.999998603079223,0.9999788157053476,0.008347354948002416
T1,T4,AbellS1063,R4,0.9999788477213567,0.9999788157053475,0.008347354948002414
T1,T4,AbellS1063,R5,-1.0,-1.0,2.0
T1,T4,AbellS1063,R6,-1.0,-1.0,2.0
T1,T4,Abell370,R1,0.9999896549659119,0.9999896389939266,0.0063597786062778135
T1,T4,Abell370,R2,0.9999896549659119,0.9999896389939266,0.0063597786062778135
T1,T4,Abell370,R3,0.9999994825062674,0.9999896389939266,0.006359778606277813
T1,T4,Abell370,R4,0.9999896549659119,0.9999896389939266,0.0063597786062778135
T1,T4,Abell370,R5,-1.0,-1.0,2.0
T1,T4,Abell370,R6,-1.0,-1.0,2.0
T1,T5,Abell2744,R1,0.9980302950380756,0.9975190005820062,0.06276471878251844
T1,T5,Abell2744,R2,0.9980302950380756,0.9975190005820062,0.06276471878251844
T1,T5,Abell2744,R3,0.9999780817326225,0.9975190005820062,0.06276471878251878
T1,T5,Abell2744,R4,0.9980302950380756,0.9975190005820062,0.06276471878251844
T1,T5,Abell2744,R5,-1.0,-1.0,2.0
T1,T5,Abell2744,R6,-1.0,-1.0,2.0
T1,T5,MACS0416,R1,0.997559711925947,0.9974669915125132,0.07185933715420148
T1,T5,MACS0416,R2,0.997559711925947,0.9974669915125132,0.07185933715420148
T1,T5,MACS0416,R3,0.9999754116278363,0.9974669915125132,0.07185933715420147
T1,T5,MACS0416,R4,0.997559711925947,0.9974669915125132,0.07185933715420148
T1,T5,MACS0416,R5,-1.0,-1.0,2.0
T1,T5,MACS0416,R6,-1.0,-1.0,2.0
T1,T5,MACS1149,R1,0.9975111084579895,0.9967198424765957,0.08764764255736272
T1,T5,MACS1149,R2,0.9975111084579895,0.9967198424765957,0.08764764255736272
T1,T5,MACS1149,R3,0.9999806178034648,0.9967198424765957,0.08764764255736272
T1,T5,MACS1149,R4,0.9975111084579895,0.9967198424765957,0.08764764255736272
T1,T5,MACS1149,R5,-1.0,-1.0,2.0
T1,T5,MACS1149,R6,-1.0,-1.0,2.0
T1,T5,AbellS1063,R1,0.9976931539326599,0.996775956207801,0.08909360751582321
T1,T5,AbellS1063,R2,0.9976931539326599,0.996775956207801,0.08909360751582321
T1,T5,AbellS1063,R3,0.9999362205361823,0.996775956207801,0.08909360751582321
T1,T5,AbellS1063,R4,0.9976931539326599,0.996775956207801,0.08909360751582321
T1,T5,AbellS1063,R5,-1.0,-1.0,2.0
T1,T5,AbellS1063,R6,-1.0,-1.0,2.0
T1,T5,Abell370,R1,0.9978316871599876,0.9978141567607414,0.06585306128058775
T1,T5,Abell370,R2,0.9978316871599876,0.9978141567607414,0.06585306128058775
T1,T5,Abell370,R3,0.99996791271716,0.9978141567607414,0.06585306128058777
T1,T5,Abell370,R4,0.9978316871599876,0.9978141567607414,0.06585306128058775
T1,T5,Abell370,R5,-1.0,-1.0,2.0
T1,T5,Abell370,R6,-1.0,-1.0,2.0
T1,T6,Abell2744,R1,0.9968666572479851,0.9946960449974863,0.07916239955957674
T1,T6,Abell2744,R2,0.9968666572479851,0.9946960449974863,0.07916239955957674
T1,T6,Abell2744,R3,0.9999650767693786,0.9946960449974863,0.07916239955957702
T1,T6,Abell2744,R4,0.9968666572479851,0.9946960449974863,0.07916239955957674
T1,T6,Abell2744,R5,-1.0,-1.0,2.0
T1,T6,Abell2744,R6,-1.0,-1.0,2.0
T1,T6,MACS0416,R1,0.9959213967824684,0.9939307412888984,0.09031725435963696
T1,T6,MACS0416,R2,0.9959213967824684,0.9939307412888984,0.09031725435963696
T1,T6,MACS0416,R3,0.9999603420325036,0.9939307412888982,0.09031725435963694
T1,T6,MACS0416,R4,0.9959213967824684,0.9939307412888984,0.09031725435963696
T1,T6,MACS0416,R5,-1.0,-1.0,2.0
T1,T6,MACS0416,R6,-1.0,-1.0,2.0
T1,T6,MACS1149,R1,0.993774200502611,0.9938703213075305,0.11256676952304648
T1,T6,MACS1149,R2,0.993774200502611,0.9938703213075305,0.11256676952304648
T1,T6,MACS1149,R3,0.9999663293936205,0.9938703213075304,0.11256676952304648
T1,T6,MACS1149,R4,0.993774200502611,0.9938703213075305,0.11256676952304648
T1,T6,MACS1149,R5,-1.0,-1.0,2.0
T1,T6,MACS1149,R6,-1.0,-1.0,2.0
T1,T6,AbellS1063,R1,0.9939719259092895,0.9936601982514631,0.11225115612075359
T1,T6,AbellS1063,R2,0.9939719259092895,0.9936601982514631,0.11225115612075359
T1,T6,AbellS1063,R3,0.9998939247949868,0.9936601982514631,0.11225115612075359
T1,T6,AbellS1063,R4,0.9939719259092895,0.9936601982514631,0.11225115612075359
T1,T6,AbellS1063,R5,-1.0,-1.0,2.0
T1,T6,AbellS1063,R6,-1.0,-1.0,2.0
T1,T6,Abell370,R1,0.9972537938287678,0.9943315774777586,0.08305189579701173
T1,T6,Abell370,R2,0.9972537938287678,0.9943315774777586,0.08305189579701173
T1,T6,Abell370,R3,0.9999361654505228,0.9943315774777587,0.08305189579701172
T1,T6,Abell370,R4,0.9972537938287678,0.9943315774777586,0.08305189579701173
T1,T6,Abell370,R5,-1.0,-1.0,2.0
T1,T6,Abell370,R6,-1.0,-1.0,2.0
T1,T9,Abell2744,R1,0.9999650893418621,0.9999372608195,0.011533244276258812
T1,T9,Abell2744,R2,0.9999650893418621,0.9999372608195,0.011533244276258812
T1,T9,Abell2744,R3,0.9999989351206064,0.9999372608195,0.011533244276258544
T1,T9,Abell2744,R4,0.9999650893418621,0.9999372608195,0.011533244276258812
T1,T9,Abell2744,R5,-1.0,-1.0,2.0
T1,T9,Abell2744,R6,-1.0,-1.0,2.0
T1,T9,MACS0416,R1,0.999946406903173,0.9999419838827808,0.01326059282805432
T1,T9,MACS0416,R2,0.999946406903173,0.9999419838827808,0.01326059282805432
T1,T9,MACS0416,R3,0.9999983713347125,0.9999419838827808,0.013260592828054323
T1,T9,MACS0416,R4,0.999946406903173,0.9999419838827808,0.01326059282805432
T1,T9,MACS0416,R5,-1.0,-1.0,2.0
T1,T9,MACS0416,R6,-1.0,-1.0,2.0
T1,T9,MACS1149,R1,0.9999060578440778,0.9999048303521194,0.014833208417980958
T1,T9,MACS1149,R2,0.9999060578440778,0.9999048303521194,0.014833208417980958
T1,T9,MACS1149,R3,0.9999982589611927,0.9999048303521193,0.014833208417980956
T1,T9,MACS1149,R4,0.9999060578440778,0.9999048303521194,0.014833208417980958
T1,T9,MACS1149,R5,-1.0,-1.0,2.0
T1,T9,MACS1149,R6,-1.0,-1.0,2.0
T1,T9,AbellS1063,R1,0.9999380013276248,0.9999292005192346,0.012389212304065972
T1,T9,AbellS1063,R2,0.9999380013276248,0.9999292005192346,0.012389212304065972
T1,T9,AbellS1063,R3,0.999996749069579,0.9999292005192347,0.012389212304065967
T1,T9,AbellS1063,R4,0.9999380013276248,0.9999292005192346,0.012389212304065972
