candidate_a_code,candidate_b_code,cluster_id,path_length_diff,enclosed_area_diff,mean_curvature_diff,recurrence_diff,final_displacement_diff,n_loops_diff,winding_diff
T1,T4,Abell2744,0.00023024057308873436,1.0027453855047854e-08,211.11942362516834,0.02,0.00023099294834478553,0,4.257327197070641e-11
T1,T4,MACS0416,0.0003189842969723164,4.117529285974466e-09,30.48267502800166,0.0,0.0003192592047251083,0,1.9606449339834863e-11
T1,T4,MACS1149,0.0003557788456905397,2.386253707963872e-09,31.209251142903064,0.1,0.00035598981600011234,0,6.152357045005684e-11
T1,T4,AbellS1063,0.00019730416843657858,1.4107570919609839e-08,501.78991838170845,0.01,0.00019868910394533373,0,1.0081351185576478e-10
T1,T4,Abell370,0.00024618716228916657,7.936317499528242e-09,28.17809710985438,0.02,0.0002461733081231754,0,4.7666655936594283e-11
T1,T5,Abell2744,0.00012439947009414525,1.2963623711614478e-07,245.7774037179046,0.02,0.0001251914650286556,0,2.3242134296725954e-11
T1,T5,MACS0416,0.00021865767454865462,2.1213145081525693e-08,38.0679900238713,0.0,0.00021893354966260405,0,1.0879742135361705e-11
T1,T5,MACS1149,0.0002179102935980456,2.520400730605081e-08,37.23308747558266,0.1,0.0002181289593008517,0,2.1320368089169927e-11
T1,T5,AbellS1063,0.0001336187758799188,1.2054383637722965e-07,566.5953700677187,0.01,0.0001350192722384166,0,8.720408024883149e-11
T1,T5,Abell370,0.0001523191970392051,1.3900441096285324e-07,0.2046181567047789,0.02,0.00015232222877972215,0,3.970645190037852e-12
T1,T6,Abell2744,2.8769882280573275e-05,4.434931039949691e-07,146.3429717371202,0.31,5.429422284316274e-05,0,5.0655047748468044e-11
T1,T6,MACS0416,0.00012610674231737807,5.265771335954389e-07,122.98614051275777,0.0,0.00012629890086752742,0,3.190932393457813e-11
T1,T6,MACS1149,0.00010274841722042971,3.208552415665146e-07,139.17528161241046,0.07,0.0001028213971001833,0,2.262577965465153e-11
T1,T6,AbellS1063,0.0002110659948534833,7.518493255672531e-07,247.57713557650925,0.01,0.00021188257560564587,0,1.9425797768813044e-10
T1,T6,Abell370,3.9642146622650596e-05,1.9721292259012072e-07,730.4589788245801,0.030000000000000002,3.4020312756802305e-05,0,1.049379575426334e-10
T1,T9,Abell2744,0.00012628344769997923,7.76722538108792e-09,196.03908398405474,0.02,0.00012706663426778871,0,4.377500916880934e-11
T1,T9,MACS0416,0.00018765591599478906,2.9972090356610937e-10,6.555426373121996,0.0,0.00018792138964999014,0,1.52468032361906e-11
T1,T9,MACS1149,0.00019191994218105545,1.3659245253257602e-09,43.60807497215272,0.1,0.0001921357833525577,0,2.0851111071254817e-11
T1,T9,AbellS1063,9.435464053240308e-05,6.432715417804759e-09,258.99563917964264,0.01,9.535405217610378e-05,0,2.942118309823096e-11
T1,T9,Abell370,0.00015704447047537248,9.442213356596627e-09,48.5725496025986,0.02,0.00015703579571906982,0,2.2108616724661593e-11
T1,T10,Abell2744,0.00021529689992459079,1.95561564794551e-07,32.8074551481165,0.02,0.00021588230369317323,0,1.3641383456825612e-10
T1,T10,MACS0416,0.0003099308764249658,5.0717035068698036e-08,56.21812230978205,0.0,0.00031013377958209883,0,9.676275652386684e-11
T1,T10,MACS1149,0.0002911185990863045,3.2828172820678414e-08,52.47418562110067,0.1,0.0002913024613280947,0,7.909658228004076e-11
T1,T10,AbellS1063,0.00022586781577723026,2.1269955903724857e-07,161.14927120533156,0.01,0.0002258666913657798,0,3.728850713721441e-10
T1,T10,Abell370,0.00026177317012850105,1.6246934794888232e-07,131.65872390914086,0.02,0.0002616671442515541,0,1.0726727519271585e-10
T4,T5,Abell2744,0.00010584110299458911,1.3966369097119264e-07,34.65798009273628,0.0,0.00010580148331612991,0,6.581540626743236e-11
T4,T5,MACS0416,0.00010032662242366174,2.533067436750016e-08,7.585314995869643,0.0,0.00010032565506250425,0,8.726707204473158e-12
T4,T5,MACS1149,0.00013786855209249407,2.759026101401468e-08,6.023836332679593,0.0,0.00013786085669926064,0,4.020320236088691e-11
T4,T5,AbellS1063,6.368539255665977e-05,1.346514072968395e-07,64.80545168601023,0.0,6.366983170691713e-05,0,1.360943160693331e-11
T4,T5,Abell370,9.38679652499615e-05,1.4694072846238148e-07,28.38271526655916,0.0,9.385107934345324e-05,0,4.369601074655643e-11
T4,T6,Abell2744,0.00025901045536930764,4.5352055785001695e-07,64.77645188804813,0.33,0.00028528717118794827,0,9.322831971917445e-11
T4,T6,MACS0416,0.0001928775546549383,5.224596043094644e-07,153.4688155407594,0.0,0.00019296030385758088,0,5.1515773274412996e-11
T4,T6,MACS1149,0.00025303042847010993,3.1846898785855074e-07,107.96603046950739,0.03,0.000253168418899929,0,3.88977907954053e-11
T4,T6,AbellS1063,1.3761826416904736e-05,7.377417546476433e-07,254.2127828051992,0.0,1.3193471660312146e-05,0,2.950714895438952e-10
T4,T6,Abell370,0.00020654501566651597,2.0514924008964896e-07,702.2808817147256,0.05,0.0002121529953663731,0,1.5260461347922767e-10
T4,T9,Abell2744,0.00010395712538875513,1.7794679236135774e-08,15.080339641113568,0.0,0.00010392631407699681,0,8.634828113951575e-11
T4,T9,MACS0416,0.0001313283809775273,4.417250189540575e-09,37.038101401123654,0.0,0.00013133781507511816,0,3.485325257602546e-11
T4,T9,MACS1149,0.0001638589035094842,3.752178233289632e-09,12.398823829249658,0.0,0.00016385403264755464,0,4.0672459378802015e-11
T4,T9,AbellS1063,0.0001029495279041755,2.0540286337414598e-08,242.7942792020658,0.0,0.00010333505176922996,0,1.3023469495399576e-10
T4,T9,Abell370,8.914269181379411e-05,1.737853085612487e-08,20.394452492744215,0.0,8.913751240410557e-05,0,6.977527266125587e-11
T4,T10,Abell2744,1.4943673164143577e-05,1.8553411093950314e-07,178.31196847705183,0.0,1.5110644651612293e-05,0,1.7898710653896255e-10
T4,T10,MACS0416,9.053420547350602e-06,4.659950578272357e-08,86.70079733778371,0.0,9.125425143009466e-06,0,1.163692058637017e-10
T4,T10,MACS1149,6.466024660423521e-05,3.044191911271454e-08,21.26493447819761,0.0,6.468735467201763e-05,0,1.7573011829983925e-11
T4,T10,AbellS1063,2.856364734065168e-05,1.9859198811763873e-07,340.6406471763769,0.0,2.717758742044608e-05,0,4.736985832279089e-10
T4,T10,Abell370,1.5586007839334484e-05,1.5453303044935408e-07,103.48062679928648,0.0,1.5493836128378715e-05,0,1.5493393112931012e-10
T5,T6,Abell2744,0.00015316935237471853,3.138568668788243e-07,99.43443198078441,0.33,0.00017948568787181835,0,2.7412913451742093e-11
T5,T6,MACS0416,9.255093223127655e-05,5.477902786769646e-07,161.05413053662906,0.0,9.263464879507663e-05,0,4.278906606993984e-11
T5,T6,MACS1149,0.00011516187637761588,3.460592488725654e-07,101.9421941368278,0.03,0.00011530756220066838,0,1.3054115654816019e-12
T5,T6,AbellS1063,7.74472189735645e-05,8.723931619444828e-07,319.0182344912094,0.0,7.686330336722927e-05,0,2.814620579369619e-10
T5,T6,Abell370,0.00011267705041655448,5.8208511627267485e-08,730.6635969812849,0.05,0.00011830191602291985,0,1.0890860273267124e-10
T5,T9,Abell2744,1.883977605833981e-06,1.2186901173505686e-07,49.73831973384985,0.0,1.875169239133102e-06,0,2.053287487208339e-11
T5,T9,MACS0416,3.1001758553865564e-05,2.0913424177959584e-08,44.6234163969933,0.0,3.101216001261391e-05,0,2.6126545371552306e-11
T5,T9,MACS1149,2.599035141699014e-05,2.383808278072505e-08,6.374987496570064,0.0,2.5993175948294e-05,0,4.692570179151103e-13
T5,T9,AbellS1063,3.926413534751573e-05,1.141111209594249e-07,307.599730888076,0.0,3.9665220062312835e-05,0,1.1662526334706245e-10
T5,T9,Abell370,4.725273436167392e-06,1.295621976062566e-07,48.777167759303374,0.0,4.713566939347675e-06,0,2.6079261914699445e-11
T5,T10,Abell2744,9.089742983044554e-05,3.251978019106958e-07,212.9699485697881,0.0,9.069083866451762e-05,0,1.1317170027153017e-10
T5,T10,MACS0416,9.127320187631114e-05,7.193018015022373e-08,94.28611233365335,0.0,9.120022991949479e-05,0,1.0764249865922854e-10
T5,T10,MACS1149,7.320830548825886e-05,5.803218012672922e-08,15.241098145518016,0.0,7.317350202724302e-05,0,5.777621419087083e-11
T5,T10,AbellS1063,9.224903989731145e-05,3.3324339541447823e-07,405.4460988623871,0.0,9.084741912736321e-05,0,4.600891516209756e-10
T5,T10,Abell370,0.00010945397308929599,3.0147375891173556e-07,131.86334206584564,0.0,0.00010934491547183196,0,1.112379203827537e-10
T6,T9,Abell2744,0.0001550533299805525,4.357258786138812e-07,49.69611224693456,0.33,0.00018136085711095145,0,6.880038579658704e-12
T6,T9,MACS0416,6.154917367741098e-05,5.26876854499005e-07,116.43071413963577,0.0,6.162248878246272e-05,0,1.666252069838753e-11
T6,T9,MACS1149,8.917152496062574e-05,3.2222116609184037e-07,95.56720664025774,0.03,8.931438625237438e-05,0,1.7746685833967122e-12
T6,T9,AbellS1063,0.00011671135432108024,7.582820409850579e-07,11.418503603133388,0.0,0.00011652852342954211,0,1.6483679458989948e-10
T6,T9,Abell370,0.00011740232385272187,1.877707092335241e-07,681.8864292219814,0.05,0.00012301548296226754,0,8.28293408179718e-11
T6,T10,Abell2744,0.00024406678220516406,6.390546687895201e-07,113.53551658900369,0.33,0.00027017652653633597,0,8.575878681978808e-11
T6,T10,MACS0416,0.00018382413410758769,4.7586009852674084e-07,66.76801820297571,0.0,0.00018383487871457142,0,6.485343258928871e-11
T6,T10,MACS1149,0.00018837018186587472,2.880270687458362e-07,86.70109599130978,0.03,0.0001884810642279114,0,5.647080262538923e-11
T6,T10,AbellS1063,1.4801820923746945e-05,5.391497665300046e-07,86.42786437117769,0.0,1.3984115760133935e-05,0,1.7862709368401367e-10
T6,T10,Abell370,0.00022213102350585046,3.5968227053900304e-07,598.8002549154392,0.05,0.00022764683149475182,0,2.3293176500824518e-12
T9,T10,Abell2744,8.901345222461155e-05,2.033287901756389e-07,163.23162883593824,0.0,8.881566942538452e-05,0,9.263882539944677e-11
T9,T10,MACS0416,0.0001222749604301767,5.1016755972264145e-08,49.66269593666006,0.0,0.0001222123899321087,0,8.151595328767623e-11
T9,T10,MACS1149,9.9198656905249e-05,3.4194097346004174e-08,8.866110648947952,0.0,9.916667797553702e-05,0,5.824547120878594e-11
T9,T10,AbellS1063,0.00013151317524482718,2.1913227445505333e-07,97.84636797431108,0.0,0.00013051263918967604,0,3.4346388827391315e-10
T9,T10,Abell370,0.0001047286996531286,1.7191156130547895e-07,83.08617430654228,0.0,0.00010463134853248428,0,8.515865846805425e-11
