E_FS_a,E_FS_b,E_SF_a,E_SF_b,E_cycle_a,E_cycle_b,E_cycle_diff,E_net_a,E_net_b,R_return_a,R_return_b,R_return_diff,candidate_a_code,candidate_b_code,cluster_id
0.050969802536530696,0.05184717959993122,0.050969802536530696,0.05184717959993122,0.10193960507306139,0.10369435919986245,0.017213664164613927,0.0,0.0,1.0,1.0,0.0,T1,T4,Abell2744
0.049696901020301894,0.05094969959182124,0.049696901020301894,0.05094969959182124,0.09939380204060379,0.10189939918364248,0.02520878658022477,0.0,0.0,1.0,1.0,0.0,T1,T4,MACS0416
0.05249215898792233,0.054564080774948974,0.05249215898792233,0.054564080774948974,0.10498431797584466,0.10912816154989795,0.03947107200340838,0.0,0.0,1.0,1.0,0.0,T1,T4,MACS1149
0.05345780190693409,0.05461683019656807,0.05345780190693409,0.05461683019656807,0.10691560381386818,0.10923366039313614,0.02168118119880353,0.0,0.0,1.0,1.0,0.0,T1,T4,AbellS1063
0.05085786821175574,0.05159811955525934,0.05085786821175574,0.05159811955525934,0.10171573642351148,0.10319623911051869,0.014555296349061216,0.0,0.0,1.0,1.0,0.0,T1,T4,Abell370
0.050969802536530696,0.06834142548366749,0.050969802536530696,0.06834142548366749,0.10193960507306139,0.13668285096733498,0.3408218608397852,0.0,0.0,1.0,1.0,0.0,T1,T5,Abell2744
0.049696901020301894,0.06696257004437053,0.049696901020301894,0.06696257004437053,0.09939380204060379,0.13392514008874107,0.34741942997643593,0.0,0.0,1.0,1.0,0.0,T1,T5,MACS0416
0.05249215898792233,0.07135869026576958,0.05249215898792233,0.07135869026576958,0.10498431797584466,0.14271738053153915,0.35941618027538463,0.0,0.0,1.0,1.0,0.0,T1,T5,MACS1149
0.05345780190693409,0.07180094202209233,0.05345780190693409,0.07180094202209233,0.10691560381386818,0.14360188404418467,0.34313307806954424,0.0,0.0,1.0,1.0,0.0,T1,T5,AbellS1063
0.05085786821175574,0.06807193393218917,0.05085786821175574,0.06807193393218917,0.10171573642351148,0.13614386786437835,0.338473992829578,0.0,0.0,1.0,1.0,0.0,T1,T5,Abell370
