candidate_a_code,candidate_b_code,cluster_id,derivative_correlation,field,normalization,transform
T1,T4,Abell2744,0.9999857548852699,q_fast,N0,R1
T1,T4,Abell2744,0.9999857548852699,q_fast,N0,R2
T1,T4,Abell2744,0.9999857548852695,q_fast,N0,R3
T1,T4,Abell2744,0.9999857548852699,q_fast,N0,R4
T1,T4,Abell2744,-1.0,q_fast,N0,R5
T1,T4,Abell2744,-1.0,q_fast,N0,R6
T1,T4,Abell2744,0.9999857548852695,q_fast,N1,R1
T1,T4,Abell2744,0.9999857548852695,q_fast,N1,R2
T1,T4,Abell2744,0.9999857548852698,q_fast,N1,R3
T1,T4,Abell2744,0.9999857548852695,q_fast,N1,R4
T1,T4,Abell2744,-1.0,q_fast,N1,R5
T1,T4,Abell2744,-1.0,q_fast,N1,R6
T1,T4,Abell2744,0.9999857548852696,q_fast,N2,R1
T1,T4,Abell2744,0.9999857548852696,q_fast,N2,R2
T1,T4,Abell2744,0.9999857548852696,q_fast,N2,R3
T1,T4,Abell2744,0.9999857548852696,q_fast,N2,R4
T1,T4,Abell2744,-1.0,q_fast,N2,R5
T1,T4,Abell2744,-1.0,q_fast,N2,R6
T1,T4,Abell2744,0.9999857548852696,q_fast,N3,R1
T1,T4,Abell2744,0.9999857548852696,q_fast,N3,R2
T1,T4,Abell2744,0.9999857548852696,q_fast,N3,R3
T1,T4,Abell2744,0.9999857548852696,q_fast,N3,R4
T1,T4,Abell2744,-1.0,q_fast,N3,R5
T1,T4,Abell2744,-1.0,q_fast,N3,R6
T1,T4,Abell2744,0.9999857548852696,q_fast,N4,R1
T1,T4,Abell2744,0.9999857548852696,q_fast,N4,R2
T1,T4,Abell2744,0.9999857548852694,q_fast,N4,R3
T1,T4,Abell2744,0.9999857548852696,q_fast,N4,R4
T1,T4,Abell2744,-1.0,q_fast,N4,R5
T1,T4,Abell2744,-1.0,q_fast,N4,R6
T1,T4,Abell2744,0.9999859414380857,q_slow,N0,R1
T1,T4,Abell2744,0.9999859414380857,q_slow,N0,R2
T1,T4,Abell2744,0.9999859414380856,q_slow,N0,R3
T1,T4,Abell2744,0.9999859414380857,q_slow,N0,R4
T1,T4,Abell2744,-1.0,q_slow,N0,R5
T1,T4,Abell2744,-1.0,q_slow,N0,R6
T1,T4,Abell2744,0.9999859414380857,q_slow,N1,R1
T1,T4,Abell2744,0.9999859414380857,q_slow,N1,R2
T1,T4,Abell2744,0.9999859414380857,q_slow,N1,R3
T1,T4,Abell2744,0.9999859414380857,q_slow,N1,R4
T1,T4,Abell2744,-1.0,q_slow,N1,R5
T1,T4,Abell2744,-1.0,q_slow,N1,R6
T1,T4,Abell2744,0.9999859414380858,q_slow,N2,R1
T1,T4,Abell2744,0.9999859414380858,q_slow,N2,R2
T1,T4,Abell2744,0.9999859414380855,q_slow,N2,R3
T1,T4,Abell2744,0.9999859414380858,q_slow,N2,R4
T1,T4,Abell2744,-1.0,q_slow,N2,R5
T1,T4,Abell2744,-1.0,q_slow,N2,R6
T1,T4,Abell2744,0.9999859414380855,q_slow,N3,R1
T1,T4,Abell2744,0.9999859414380855,q_slow,N3,R2
T1,T4,Abell2744,0.9999859414380855,q_slow,N3,R3
T1,T4,Abell2744,0.9999859414380855,q_slow,N3,R4
T1,T4,Abell2744,-1.0,q_slow,N3,R5
T1,T4,Abell2744,-1.0,q_slow,N3,R6
T1,T4,Abell2744,0.9999859414380857,q_slow,N4,R1
T1,T4,Abell2744,0.9999859414380857,q_slow,N4,R2
T1,T4,Abell2744,0.9999859414380855,q_slow,N4,R3
T1,T4,Abell2744,0.9999859414380857,q_slow,N4,R4
T1,T4,Abell2744,-1.0,q_slow,N4,R5
T1,T4,Abell2744,-1.0,q_slow,N4,R6
T1,T4,Abell2744,0.9999861400874285,delta_q,N0,R1
T1,T4,Abell2744,0.9999861400874285,delta_q,N0,R2
T1,T4,Abell2744,0.9999861400874285,delta_q,N0,R3
T1,T4,Abell2744,0.9999861400874285,delta_q,N0,R4
T1,T4,Abell2744,-1.0,delta_q,N0,R5
T1,T4,Abell2744,-1.0,delta_q,N0,R6
T1,T4,Abell2744,0.9999861400874288,delta_q,N1,R1
T1,T4,Abell2744,0.9999861400874288,delta_q,N1,R2
T1,T4,Abell2744,0.9999861400874288,delta_q,N1,R3
T1,T4,Abell2744,0.9999861400874288,delta_q,N1,R4
T1,T4,Abell2744,-1.0,delta_q,N1,R5
T1,T4,Abell2744,-1.0,delta_q,N1,R6
T1,T4,Abell2744,0.9999861400874286,delta_q,N2,R1
T1,T4,Abell2744,0.9999861400874286,delta_q,N2,R2
T1,T4,Abell2744,0.9999861400874286,delta_q,N2,R3
T1,T4,Abell2744,0.9999861400874286,delta_q,N2,R4
T1,T4,Abell2744,-1.0,delta_q,N2,R5
T1,T4,Abell2744,-1.0,delta_q,N2,R6
T1,T4,Abell2744,0.9999861400874288,delta_q,N3,R1
T1,T4,Abell2744,0.9999861400874288,delta_q,N3,R2
T1,T4,Abell2744,0.9999861400874286,delta_q,N3,R3
T1,T4,Abell2744,0.9999861400874288,delta_q,N3,R4
T1,T4,Abell2744,-1.0,delta_q,N3,R5
T1,T4,Abell2744,-1.0,delta_q,N3,R6
T1,T4,Abell2744,0.9999861400874285,delta_q,N4,R1
T1,T4,Abell2744,0.9999861400874285,delta_q,N4,R2
T1,T4,Abell2744,0.9999861400874286,delta_q,N4,R3
T1,T4,Abell2744,0.9999861400874285,delta_q,N4,R4
T1,T4,Abell2744,-1.0,delta_q,N4,R5
T1,T4,Abell2744,-1.0,delta_q,N4,R6
T1,T4,Abell2744,0.9999859072901958,mean_q,N0,R1
T1,T4,Abell2744,0.9999859072901958,mean_q,N0,R2
T1,T4,Abell2744,0.9999859072901957,mean_q,N0,R3
T1,T4,Abell2744,0.9999859072901958,mean_q,N0,R4
T1,T4,Abell2744,-1.0,mean_q,N0,R5
T1,T4,Abell2744,-1.0,mean_q,N0,R6
T1,T4,Abell2744,0.9999859072901955,mean_q,N1,R1
T1,T4,Abell2744,0.9999859072901955,mean_q,N1,R2
T1,T4,Abell2744,0.9999859072901955,mean_q,N1,R3
T1,T4,Abell2744,0.9999859072901955,mean_q,N1,R4
T1,T4,Abell2744,-1.0,mean_q,N1,R5
T1,T4,Abell2744,-1.0,mean_q,N1,R6
T1,T4,Abell2744,0.9999859072901959,mean_q,N2,R1
T1,T4,Abell2744,0.9999859072901959,mean_q,N2,R2
T1,T4,Abell2744,0.9999859072901959,mean_q,N2,R3
T1,T4,Abell2744,0.9999859072901959,mean_q,N2,R4
T1,T4,Abell2744,-1.0,mean_q,N2,R5
T1,T4,Abell2744,-1.0,mean_q,N2,R6
T1,T4,Abell2744,0.9999859072901958,mean_q,N3,R1
T1,T4,Abell2744,0.9999859072901958,mean_q,N3,R2
T1,T4,Abell2744,0.9999859072901958,mean_q,N3,R3
T1,T4,Abell2744,0.9999859072901958,mean_q,N3,R4
T1,T4,Abell2744,-1.0,mean_q,N3,R5
T1,T4,Abell2744,-1.0,mean_q,N3,R6
T1,T4,Abell2744,0.9999859072901957,mean_q,N4,R1
T1,T4,Abell2744,0.9999859072901957,mean_q,N4,R2
T1,T4,Abell2744,0.9999859072901958,mean_q,N4,R3
T1,T4,Abell2744,0.9999859072901957,mean_q,N4,R4
T1,T4,Abell2744,-1.0,mean_q,N4,R5
T1,T4,Abell2744,-1.0,mean_q,N4,R6
T1,T4,Abell2744,0.9935274007181353,dq_fast_dt,N0,R1
T1,T4,Abell2744,0.9935274007181353,dq_fast_dt,N0,R2
T1,T4,Abell2744,0.9935274007181356,dq_fast_dt,N0,R3
T1,T4,Abell2744,0.9935274007181353,dq_fast_dt,N0,R4
T1,T4,Abell2744,-1.0,dq_fast_dt,N0,R5
T1,T4,Abell2744,-1.0,dq_fast_dt,N0,R6
T1,T4,Abell2744,0.9935274007181353,dq_fast_dt,N1,R1
T1,T4,Abell2744,0.9935274007181353,dq_fast_dt,N1,R2
T1,T4,Abell2744,0.9935274007181353,dq_fast_dt,N1,R3
T1,T4,Abell2744,0.9935274007181353,dq_fast_dt,N1,R4
T1,T4,Abell2744,-1.0,dq_fast_dt,N1,R5
T1,T4,Abell2744,-1.0,dq_fast_dt,N1,R6
T1,T4,Abell2744,0.9935274007181353,dq_fast_dt,N2,R1
T1,T4,Abell2744,0.9935274007181353,dq_fast_dt,N2,R2
