control_code,candidate_code,cluster_id,trajectory_correlation_destroyed,derivative_correlation_destroyed
WR1,T1,Abell2744,0.35437333561460027,-0.002588969452664149
WR1,T4,Abell2744,0.35360113168023455,-0.0023949417745429335
WR1,T5,Abell2744,0.3527062443994467,0.0012642321190625954
WR1,T6,Abell2744,0.3502289004564385,-0.0037648107223595124
WR1,T9,Abell2744,0.3560789996824119,0.001605549472485525
WR1,T10,Abell2744,0.353936650153552,-0.004866509984493753
WR2,T1,Abell2744,0.35311120055418954,-0.004548471033383947
WR2,T4,Abell2744,0.35210097427274534,-0.0013308670718720278
WR2,T5,Abell2744,0.3554788574055499,-0.0027759156873609294
WR2,T6,Abell2744,0.35869579586053846,0.005255719549671357
WR2,T9,Abell2744,0.3551528336171894,0.001182504710378264
WR2,T10,Abell2744,0.3557157450594204,-0.005426180784746787
WR3,T1,Abell2744,0.49582277730306634,0.48275394156157064
WR3,T4,Abell2744,0.49584795226132417,0.48285550664634885
WR3,T5,Abell2744,0.49461359599882915,0.4776003639544594
WR3,T6,Abell2744,0.4948168114928531,0.478360156661045
WR3,T9,Abell2744,0.4957245219479168,0.48238376920791703
WR3,T10,Abell2744,0.497341908494641,0.488794447090053
WR4,T1,Abell2744,0.7618046462180166,0.7446441882257515
WR4,T4,Abell2744,0.7618364218519345,0.7435887796067648
WR4,T5,Abell2744,0.7624464417444011,0.7444542898464134
WR4,T6,Abell2744,0.7660252351795679,0.7490677246079833
WR4,T9,Abell2744,0.7610991442618531,0.7424552958937501
WR4,T10,Abell2744,0.7593544017478746,0.7443966263080228
WR1,T1,MACS0416,0.3043954556339965,0.0018958991387330584
WR1,T4,MACS0416,0.30129678943360055,0.003696543212005002
WR1,T5,MACS0416,0.29992914760370115,0.0075847412294621965
WR1,T6,MACS0416,0.2998387766469015,-0.005323984357494831
WR1,T9,MACS0416,0.3049310887462325,0.004727705640397949
WR1,T10,MACS0416,0.3016587900176879,0.0007666186846747838
WR2,T1,MACS0416,0.3001737975070873,-0.004615136583685698
WR2,T4,MACS0416,0.30530005670864874,0.004073580189724438
WR2,T5,MACS0416,0.3019751384954964,-0.0027263762308634126
WR2,T6,MACS0416,0.30430432192220636,0.003556565928060733
WR2,T9,MACS0416,0.2991190319104192,-0.0066632874466382025
WR2,T10,MACS0416,0.3020045717602557,-0.0029740544167754933
WR3,T1,MACS0416,0.49384015358137,0.48188264658083846
WR3,T4,MACS0416,0.49389335078572866,0.48203612498723314
WR3,T5,MACS0416,0.49205512239863486,0.47646054055310966
WR3,T6,MACS0416,0.49236672228627626,0.47733890787082367
WR3,T9,MACS0416,0.4937059264772398,0.481523757222978
WR3,T10,MACS0416,0.4960916942804289,0.48830641789585066
WR4,T1,MACS0416,0.7453029296917213,0.7412424320584636
WR4,T4,MACS0416,0.7452827310690492,0.7417629230260565
WR4,T5,MACS0416,0.7457336284305883,0.7427220116010423
WR4,T6,MACS0416,0.753366287635908,0.7485537940538362
WR4,T9,MACS0416,0.7457122212637171,0.7420333434471744
WR4,T10,MACS0416,0.748063974325467,0.744780414531486
