candidate_a_code,candidate_b_code,cluster_id,field,normalization,trajectory_correlation,transform
T1,T4,Abell2744,dq_slow_dt,N2,0.9988424142105741,R1
T1,T4,Abell2744,dq_slow_dt,N2,0.9988424142105741,R2
T1,T4,Abell2744,dq_slow_dt,N2,0.9981667327037028,R3
T1,T4,Abell2744,dq_slow_dt,N2,0.9988424142105741,R4
T1,T4,Abell2744,dq_slow_dt,N2,-1.0,R5
T1,T4,Abell2744,dq_slow_dt,N2,-1.0,R6
T1,T4,Abell2744,dq_slow_dt,N3,0.9732825492988714,R1
T1,T4,Abell2744,dq_slow_dt,N3,0.9732825492988714,R2
T1,T4,Abell2744,dq_slow_dt,N3,0.9866412746494356,R3
T1,T4,Abell2744,dq_slow_dt,N3,0.9732825492988714,R4
T1,T4,Abell2744,dq_slow_dt,N3,-1.0,R5
T1,T4,Abell2744,dq_slow_dt,N3,-1.0,R6
T1,T4,Abell2744,dq_slow_dt,N4,0.956578297309918,R1
T1,T4,Abell2744,dq_slow_dt,N4,0.956578297309918,R2
T1,T4,Abell2744,dq_slow_dt,N4,0.9999999998945486,R3
T1,T4,Abell2744,dq_slow_dt,N4,0.956578297309918,R4
T1,T4,Abell2744,dq_slow_dt,N4,-1.0,R5
T1,T4,Abell2744,dq_slow_dt,N4,-1.0,R6
T1,T4,Abell2744,J_fast_to_slow,N0,0.9999651156231094,R1
T1,T4,Abell2744,J_fast_to_slow,N0,0.9999651156231094,R2
T1,T4,Abell2744,J_fast_to_slow,N0,0.9999999999999981,R3
T1,T4,Abell2744,J_fast_to_slow,N0,0.9999651156231094,R4
T1,T4,Abell2744,J_fast_to_slow,N0,-1.0,R5
T1,T4,Abell2744,J_fast_to_slow,N0,-1.0,R6
T1,T4,Abell2744,J_fast_to_slow,N1,0.9999651156231094,R1
T1,T4,Abell2744,J_fast_to_slow,N1,0.9999651156231094,R2
T1,T4,Abell2744,J_fast_to_slow,N1,0.9999651156231071,R3
T1,T4,Abell2744,J_fast_to_slow,N1,0.9999651156231094,R4
T1,T4,Abell2744,J_fast_to_slow,N1,-1.0,R5
T1,T4,Abell2744,J_fast_to_slow,N1,-1.0,R6
T1,T4,Abell2744,J_fast_to_slow,N2,0.9999651156231095,R1
T1,T4,Abell2744,J_fast_to_slow,N2,0.9999651156231095,R2
T1,T4,Abell2744,J_fast_to_slow,N2,0.9999994608577467,R3
T1,T4,Abell2744,J_fast_to_slow,N2,0.9999651156231095,R4
T1,T4,Abell2744,J_fast_to_slow,N2,-1.0,R5
T1,T4,Abell2744,J_fast_to_slow,N2,-1.0,R6
T1,T4,Abell2744,J_fast_to_slow,N3,0.9999571824558373,R1
T1,T4,Abell2744,J_fast_to_slow,N3,0.9999571824558373,R2
T1,T4,Abell2744,J_fast_to_slow,N3,0.9999785912279184,R3
T1,T4,Abell2744,J_fast_to_slow,N3,0.9999571824558373,R4
T1,T4,Abell2744,J_fast_to_slow,N3,-1.0,R5
T1,T4,Abell2744,J_fast_to_slow,N3,-1.0,R6
T1,T4,Abell2744,J_fast_to_slow,N4,0.9999651156231096,R1
T1,T4,Abell2744,J_fast_to_slow,N4,0.9999651156231096,R2
T1,T4,Abell2744,J_fast_to_slow,N4,0.9999999999996309,R3
T1,T4,Abell2744,J_fast_to_slow,N4,0.9999651156231096,R4
T1,T4,Abell2744,J_fast_to_slow,N4,-1.0,R5
T1,T4,Abell2744,J_fast_to_slow,N4,-1.0,R6
T1,T4,Abell2744,J_slow_to_fast,N0,0.9999651156231094,R1
T1,T4,Abell2744,J_slow_to_fast,N0,0.9999651156231094,R2
T1,T4,Abell2744,J_slow_to_fast,N0,0.9999999999999981,R3
T1,T4,Abell2744,J_slow_to_fast,N0,0.9999651156231094,R4
T1,T4,Abell2744,J_slow_to_fast,N0,-1.0,R5
T1,T4,Abell2744,J_slow_to_fast,N0,-1.0,R6
T1,T4,Abell2744,J_slow_to_fast,N1,0.9999651156231094,R1
T1,T4,Abell2744,J_slow_to_fast,N1,0.9999651156231094,R2
