candidate_a_code,candidate_b_code,cluster_id,long_amp_a,long_amp_b,long_freq_a,long_freq_b,long_mode_correlation,long_stab_a,long_stab_b,trans_amp_a,trans_amp_b,trans_freq_a,trans_freq_b,trans_mode_correlation,trans_stab_a,trans_stab_b
T1,T4,Abell2744,2.6898078317788336e-05,2.6639413751007973e-05,1.0,1.0,0.9999861438509847,0.9409039172955269,0.9420019503718307,4.2617298018171016e-06,6.091421778015658e-05,1.0,1.0,0.9999859393059033,0.9999297776635828,0.9990069315253257
T1,T4,MACS0416,1.022676528833468e-05,1.0143210104137533e-05,1.0,1.0,0.9999732954470771,0.924312932939824,0.9258710116329325,2.6089040650287296e-06,7.251164486870514e-05,1.0,1.0,0.9999712264165089,0.9999424916498877,0.9984261607930872
T1,T4,MACS1149,4.6950759349504585e-06,4.488317924570298e-06,1.0,1.0,0.9999308469326669,0.9642052905864655,0.9665198383794092,9.952842353935426e-07,7.720151405491387e-05,1.0,1.0,0.9999338928343262,0.999970001600928,0.9977279476934375
T1,T4,AbellS1063,4.45762504438364e-05,4.41355098952278e-05,1.0,1.0,0.9999792971246655,0.9357189581011899,0.9370647343605588,7.317915667844791e-06,6.107626502995575e-05,1.0,1.0,0.9999791245816827,0.9998222482258056,0.9985360694312277
T1,T4,Abell370,2.3535702878364487e-05,2.332220890331732e-05,1.0,1.0,0.999989902294371,0.944472774344062,0.9454032197228439,5.322408258251894e-06,6.347638451411993e-05,1.0,1.0,0.9999898171752528,0.9999165748356389,0.9990140057230987
T1,T5,Abell2744,2.6898078317788336e-05,2.0062990177243677e-05,1.0,1.0,0.9948374838806527,0.9409039172955269,0.9623042264078605,4.2617298018171016e-06,3.93697944396956e-05,1.0,1.0,0.9999936412038088,0.9999297776635828,0.9993555263593273
T1,T5,MACS0416,1.022676528833468e-05,8.6050371858286e-06,1.0,1.0,0.995402161217978,0.924312932939824,0.9451130037794389,2.6089040650287296e-06,5.207194038635916e-05,1.0,1.0,0.999985446655544,0.9999424916498877,0.9988638629631157
T1,T5,MACS1149,4.6950759349504585e-06,2.137797700127158e-06,1.0,1.0,0.993999419812292,0.9642052905864655,0.9863217138478181,9.952842353935426e-07,4.882405568640008e-05,1.0,1.0,0.9999726481937964,0.999970001600928,0.9985491477187745
T1,T5,AbellS1063,4.45762504438364e-05,3.474313273394662e-05,1.0,1.0,0.9949577094367988,0.9357189581011899,0.9570751546433217,7.317915667844791e-06,4.915484026098845e-05,1.0,1.0,0.9999872827372471,0.9998222482258056,0.9988176615221058
T1,T5,Abell370,2.3535702878364487e-05,1.6634242504766377e-05,1.0,1.0,0.9944089874341081,0.944472774344062,0.9666042544794118,5.322408258251894e-06,4.452548881087351e-05,1.0,1.0,0.9999953381797213,0.9999165748356389,0.9993060122297216
T1,T6,Abell2744,2.6898078317788336e-05,7.511190132277239e-06,1.0,1.0,0.9688431773667537,0.9409039172955269,0.987819997703124,4.2617298018171016e-06,2.937962865789025e-06,1.0,1.0,0.9999998769780011,0.9999297776635828,0.999951595728266
T1,T6,MACS0416,1.022676528833468e-05,4.642078746955928e-05,1.0,1.0,0.035611837495368844,0.924312932939824,0.863482252635176,2.6089040650287296e-06,2.4229559809279707e-05,1.0,1.0,0.9999971690487942,0.9999424916498877,0.999467485557124
T1,T6,MACS1149,4.6950759349504585e-06,3.545951464011151e-05,1.0,1.0,0.8169759671713748,0.9642052905864655,0.9050895248478916,9.952842353935426e-07,1.841664181297251e-05,1.0,1.0,0.9999957475024026,0.999970001600928,0.9994466699573484
T1,T6,AbellS1063,4.45762504438364e-05,0.00010013357453456451,1.0,1.0,0.8252164788501328,0.9357189581011899,0.8738857852182381,7.317915667844791e-06,4.8476342761630285e-05,1.0,1.0,0.9999876965345932,0.9998222482258056,0.9988303863440826
T1,T6,Abell370,2.3535702878364487e-05,1.7275451384548682e-05,1.0,1.0,0.9290581541194365,0.944472774344062,0.9751512075505762,5.322408258251894e-06,1.954194267966123e-05,1.0,1.0,0.9999993447675829,0.9999165748356389,0.9996940242725447
T1,T9,Abell2744,2.6898078317788336e-05,2.6043609916151548e-05,1.0,1.0,0.9998909976550658,0.9409039172955269,0.944068251927517,4.2617298018171016e-06,3.862553502076535e-05,1.0,1.0,0.9999938621005706,0.9999297776635828,0.999367741160539
T1,T9,MACS0416,1.022676528833468e-05,1.0003409470281665e-05,1.0,1.0,0.9998836289362547,0.924312932939824,0.9276986578394757,2.6089040650287296e-06,4.509015261850947e-05,1.0,1.0,0.9999892343667303,0.9999424916498877,0.9990148563062541
T1,T9,MACS1149,4.6950759349504585e-06,4.337960568089659e-06,1.0,1.0,0.9998350214664249,0.9642052905864655,0.9678958571077145,9.952842353935426e-07,4.2896854521888996e-05,1.0,1.0,0.9999787172505064,0.999970001600928,0.9987234426086532
T1,T9,AbellS1063,4.45762504438364e-05,4.3320871212556685e-05,1.0,1.0,0.9998882571525571,0.9357189581011899,0.9389574626050066,7.317915667844791e-06,3.775187634958614e-05,1.0,1.0,0.9999932245881341,0.9998222482258056,0.999089498236069
T1,T9,Abell370,2.3535702878364487e-05,2.2711689703326935e-05,1.0,1.0,0.9998910773297964,0.944472774344062,0.9476136141065401,5.322408258251894e-06,4.465183053875468e-05,1.0,1.0,0.9999953103109519,0.9999165748356389,0.99930413610438
T1,T10,Abell2744,2.6898078317788336e-05,3.5440055268289944e-05,1.0,1.0,0.9789307906870517,0.9409039172955269,0.8934870032632932,4.2617298018171016e-06,5.535211641184584e-05,1.0,1.0,0.9999882337217704,0.9999297776635828,0.9990970496166085
T1,T10,MACS0416,1.022676528833468e-05,1.3106789252712398e-05,1.0,1.0,0.9617364081723664,0.924312932939824,0.853293548286395,2.6089040650287296e-06,6.94966210316751e-05,1.0,1.0,0.9999736363782529,0.9999424916498877,0.9984912577095684
T1,T10,MACS1149,4.6950759349504585e-06,7.409042272198461e-06,1.0,1.0,0.9866848501445364,0.9642052905864655,0.9292548880215445,9.952842353935426e-07,6.214936545695305e-05,1.0,1.0,0.9999566496345202,0.999970001600928,0.998164873164218
T1,T10,AbellS1063,4.45762504438364e-05,5.7890018864288844e-05,1.0,1.0,0.9752906544457779,0.9357189581011899,0.8829808358128529,7.317915667844791e-06,6.374840079490463e-05,1.0,1.0,0.999977045597075,0.9998222482258056,0.9984732181616726
T1,T10,Abell370,2.3535702878364487e-05,3.027421491917651e-05,1.0,1.0,0.9870840294930869,0.944472774344062,0.9085077674870567,5.322408258251894e-06,6.525163988736254e-05,1.0,1.0,0.999989196885813,0.9999165748356389,0.998986946780586
T4,T5,Abell2744,2.6639413751007973e-05,2.0062990177243677e-05,1.0,1.0,0.9953483294030143,0.9420019503718307,0.9623042264078605,6.091421778015658e-05,3.93697944396956e-05,1.0,1.0,0.9999984390163361,0.9990069315253257,0.9993555263593273
T4,T5,MACS0416,1.0143210104137533e-05,8.6050371858286e-06,1.0,1.0,0.996063217537401,0.9258710116329325,0.9451130037794389,7.251164486870514e-05,5.207194038635916e-05,1.0,1.0,0.9999975259014733,0.9984261607930872,0.9988638629631157
T4,T5,MACS1149,4.488317924570298e-06,2.137797700127158e-06,1.0,1.0,0.9951870327371263,0.9665198383794092,0.9863217138478181,7.720151405491387e-05,4.882405568640008e-05,1.0,1.0,0.9999914035975658,0.9977279476934375,0.9985491477187745
T4,T5,AbellS1063,4.41355098952278e-05,3.474313273394662e-05,1.0,1.0,0.9955687403418712,0.9370647343605588,0.9570751546433217,6.107626502995575e-05,4.915484026098845e-05,1.0,1.0,0.9999989551432382,0.9985360694312277,0.9988176615221058
T4,T5,Abell370,2.332220890331732e-05,1.6634242504766377e-05,1.0,1.0,0.9948636943390606,0.9454032197228439,0.9666042544794118,6.347638451411993e-05,4.452548881087351e-05,1.0,1.0,0.9999989021057109,0.9990140057230987,0.9993060122297216
T4,T6,Abell2744,2.6639413751007973e-05,7.511190132277239e-06,1.0,1.0,0.9699988800896637,0.9420019503718307,0.987819997703124,6.091421778015658e-05,2.937962865789025e-06,1.0,1.0,0.9999877661032153,0.9990069315253257,0.999951595728266
T4,T6,MACS0416,1.0143210104137533e-05,4.642078746955928e-05,1.0,1.0,0.029765211437821217,0.9258710116329325,0.863482252635176,7.251164486870514e-05,2.4229559809279707e-05,1.0,1.0,0.9999852653079071,0.9984261607930872,0.999467485557124
T4,T6,MACS1149,4.488317924570298e-06,3.545951464011151e-05,1.0,1.0,0.8228627234047726,0.9665198383794092,0.9050895248478916,7.720151405491387e-05,1.841664181297251e-05,1.0,1.0,0.9999598587080604,0.9977279476934375,0.9994466699573484
T4,T6,AbellS1063,4.41355098952278e-05,0.00010013357453456451,1.0,1.0,0.8223134563577764,0.9370647343605588,0.8738857852182381,6.107626502995575e-05,4.8476342761630285e-05,1.0,1.0,0.9999971305159759,0.9985360694312277,0.9988303863440826
T4,T6,Abell370,2.332220890331732e-05,1.7275451384548682e-05,1.0,1.0,0.9305376568433743,0.9454032197228439,0.9751512075505762,6.347638451411993e-05,1.954194267966123e-05,1.0,1.0,0.999993774186026,0.9990140057230987,0.9996940242725447
T4,T9,Abell2744,2.6639413751007973e-05,2.6043609916151548e-05,1.0,1.0,0.99995409944809,0.9420019503718307,0.944068251927517,6.091421778015658e-05,3.862553502076535e-05,1.0,1.0,0.9999983515252567,0.9990069315253257,0.999367741160539
