experiment_label,steps,nphotons,launch_position,launch_direction,pct_domain_visited,mean_C_visited,mean_grad_visited,max_grad_overall,total_visits
A_steps::steps=80,80,2000,left,left_to_right,11.36474609375,0.00845512574832777,0.029997991244180774,0.12261024181031821,160000
A_steps::steps=120,120,2000,left,left_to_right,17.047119140625,0.01043250151946822,0.03191799843828299,0.12261024181031821,240000
A_steps::steps=160,160,2000,left,left_to_right,22.6806640625,0.015995058246904916,0.04062199405783403,0.5891536662012529,320000
A_steps::steps=240,240,2000,left,left_to_right,34.04541015625,0.015165276360635074,0.039096773427390465,0.5891536662012529,480000
A_steps::steps=320,320,2000,left,left_to_right,38.232421875,0.0131250382401757,0.035563232051434475,0.5891536662012529,640000
A_steps::steps=480,480,2000,left,left_to_right,38.250732421875,0.010693794357854877,0.03107288580884852,0.5891536662012529,960000
A_steps::steps=640,640,2000,left,left_to_right,38.275146484375,0.009430352570994706,0.028510964419642425,0.5891536662012529,1280000
B_step::step=0.03,80,2000,left,left_to_right,5.682373046875,0.008423739415179609,0.029836949728150045,0.12261024181031821,160000
B_step::step=0.06,80,2000,left,left_to_right,11.36474609375,0.00845512574832777,0.029997991244180774,0.12261024181031821,160000
B_step::step=0.09,80,2000,left,left_to_right,17.047119140625,0.010393882109519005,0.031943539842088135,0.12261024181031821,160000
B_step::step=0.12,80,2000,left,left_to_right,22.698974609375,0.016023988226377985,0.04059677765010248,0.5891536662012529,160000
B_step::step=0.18,80,2000,left,left_to_right,24.530029296875,0.015330624135845307,0.03922286765281135,0.5891536662012529,160000
C_launch_position::position=left,80,2000,left,left_to_right,11.36474609375,0.00845512574832777,0.029997991244180774,0.12261024181031821,160000
C_launch_position::position=right,80,2000,right,left_to_right,11.36474609375,0.009615580584775641,0.03187404989600676,0.1371956493440931,160000
C_launch_position::position=top,80,2000,top,left_to_right,30.4443359375,0.015749212652605822,0.04019807781451082,0.5891536662012529,160000
C_launch_position::position=bottom,80,2000,bottom,left_to_right,30.230712890625,0.014637349881694506,0.039297199551406654,0.5891536662012529,160000
C_launch_position::position=centre,80,2000,centre,left_to_right,0.93994140625,0.03800573380573799,0.07889288658051065,0.3249820107041861,160000
D_launch_direction::direction=left_to_right,80,2000,left,left_to_right,11.36474609375,0.00845512574832777,0.029997991244180774,0.12261024181031821,160000
D_launch_direction::direction=right_to_left,80,2000,left,right_to_left,0.299072265625,0.010178685816888003,0.02054733085452078,0.11241466588280885,160000
D_launch_direction::direction=top_to_bottom,80,2000,left,top_to_bottom,0.52490234375,0.008494277020920421,0.020130650105251148,0.11241466588280885,160000
D_launch_direction::direction=bottom_to_top,80,2000,left,bottom_to_top,0.54931640625,0.009773445756728956,0.01912974440834878,0.11241466588280885,160000
D_launch_direction::direction=diagonal_down_right,80,2000,left,diagonal_down_right,8.209228515625,0.010615532363813802,0.02947660003384392,0.12261024181031821,160000
D_launch_direction::direction=diagonal_up_right,80,2000,left,diagonal_up_right,8.258056640625,0.007862563575601908,0.02702202165373773,0.12261024181031821,160000
D_launch_direction::direction=diagonal_down_left,80,2000,left,diagonal_down_left,0.457763671875,0.008971997950965165,0.02047787920043374,0.11241466588280885,160000
D_launch_direction::direction=diagonal_up_left,80,2000,left,diagonal_up_left,0.4638671875,0.010977199830023257,0.020932173431344566,0.11241466588280885,160000
E_photon_density::nphotons=100,80,100,left,left_to_right,11.36474609375,0.008452821144926369,0.03007170512188637,0.12261024181031821,8000
E_photon_density::nphotons=500,80,500,left,left_to_right,11.36474609375,0.008451113449595553,0.02999231161568869,0.12261024181031821,40000
E_photon_density::nphotons=2000,80,2000,left,left_to_right,11.36474609375,0.00845512574832777,0.029997991244180774,0.12261024181031821,160000
E_photon_density::nphotons=10000,80,10000,left,left_to_right,11.36474609375,0.008452239495035546,0.029995572581395454,0.12261024181031821,800000
E_photon_density::nphotons=50000,80,50000,left,left_to_right,11.36474609375,0.008452494994321904,0.029998344763629226,0.12261024181031821,4000000
