family_number,family_code,family_name,is_wrong,cluster_id,cluster_label,strain_energy,interaction_energy,total_energy,strain_energy_relaxation
4,M4,Cooperative Alignment,False,AbellS1063,Abell S1063,4.142142566071092e-06,1.6707756381315075e-06,5.812918204202599e-06,2.8868522655502857e-05
5,M5,Elastic + Cooperative Alignment,False,AbellS1063,Abell S1063,2.6524327279647405e-06,6.412986543163074e-07,3.293731382281048e-06,2.3742403447078325e-05
6,M6,Elastic + Relaxation + Alignment,False,AbellS1063,Abell S1063,1.1382928620596431e-05,1.1499505647821407e-05,2.288243426841784e-05,2.7661025923085078e-05
7,M7,Nonlinear Interaction Potential,False,AbellS1063,Abell S1063,4.151796438395239e-06,1.66470268777672e-06,5.816499126171959e-06,2.8857054632564797e-05
8,M8,Long-range Coupling,False,AbellS1063,Abell S1063,3.3143990504568478e-06,1.2408160487647706e-06,4.555215099221618e-06,2.966324464201092e-05
9,M9,Anisotropic Interaction,False,AbellS1063,Abell S1063,5.0207597741625425e-06,2.3652466654844114e-06,7.386006439646954e-06,2.801996064455273e-05
10,M10,Interaction Potential Search,False,AbellS1063,Abell S1063,1.0883821097308874e-05,8.141114760149895e-07,1.1697932573323864e-05,2.085990883773076e-05
11,WR1,Wrong: Random Neighbour Interaction,True,AbellS1063,Abell S1063,0.0010418100640430536,0.001018766840593128,0.0020605769046361817,-0.0009512134570016609
12,WR2,Wrong: Repulsive-Only Interaction,True,AbellS1063,Abell S1063,0.007006140053862361,0.00998519087720873,0.01699133093107109,-0.0069568116869516815
13,WR3,Wrong: Purely Local (No Neighbours),True,AbellS1063,Abell S1063,6.009191074292642e-07,1.6316754892940847e-06,2.232594596723349e-06,3.232975756096075e-05
1,M1,Pure Elastic Spring Network,False,Abell370,Abell 370,4.991993138795453e-06,2.0990569003124165e-06,7.091050039107869e-06,2.802079454499419e-05
2,M2,Dipole-like Orientation Interaction,False,Abell370,Abell 370,0.013745362730859502,1.003554996170993e-06,0.013746366285855674,-0.006718484416793142
3,M3,Viscoelastic Interaction,False,Abell370,Abell 370,7.588839687732359e-06,5.6219553372924455e-06,1.3210795025024804e-05,3.2255119435844985e-05
4,M4,Cooperative Alignment,False,Abell370,Abell 370,4.991993138795453e-06,2.0990569003124165e-06,7.091050039107869e-06,2.8020794544994183e-05
5,M5,Elastic + Cooperative Alignment,False,Abell370,Abell 370,4.231855593531295e-06,9.252279816679166e-07,5.1570835751992115e-06,2.2182088533165064e-05
6,M6,Elastic + Relaxation + Alignment,False,Abell370,Abell 370,1.400070676849084e-05,1.1912045419728124e-05,2.5912752188218963e-05,2.5042487379157582e-05
7,M7,Nonlinear Interaction Potential,False,Abell370,Abell 370,5.000754209370717e-06,2.0927396073694945e-06,7.0934938167402115e-06,2.8009214990392367e-05
8,M8,Long-range Coupling,False,Abell370,Abell 370,4.554459691074993e-06,1.576760859055561e-06,6.131220550130553e-06,2.843088583045321e-05
9,M9,Anisotropic Interaction,False,Abell370,Abell 370,5.7959008991729834e-06,2.820201379979304e-06,8.616102279152287e-06,2.7270482091758327e-05
10,M10,Interaction Potential Search,False,Abell370,Abell 370,1.914836330091532e-05,1.0314085424520035e-06,2.017977184336732e-05,1.2637234326626382e-05
11,WR1,Wrong: Random Neighbour Interaction,True,Abell370,Abell 370,0.0010418100640430536,0.0010204990932639307,0.0020623091573069843,-0.0009512134570016609
12,WR2,Wrong: Repulsive-Only Interaction,True,Abell370,Abell 370,0.007024415037077446,0.010008521448223843,0.01703293648530129,-0.006975073947834064
13,WR3,Wrong: Purely Local (No Neighbours),True,Abell370,Abell 370,6.009191074292642e-07,3.0319877593919045e-06,3.6329068668211685e-06,3.2329757560960755e-05
