family_number,family_code,family_name,is_wrong,cluster_id,cluster_label,strain_energy,interaction_energy,total_energy,strain_energy_relaxation
1,M1,Pure Elastic Spring Network,False,Abell2744,Abell 2744,4.717772220154685e-06,2.0613740756412975e-06,6.779146295795982e-06,2.829489530162846e-05
2,M2,Dipole-like Orientation Interaction,False,Abell2744,Abell 2744,0.013869130962488398,9.21822617732075e-07,0.01387005278510613,-0.007125353964119022
3,M3,Viscoelastic Interaction,False,Abell2744,Abell 2744,7.193736101997922e-06,5.588095958470237e-06,1.2781832060468158e-05,3.265050005108206e-05
4,M4,Cooperative Alignment,False,Abell2744,Abell 2744,4.717772220154685e-06,2.0613740756412975e-06,6.779146295795982e-06,2.829489530162846e-05
5,M5,Elastic + Cooperative Alignment,False,Abell2744,Abell 2744,3.826047795621679e-06,9.06492750063517e-07,4.732540545685196e-06,2.2581228850414262e-05
6,M6,Elastic + Relaxation + Alignment,False,Abell2744,Abell 2744,1.3102585257195545e-05,1.183315146486254e-05,2.4935736722058085e-05,2.5941097991924916e-05
7,M7,Nonlinear Interaction Potential,False,Abell2744,Abell 2744,4.730343602611857e-06,2.0539023870680238e-06,6.78424598967988e-06,2.8280089094257945e-05
8,M8,Long-range Coupling,False,Abell2744,Abell 2744,4.1885977834196355e-06,1.5559509387429645e-06,5.7445487221626e-06,2.8794502846832467e-05
9,M9,Anisotropic Interaction,False,Abell2744,Abell 2744,5.517690224397455e-06,2.76239319872144e-06,8.280083423118896e-06,2.7512271633915065e-05
10,M10,Interaction Potential Search,False,Abell2744,Abell 2744,1.5876560731140477e-05,1.010984466435038e-06,1.6887545197575514e-05,1.5894451636776657e-05
11,WR1,Wrong: Random Neighbour Interaction,True,Abell2744,Abell 2744,0.0010418100640430536,0.0010200494901902472,0.002061859554233301,-0.0009512134570016609
12,WR2,Wrong: Repulsive-Only Interaction,True,Abell2744,Abell 2744,0.007014989839354874,0.009996995479558827,0.0170119853189137,-0.006965655053187336
13,WR3,Wrong: Purely Local (No Neighbours),True,Abell2744,Abell 2744,6.009191074292642e-07,2.6515883285062574e-06,3.2525074359355214e-06,3.2329757560960755e-05
1,M1,Pure Elastic Spring Network,False,MACS0416,MACS J0416,4.385079634780839e-06,1.7400652232757374e-06,6.125144858056577e-06,2.8620890000943617e-05
2,M2,Dipole-like Orientation Interaction,False,MACS0416,MACS J0416,0.014431361667008112,8.626019696973586e-07,0.01443222426897781,-0.0067126156695657465
3,M3,Viscoelastic Interaction,False,MACS0416,MACS J0416,6.848604307558598e-06,5.251589152659472e-06,1.210019346021807e-05,3.2995116126449756e-05
4,M4,Cooperative Alignment,False,MACS0416,MACS J0416,4.385079634780839e-06,1.7400652232757374e-06,6.125144858056577e-06,2.8620890000943617e-05
5,M5,Elastic + Cooperative Alignment,False,MACS0416,MACS J0416,3.1310277091446044e-06,6.681624756515151e-07,3.7991901847961194e-06,2.32594199465658e-05
6,M6,Elastic + Relaxation + Alignment,False,MACS0416,MACS J0416,1.2212093285345619e-05,1.1560098448632536e-05,2.3772191733978157e-05,2.683052282463747e-05
7,M7,Nonlinear Interaction Potential,False,MACS0416,MACS J0416,4.391569489967738e-06,1.7356860713074634e-06,6.127255561275202e-06,2.861275520921862e-05
8,M8,Long-range Coupling,False,MACS0416,MACS J0416,3.6817408979134516e-06,1.2817271110130843e-06,4.963468008926536e-06,2.9290318692769293e-05
9,M9,Anisotropic Interaction,False,MACS0416,MACS J0416,5.207214004993953e-06,2.4492606626625833e-06,7.656474667656535e-06,2.7831515346778294e-05
10,M10,Interaction Potential Search,False,MACS0416,MACS J0416,1.057205164690869e-05,8.462385909800104e-07,1.14182902378887e-05,2.1172296697001267e-05
11,WR1,Wrong: Random Neighbour Interaction,True,MACS0416,MACS J0416,0.0010418100640430536,0.001019378888883741,0.0020611889529267946,-0.0009512134570016609
12,WR2,Wrong: Repulsive-Only Interaction,True,MACS0416,MACS J0416,0.0070113487340656856,0.009991353191297285,0.01700270192536297,-0.006962010673779516
13,WR3,Wrong: Purely Local (No Neighbours),True,MACS0416,MACS J0416,6.009191074292643e-07,1.9938981256487937e-06,2.594817233078058e-06,3.232975756096075e-05
1,M1,Pure Elastic Spring Network,False,MACS1149,MACS J1149,4.113388337087281e-06,1.4235841513431718e-06,5.536972488430453e-06,2.8898285863328933e-05
2,M2,Dipole-like Orientation Interaction,False,MACS1149,MACS J1149,0.014853328850126073,8.704288017364782e-07,0.01485419927892781,-0.00637876290006149
3,M3,Viscoelastic Interaction,False,MACS1149,MACS J1149,6.543435064207735e-06,4.923710778128901e-06,1.1467145842336636e-05,3.3301088851212736e-05
4,M4,Cooperative Alignment,False,MACS1149,MACS J1149,4.113388337087281e-06,1.4235841513431718e-06,5.536972488430453e-06,2.8898285863328933e-05
5,M5,Elastic + Cooperative Alignment,False,MACS1149,MACS J1149,2.505703317020662e-06,4.3851524220651006e-07,2.9442185592271723e-06,2.3890975584005782e-05
6,M6,Elastic + Relaxation + Alignment,False,MACS1149,MACS J1149,1.1275025988980434e-05,1.1293057758151586e-05,2.256808374713202e-05,2.7769145564020376e-05
7,M7,Nonlinear Interaction Potential,False,MACS1149,MACS J1149,4.120785251498346e-06,1.4201537755863604e-06,5.540939027084707e-06,2.8889847655684943e-05
8,M8,Long-range Coupling,False,MACS1149,MACS J1149,3.232779930150409e-06,1.0179196863775845e-06,4.250699616527993e-06,2.9745962600957258e-05
9,M9,Anisotropic Interaction,False,MACS1149,MACS J1149,4.989000248473704e-06,2.124524728072646e-06,7.1135249765463495e-06,2.8054411830408716e-05
10,M10,Interaction Potential Search,False,MACS1149,MACS J1149,6.687905796565951e-06,6.86730269093125e-07,7.374636065659076e-06,2.504665108694822e-05
11,WR1,Wrong: Random Neighbour Interaction,True,MACS1149,MACS J1149,0.0010418100640430536,0.001018665870022526,0.0020604759340655796,-0.0009512134570016609
12,WR2,Wrong: Repulsive-Only Interaction,True,MACS1149,MACS J1149,0.007005625508572219,0.009983859189735964,0.01698948469830818,-0.0069562983311828065
13,WR3,Wrong: Purely Local (No Neighbours),True,MACS1149,MACS J1149,6.009191074292643e-07,1.334974838093611e-06,1.9358939455228755e-06,3.232975756096075e-05
1,M1,Pure Elastic Spring Network,False,AbellS1063,Abell S1063,4.142142566071092e-06,1.6707756381315075e-06,5.812918204202599e-06,2.8868522655502857e-05
2,M2,Dipole-like Orientation Interaction,False,AbellS1063,Abell S1063,0.014517492364632198,7.401421370205454e-07,0.014518232506769218,-0.0060910182051800935
3,M3,Viscoelastic Interaction,False,AbellS1063,Abell S1063,6.555314647880024e-06,5.182931326935589e-06,1.1738245974815613e-05,3.328910024524711e-05
