rank,family_code,family_name,is_wrong,rank_sum,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_rms_kappa,delta_pearson_kappa_vs_m1,clusters_improving_pearson_kappa,naturally_reproduces_both,outperforms_c10_primary_pair,median_spatial_correlation_length,median_temporal_persistence_length
1,M5,Elastic + Cooperative Alignment,False,43.0,0.08581245845920754,0.0922925376654991,-0.002014530832296364,0.1530958678475445,-0.015771776293106207,2,False,False,3.0,3.0
2,M9,Anisotropic Interaction,False,43.0,0.09638756495948196,0.10722862428936601,-0.0021796122581884793,0.16571967778304963,-0.005196669792831787,2,True,False,3.0,4.0
3,M1,Pure Elastic Spring Network,False,44.0,0.10158423475231375,0.0921034743131699,-0.001053936101569421,0.16664729811063372,0.0,0,False,False,3.0,4.0
4,M10,Interaction Potential Search,False,48.0,0.101645162981259,0.09018314066682666,-0.0012266515232446185,0.16459766793359284,6.0928228945253404e-05,4,False,False,3.0,4.0
5,M4,Cooperative Alignment,False,50.0,0.10158423475231379,0.09210347431316987,-0.001053936101569423,0.16664729811063372,4.163336342344337e-17,2,False,False,3.0,4.0
6,M7,Nonlinear Interaction Potential,False,51.0,0.10037012734542897,0.09073884847255542,-0.0010269342497161687,0.16852467101916505,-0.0012141074068847818,1,False,False,3.0,4.0
7,M6,Elastic + Relaxation + Alignment,False,53.0,0.0624456715396411,0.08567669809764115,0.0017357039814785962,0.15061360769442295,-0.03913856321267265,3,False,False,3.0,3.0
8,M8,Long-range Coupling,False,56.0,0.09780139796720708,0.08497545298357295,-0.0017535563106231792,0.15935170844881133,-0.003782836785106672,3,False,False,3.0,4.0
9,M3,Viscoelastic Interaction,False,57.0,0.08577129740732067,0.0854039371101653,-0.0017241811078887255,0.16051476435397197,-0.015812937344993075,3,False,False,3.0,3.0
10,M2,Dipole-like Orientation Interaction,False,82.0,-0.06905247440373664,-0.04741803787514527,0.0008049823202791656,0.9782516646927294,-0.1706367091560504,0,False,False,5.0,1.0
11,WR2,Wrong: Repulsive-Only Interaction,True,63.0,0.07461794792814276,0.09588256776114659,-0.016921300322669745,0.20364528239533983,-0.026966286824170987,3,False,False,3.0,4.0
12,WR1,Wrong: Random Neighbour Interaction,True,66.0,0.03683757938117433,0.09383095036489297,0.003993009145401107,0.3782512020949595,-0.06474665537113941,1,False,False,3.0,1.0
13,WR3,Wrong: Purely Local (No Neighbours),True,72.0,0.11296203947762853,0.07744036093383022,-0.013265827032544414,0.1568745301036342,0.011377804725314786,4,False,False,3.0,5.0
