family_number,family_code,family_name,principle,is_wrong,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_ssim_gamma,median_rms_kappa,median_rms_gamma,mean_kappa_bias,mean_gamma_bias,median_runtime_seconds,max_conservation_error,median_emergent_coherence_index,median_coherence_gain,median_emergent_memory_index,median_evolution_activity,median_spatial_correlation_length,median_temporal_persistence_length,median_cooperative_interaction_index,median_strain_energy,median_interaction_energy,median_total_energy,median_strain_energy_relaxation,clusters_with_emergent_coherence,clusters_with_emergent_memory,clusters_improving_pearson_kappa,delta_pearson_kappa_vs_m1,delta_rms_kappa_vs_m1,naturally_reproduces_both
1,M1,Pure Elastic Spring Network,F = sum(u_j - u_i)/4,False,0.10158423475231375,0.0921034743131699,-0.001053936101569421,0.10388039111298339,0.16664729811063372,0.06369989008593709,-0.06203565300386889,-0.012914192324225951,0.23736132204066962,2.220446049250313e-16,0.00261411817937582,0.00031674263780190684,0.9990006845066417,0.04185026662524756,3.0,4.0,0.5132188044255936,4.385079634780839e-06,1.7400652232757374e-06,6.125144858056577e-06,2.8620890000943617e-05,4,5,0,0.0,0.0,False
2,M2,Dipole-like Orientation Interaction,theta aligns with neighbours; u = local alignment,False,-0.06905247440373664,-0.04741803787514527,0.0008049823202791656,0.0030077040691099863,0.9782516646927294,0.670289017001393,-0.047487086102775224,0.5467235391021561,0.271454417030327,2.220446049250313e-16,0.007315087999438389,0.00821154305172959,0.8942490202208467,0.01579288211934951,5.0,1.0,0.0054015167888406814,0.014431361667008112,8.704288017364782e-07,0.01443222426897781,-0.0067126156695657465,4,0,0,-0.1706367091560504,0.8116043665820957,False
3,M3,Viscoelastic Interaction,F_spring + damping,False,0.08577129740732067,0.0854039371101653,-0.0017241811078887255,0.09770951316612506,0.16051476435397197,0.06423320832979121,-0.06028646869723945,-0.012821991058665355,0.2373981230193749,2.220446049250313e-16,0.001266429969846463,0.00011799375555877336,0.9995244193762275,0.05553665962059515,3.0,3.0,0.5946898331771069,6.848604307558598e-06,5.251589152659472e-06,1.210019346021807e-05,3.2995116126449756e-05,3,5,3,-0.015812937344993075,-0.006132533756661757,False
4,M4,Cooperative Alignment,F = mean(u_j) - u_i,False,0.10158423475231379,0.09210347431316987,-0.001053936101569423,0.10388039111298336,0.16664729811063372,0.0636998900859371,-0.06203565300386889,-0.012914192324225953,0.23887563799507916,2.220446049250313e-16,0.0026141181793758205,0.0003167426378019051,0.9990006845066418,0.04185026662524756,3.0,4.0,0.5132188044255936,4.385079634780839e-06,1.7400652232757374e-06,6.125144858056577e-06,2.8620890000943617e-05,4,5,2,4.163336342344337e-17,0.0,False
5,M5,Elastic + Cooperative Alignment,F = F_elastic + F_cooperative + alpha*F_e*F_c,False,0.08581245845920754,0.0922925376654991,-0.002014530832296364,0.10594123570333805,0.1530958678475445,0.06239730938226784,-0.06044700278406787,-0.01978721412029211,0.237419452983886,2.220446049250313e-16,0.004283219874779702,0.00350635521953543,0.9965112818273076,0.0475583118823693,3.0,3.0,0.44485130366447784,3.1310277091446044e-06,6.681624756515151e-07,3.7991901847961194e-06,2.32594199465658e-05,4,5,2,-0.015771776293106207,-0.01355143026308922,False
6,M6,Elastic + Relaxation + Alignment,spring + damping + cooperation + cross,False,0.0624456715396411,0.08567669809764115,0.0017357039814785962,0.09720745105305566,0.15061360769442295,0.06558413801726376,-0.05471815469671106,-0.01537014033324301,0.23966862203087658,2.220446049250313e-16,-0.0010960911092662401,-0.0014917410972161362,0.9917151098269027,0.07056506030209637,3.0,3.0,0.6159446819895804,1.2212093285345619e-05,1.1560098448632536e-05,2.3772191733978157e-05,2.683052282463747e-05,2,5,3,-0.03913856321267265,-0.016033690416210777,False
7,M7,Nonlinear Interaction Potential,F = F_linear - beta*u^3,False,0.10037012734542897,0.09073884847255542,-0.0010269342497161687,0.10261459358100525,0.16852467101916505,0.06413741735007625,-0.062129570083293076,-0.01178258988319697,0.2376678129658103,2.220446049250313e-16,0.0026169041695503522,0.0002962359938023509,0.9989993321016727,0.04185996930576042,3.0,4.0,0.5131829860316286,4.391569489967738e-06,1.7356860713074634e-06,6.127255561275202e-06,2.861275520921862e-05,4,5,1,-0.0012141074068847818,0.0018773729085313218,False
8,M8,Long-range Coupling,8 nearest + 8 next-nearest,False,0.09780139796720708,0.08497545298357295,-0.0017535563106231792,0.09917170399469433,0.15935170844881133,0.06290213872601444,-0.06133736571348904,-0.01670958637523222,0.23896333808079362,2.220446049250313e-16,0.0027880907349254005,0.00107723521098669,0.9994742012966744,0.043329784122274013,3.0,4.0,0.5015940245205025,3.6817408979134516e-06,1.2817271110130843e-06,4.963468008926536e-06,2.9290318692769293e-05,4,5,3,-0.003782836785106672,-0.007295589661822394,False
9,M9,Anisotropic Interaction,k weighted by local gradient direction,False,0.09638756495948196,0.10722862428936601,-0.0021796122581884793,0.11906485019209359,0.16571967778304963,0.06272997054768754,-0.06256407339403033,-0.012568250284576383,0.23829869600012898,2.220446049250313e-16,0.012907054351553855,0.013065383563912207,0.99784491240008,0.040673135684665636,3.0,4.0,0.5281898532360678,5.207214004993953e-06,2.4492606626625833e-06,7.656474667656535e-06,2.7831515346778294e-05,5,5,2,-0.005196669792831787,-0.0009276203275840889,True
10,M10,Interaction Potential Search,average of 5 potentials,False,0.101645162981259,0.09018314066682666,-0.0012266515232446185,0.10211225485661565,0.16459766793359284,0.0633737273881625,-0.06192669347850386,-0.014056715968482278,0.23735094303265214,2.220446049250313e-16,0.0026311557781811537,0.000479335305184664,0.9983626582377284,0.04984259459808167,3.0,4.0,0.38486776779558984,1.0883821097308874e-05,8.462385909800104e-07,1.1697932573323864e-05,2.085990883773076e-05,4,5,4,6.0928228945253404e-05,-0.0020496301770408787,False
11,WR1,Wrong: Random Neighbour Interaction,F = random noise per step,True,0.03683757938117433,0.09383095036489297,0.003993009145401107,0.0598598084515073,0.3782512020949595,0.17393372886863168,-0.05339170687035359,0.12740156994226573,0.2548355449689552,2.220446049250313e-16,-0.0023869769595667744,-0.0020666433192550204,0.00019785703313366106,0.24859581891062232,3.0,1.0,0.6231443163116921,0.0010418100640430536,0.001019378888883741,0.0020611889529267946,-0.0009512134570016609,2,0,1,-0.06474665537113941,0.21160390398432577,False
