family_number,family_code,family_name,is_wrong,cluster_id,cluster_label,coherence_initial,emergent_coherence_index,coherence_gain,emergent_memory_index,evolution_activity,coherence_emerged,memory_emerged
1,M1,Pure Elastic Spring Network,False,Abell2744,Abell 2744,0.003938126794367706,0.004254869432169613,0.00031674263780190684,0.9989786093261038,0.04205169114789427,True,True
2,M2,Dipole-like Orientation Interaction,False,Abell2744,Abell 2744,0.003938126794367706,0.0012133230694501666,-0.0027248037249175397,0.8938274750128162,0.01626600933972779,False,False
3,M3,Viscoelastic Interaction,False,Abell2744,Abell 2744,0.003938126794367706,0.0013095020157667795,-0.0026286247786009268,0.9995208255253762,0.05569263750454262,False,True
4,M4,Cooperative Alignment,False,Abell2744,Abell 2744,0.003938126794367706,0.004254869432169611,0.0003167426378019051,0.9989786093261038,0.04205169114789427,True,True
5,M5,Elastic + Cooperative Alignment,False,Abell2744,Abell 2744,0.003938126794367706,0.007444482013903136,0.00350635521953543,0.9964531119403215,0.04796025417431969,True,True
6,M6,Elastic + Relaxation + Alignment,False,Abell2744,Abell 2744,0.003938126794367706,0.001423113485851214,-0.0025150133085164923,0.991870177793516,0.0709081599976093,False,True
7,M7,Nonlinear Interaction Potential,False,Abell2744,Abell 2744,0.003938126794367706,0.004234362788170057,0.0002962359938023509,0.9989758274288639,0.04206749998898434,True,True
8,M8,Long-range Coupling,False,Abell2744,Abell 2744,0.003938126794367706,0.005015362005354396,0.00107723521098669,0.9994349834374356,0.043641140363161954,True,True
9,M9,Anisotropic Interaction,False,Abell2744,Abell 2744,0.003938126794367706,0.015342619525850386,0.011404492731482679,0.9977840815596271,0.0409290572515865,True,True
10,M10,Interaction Potential Search,False,Abell2744,Abell 2744,0.003938126794367706,0.00441746209955237,0.000479335305184664,0.998355960416454,0.05279312862347412,True,True
11,WR1,Wrong: Random Neighbour Interaction,True,Abell2744,Abell 2744,0.003938126794367706,-0.0018797311982122443,-0.005817857992579951,0.00019785703313366114,0.24859581891062232,False,False
12,WR2,Wrong: Repulsive-Only Interaction,True,Abell2744,Abell 2744,0.003938126794367706,0.0020667277879560593,-0.001871399006411647,0.9995951237038002,0.6216283843831186,False,True
13,WR3,Wrong: Purely Local (No Neighbours),True,Abell2744,Abell 2744,0.003938126794367706,0.0031669923252353543,-0.000771134469132352,1.0,0.04400521832054349,False,True
1,M1,Pure Elastic Spring Network,False,MACS0416,MACS J0416,-0.0005114577518114525,0.0029733406511356164,0.003484798402947069,0.9990006845066417,0.04185026662524756,True,True
2,M2,Dipole-like Orientation Interaction,False,MACS0416,MACS J0416,-0.0005114577518114525,0.00379384279609372,0.004305300547905172,0.8938396489918022,0.01579288211934951,True,False
3,M3,Viscoelastic Interaction,False,MACS0416,MACS J0416,-0.0005114577518114525,0.001266429969846463,0.0017778877216579154,0.9995244193762275,0.05553665962059515,True,True
4,M4,Cooperative Alignment,False,MACS0416,MACS J0416,-0.0005114577518114525,0.0029733406511356143,0.0034847984029470667,0.9990006845066418,0.04185026662524756,True,True
5,M5,Elastic + Cooperative Alignment,False,MACS0416,MACS J0416,-0.0005114577518114525,0.004283219874779702,0.004794677626591155,0.9965194448592426,0.0475583118823693,True,True
6,M6,Elastic + Relaxation + Alignment,False,MACS0416,MACS J0416,-0.0005114577518114525,-0.0020031988490275886,-0.0014917410972161362,0.9917151098269027,0.07056506030209637,False,True
7,M7,Nonlinear Interaction Potential,False,MACS0416,MACS J0416,-0.0005114577518114525,0.002968714595671348,0.0034801723474828005,0.9989993321016727,0.04185996930576042,True,True
8,M8,Long-range Coupling,False,MACS0416,MACS J0416,-0.0005114577518114525,0.0027880907349254005,0.003299548486736853,0.9994742012966744,0.043329784122274013,True,True
9,M9,Anisotropic Interaction,False,MACS0416,MACS J0416,-0.0005114577518114525,0.014885258422729192,0.015396716174540645,0.9978599830218302,0.040673135684665636,True,True
10,M10,Interaction Potential Search,False,MACS0416,MACS J0416,-0.0005114577518114525,0.003003768863841906,0.0035152266156533584,0.9983852778768877,0.04961578433702438,True,True
11,WR1,Wrong: Random Neighbour Interaction,True,MACS0416,MACS J0416,-0.0005114577518114525,-0.0025781010710664728,-0.0020666433192550204,0.00019785703313366084,0.24859581891062232,False,False
12,WR2,Wrong: Repulsive-Only Interaction,True,MACS0416,MACS J0416,-0.0005114577518114525,0.001943048606744308,0.0024545063585557606,0.9995980452012502,0.6214392678750984,True,True
13,WR3,Wrong: Purely Local (No Neighbours),True,MACS0416,MACS J0416,-0.0005114577518114525,-0.0008079015201855413,-0.0002964437683740888,1.0,0.04400521832054349,False,True
1,M1,Pure Elastic Spring Network,False,MACS1149,MACS J1149,-0.007660653212511789,-0.0037537611660481444,0.003906892046463645,0.9990229512744504,0.04156525888854477,True,True
2,M2,Dipole-like Orientation Interaction,False,MACS1149,MACS J1149,-0.007660653212511789,0.011744153303057068,0.019404806515568855,0.894805753743703,0.014882214089952842,True,False
3,M3,Viscoelastic Interaction,False,MACS1149,MACS J1149,-0.007660653212511789,-0.004166717343549132,0.003493935868962657,0.9995287155177236,0.05530442491507212,True,True
4,M4,Cooperative Alignment,False,MACS1149,MACS J1149,-0.007660653212511789,-0.0037537611660481496,0.00390689204646364,0.9990229512744504,0.04156525888854477,True,True
5,M5,Elastic + Cooperative Alignment,False,MACS1149,MACS J1149,-0.007660653212511789,-0.0055774923782710316,0.0020831608342407578,0.9965789802286796,0.04704179757336773,True,True
6,M6,Elastic + Relaxation + Alignment,False,MACS1149,MACS J1149,-0.007660653212511789,-0.0025820320151527217,0.005078621197359068,0.9914919034315878,0.07006896096225634,True,True
7,M7,Nonlinear Interaction Potential,False,MACS1149,MACS J1149,-0.007660653212511789,-0.0037560476460783507,0.0039046055664334386,0.9990221393991995,0.041572637299606696,True,True
8,M8,Long-range Coupling,False,MACS1149,MACS J1149,-0.007660653212511789,-0.004062627587977077,0.0035980256245347125,0.9995098180634662,0.04290665640727791,True,True
9,M9,Anisotropic Interaction,False,MACS1149,MACS J1149,-0.007660653212511789,0.009531337213800435,0.017191990426312226,0.99784491240008,0.04037835465667554,True,True
10,M10,Interaction Potential Search,False,MACS1149,MACS J1149,-0.007660653212511789,-0.003820153995839501,0.0038404992166722884,0.9984554392743425,0.047085360906557995,True,True
11,WR1,Wrong: Random Neighbour Interaction,True,MACS1149,MACS J1149,-0.007660653212511789,-0.0025228080097598345,0.005137845202751954,0.00019785703313366155,0.24859581891062232,True,False
12,WR2,Wrong: Repulsive-Only Interaction,True,MACS1149,MACS J1149,-0.007660653212511789,0.002287726169116124,0.009948379381627914,0.9996022503868697,0.6211685540841598,True,True
13,WR3,Wrong: Purely Local (No Neighbours),True,MACS1149,MACS J1149,-0.007660653212511789,-0.003781497847934782,0.0038791553645770075,1.0,0.04400521832054349,True,True
1,M1,Pure Elastic Spring Network,False,AbellS1063,Abell S1063,0.0026985112170536557,0.00261411817937582,-8.439303767783556e-05,0.9990062364288581,0.04161258106155732,False,True
2,M2,Dipole-like Orientation Interaction,False,AbellS1063,Abell S1063,0.0026985112170536557,0.010910054268783245,0.00821154305172959,0.8944150279150878,0.014871132189606024,True,False
3,M3,Viscoelastic Interaction,False,AbellS1063,Abell S1063,0.0026985112170536557,0.0018225900297767015,-0.0008759211872769541,0.9995261845673342,0.05532333424528277,False,True
4,M4,Cooperative Alignment,False,AbellS1063,Abell S1063,0.0026985112170536557,0.0026141181793758205,-8.439303767783513e-05,0.9990062364288581,0.04161258106155732,False,True
5,M5,Elastic + Cooperative Alignment,False,AbellS1063,Abell S1063,0.0026985112170536557,0.006888365247660283,0.004189854030606628,0.9965112818273076,0.047188767039652364,True,True
6,M6,Elastic + Relaxation + Alignment,False,AbellS1063,Abell S1063,0.0026985112170536557,-0.0010960911092662401,-0.003794602326319896,0.9915507837632355,0.07013941959012407,False,True
7,M7,Nonlinear Interaction Potential,False,AbellS1063,Abell S1063,0.0026985112170536557,0.0026169041695503522,-8.160704750330341e-05,0.999003586791531,0.041625940600818784,False,True
8,M8,Long-range Coupling,False,AbellS1063,Abell S1063,0.0026985112170536557,0.0037163229457073677,0.001017811728653712,0.9994804766712435,0.043003946423266826,True,True
9,M9,Anisotropic Interaction,False,AbellS1063,Abell S1063,0.0026985112170536557,0.012907054351553855,0.0102085431345002,0.9978731353635291,0.04043734504668211,True,True
10,M10,Interaction Potential Search,False,AbellS1063,Abell S1063,0.0026985112170536557,0.0026311557781811537,-6.735543887250199e-05,0.9983626582377284,0.04984259459808167,False,True
11,WR1,Wrong: Random Neighbour Interaction,True,AbellS1063,Abell S1063,0.0026985112170536557,-0.0023869769595667744,-0.00508548817662043,0.00019785703313366084,0.24859581891062232,False,False
12,WR2,Wrong: Repulsive-Only Interaction,True,AbellS1063,Abell S1063,0.0026985112170536557,0.0018344931864146354,-0.0008640180306390202,0.9996016824878723,0.621193800625794,False,True
13,WR3,Wrong: Purely Local (No Neighbours),True,AbellS1063,Abell S1063,0.0026985112170536557,0.003113528858998139,0.0004150176419444834,1.0,0.04400521832054349,True,True
1,M1,Pure Elastic Spring Network,False,Abell370,Abell 370,-0.0024165354033535463,-0.002272623248843342,0.0001439121545102045,0.9989830612291238,0.042283189857620175,True,True
2,M2,Dipole-like Orientation Interaction,False,Abell370,Abell 370,-0.0024165354033535463,0.007315087999438389,0.009731623402791935,0.8942490202208467,0.01587232977658811,True,False
3,M3,Viscoelastic Interaction,False,Abell370,Abell 370,-0.0024165354033535463,-0.002298541647794773,0.00011799375555877336,0.999521963500257,0.055933464397370916,True,True
4,M4,Cooperative Alignment,False,Abell370,Abell 370,-0.0024165354033535463,-0.0022726232488433384,0.00014391215451020796,0.9989830612291238,0.042283189857620175,True,True
5,M5,Elastic + Cooperative Alignment,False,Abell370,Abell 370,-0.0024165354033535463,-0.002938702776590371,-0.0005221673732368247,0.996484016939257,0.048263584867870274,False,True
6,M6,Elastic + Relaxation + Alignment,False,Abell370,Abell 370,-0.0024165354033535463,-0.0006309553830440373,0.001785580020309509,0.991974936273119,0.07132792058513031,True,True
7,M7,Nonlinear Interaction Potential,False,Abell370,Abell 370,-0.0024165354033535463,-0.0022673412868250693,0.00014919411652847703,0.9989801394564095,0.04229845682854848,True,True
8,M8,Long-range Coupling,False,Abell370,Abell 370,-0.0024165354033535463,-0.0031902838989383065,-0.0007737484955847602,0.9994391703637412,0.043938067373792945,False,True
9,M9,Anisotropic Interaction,False,Abell370,Abell 370,-0.0024165354033535463,0.01064884816055866,0.013065383563912207,0.9978348885123879,0.041136160615961544,True,True
10,M10,Interaction Potential Search,False,Abell370,Abell 370,-0.0024165354033535463,-0.0023054152461306878,0.00011112015722285857,0.9983570221492518,0.05466975336346399,True,True
11,WR1,Wrong: Random Neighbour Interaction,True,Abell370,Abell 370,-0.0024165354033535463,-0.0022292247457023373,0.0001873106576512091,0.00019785703313366106,0.24859581891062232,True,False
12,WR2,Wrong: Repulsive-Only Interaction,True,Abell370,Abell 370,-0.0024165354033535463,0.0017694879617572458,0.004186023365110792,0.9995922061256387,0.6220897120604504,True,True
13,WR3,Wrong: Purely Local (No Neighbours),True,Abell370,Abell 370,-0.0024165354033535463,-0.0024741365803132524,-5.760117695970601e-05,1.0,0.04400521832054349,False,True
