group,method,method_label,nphotons,grid_n,step_div,step,steps,total_travel,domain_L,n_neighbours,runtime_seconds,rms_kappa,rms_gamma,peak_kappa,peak_gamma,mean_kappa,mean_gamma,std_kappa,std_gamma,n_finite_kappa_pixels,n_finite_gamma_pixels
A,jacobian,jacobian,2000,128,1,0.06,80,4.8,8.0,8,0.14460770098958164,0.15474409164810202,0.09751617048172495,0.5083001320917262,0.27894335142066673,-0.02707556315141948,0.07745233470716892,0.152356974832233,0.059249804673344904,247,247
A,area,area,2000,128,1,0.06,80,4.8,8.0,8,0.13848404795862734,0.15451299934257026,0.07711385429567656,0.4970030627906993,0.26108345523731424,-0.02987841376884477,0.04893750983816817,0.1515966601099603,0.059595861057409265,247,247
A,triangulation,triangulation,2000,128,1,0.06,80,4.8,8.0,8,0.012665987014770508,0.12196207337439922,0.7259236691703049,0.34525402266586025,6.718153962094527,-0.0047585668760541525,0.11247481339369747,0.121869206049225,0.7171572978180807,288,4096
A,jacobian,jacobian,5000,128,1,0.06,80,4.8,8.0,8,0.16004600597079843,0.12432012002482132,0.08120466203462604,0.5204594050903342,0.26222167377352823,-0.006067170331535466,0.06569585280940016,0.12417198430867615,0.047731038746327996,288,288
A,area,area,5000,128,1,0.06,80,4.8,8.0,8,0.15281649609096348,0.12067719371454663,0.0607354386255781,0.39107992165585004,0.1964588344846956,-0.017995149243525972,0.04428151929564577,0.11932795014799107,0.04156850435017737,288,288
A,triangulation,triangulation,5000,128,1,0.06,80,4.8,8.0,8,0.028671456966549158,0.11170317555574305,0.7259122762640208,0.28439601937112563,6.717080829179405,-0.00372846388121006,0.11256147664725139,0.1116409332920666,0.7171321682966135,288,4096
A,jacobian,jacobian,10000,128,1,0.06,80,4.8,8.0,8,0.17539588105864823,0.14681383796632913,0.09136041534277976,0.3973314964983484,0.2719365474233478,0.004331292821167819,0.07798031484252224,0.14674993329095876,0.04760037803070827,288,288
A,area,area,10000,128,1,0.06,80,4.8,8.0,8,0.1657055049436167,0.14056998457209494,0.07060094871179297,0.33717260496218127,0.28811564144152857,-0.010318222483749397,0.05595746393865418,0.1401907801796354,0.04304946211695841,288,288
A,triangulation,triangulation,10000,128,1,0.06,80,4.8,8.0,8,0.056905360077507794,0.1155597475363138,0.7258847803330649,0.30767933675718595,6.713513934976523,-0.004815704874034504,0.11256754541577915,0.11545936184312984,0.7171033830893899,288,4096
A,jacobian,jacobian,20000,128,1,0.06,80,4.8,8.0,8,0.20583759900182486,0.13521619990460226,0.08608377717817386,0.45194530817333756,0.26656605074398015,-0.004117441944991497,0.0714435047874024,0.13515349565760768,0.048023351787998936,288,288
A,area,area,20000,128,1,0.06,80,4.8,8.0,8,0.19635536393616349,0.13247509241883715,0.06698495515616529,0.3385504130483238,0.22743849311149522,-0.019113583737702305,0.050819253067850796,0.13108898133741553,0.04363929118236468,288,288
A,triangulation,triangulation,20000,128,1,0.06,80,4.8,8.0,8,0.10675431101117283,0.10882510124261253,0.7258987579791005,0.25702503675107513,6.712409931626338,-0.011624674166255886,0.11246694625667314,0.10820244734290094,0.7171333159429278,288,4096
A,jacobian,jacobian,50000,128,1,0.06,80,4.8,8.0,8,0.3133327349787578,0.13429892300857313,0.0846489604691841,0.37754264960103034,0.23615436636795376,-0.004857284467849717,0.07038514762798471,0.13421105583692067,0.04702528577159621,288,288
A,area,area,50000,128,1,0.06,80,4.8,8.0,8,0.30216163699515164,0.13152000922926743,0.0663143081801389,0.3212590653184195,0.25212414746178413,-0.020616584482328795,0.05030234595867886,0.12989406942562692,0.04321182084180002,288,288
A,triangulation,triangulation,50000,128,1,0.06,80,4.8,8.0,8,0.30558208108413965,0.09797114507270678,0.7258991046720495,0.193407253590175,6.7136307566355065,-0.03364184979372595,0.11245808408337984,0.09201397290256377,0.7171350566580738,288,4096
A,jacobian,jacobian,100000,128,1,0.06,80,4.8,8.0,8,0.48040472506545484,0.13440232188157536,0.08419219590619309,0.3877479253268087,0.24833596342236414,-0.0028669502861827017,0.07048652389794108,0.13437174079104264,0.04604319494009703,288,288
A,area,area,100000,128,1,0.06,80,4.8,8.0,8,0.47101882193237543,0.1312558242945521,0.06616161570347545,0.3019652059785688,0.2620388983580604,-0.018562990245756344,0.05081824367539353,0.12993654914756778,0.04236585302153959,288,288
A,triangulation,triangulation,100000,128,1,0.06,80,4.8,8.0,8,0.7136549389688298,0.1058040712785726,0.7258868855630048,0.18093109785494135,6.71423893660405,-0.056106583428982164,0.11246111669800282,0.08970257964544796,0.7171222126411907,288,4096
B,jacobian,jacobian,10000,64,1,0.06,80,4.8,8.0,8,0.1766861779615283,0.20710629279157608,0.11305166460691746,0.6422901255908988,0.4587195041372765,0.005423216501260754,0.08966120946578582,0.20703527534372132,0.06885888749847352,288,288
B,area,area,10000,64,1,0.06,80,4.8,8.0,8,0.16901087504811585,0.19996492331469257,0.09961755231361735,0.48988646157746685,0.4886671309908497,-0.010602837431529,0.07184576334212628,0.1996836257549713,0.06900610856107937,288,288
B,triangulation,triangulation,10000,64,1,0.06,80,4.8,8.0,8,0.05209930601995438,0.12261998771057793,0.7261303515548582,0.24912822576272625,6.7133210057539605,-0.01125454720047566,0.11257572974669686,0.12210240191517344,0.7173506761139775,288,4096
B,jacobian,jacobian,10000,128,1,0.06,80,4.8,8.0,8,0.17478820402175188,0.14681383796632913,0.09136041534277976,0.3973314964983484,0.2719365474233478,0.004331292821167819,0.07798031484252224,0.14674993329095876,0.04760037803070827,288,288
B,area,area,10000,128,1,0.06,80,4.8,8.0,8,0.16796586790587753,0.14056998457209494,0.07060094871179297,0.33717260496218127,0.28811564144152857,-0.010318222483749397,0.05595746393865418,0.1401907801796354,0.04304946211695841,288,288
B,triangulation,triangulation,10000,128,1,0.06,80,4.8,8.0,8,0.04850414104294032,0.1155597475363138,0.7258847803330649,0.30767933675718595,6.713513934976523,-0.004815704874034504,0.11256754541577915,0.11545936184312984,0.7171033830893899,288,4096
B,jacobian,jacobian,10000,256,1,0.06,80,4.8,8.0,8,0.17499810608569533,0.1406600434744626,0.09564820815563273,0.503342576940569,0.29280627976451523,-0.0006488224942090651,0.0778146591883642,0.1406585470549469,0.05561886854999818,288,288
B,area,area,10000,256,1,0.06,80,4.8,8.0,8,0.16666482901200652,0.13954339186311057,0.0709019906095121,0.45405417104926815,0.27670398841457344,-0.014525536868833717,0.05295472816436683,0.13878532700301494,0.047147524191937754,288,288
B,triangulation,triangulation,10000,256,1,0.06,80,4.8,8.0,8,0.04853977099992335,0.11678208479507136,0.7259085182566324,0.32610349087760737,6.711450805367161,-0.00310141093606215,0.11248838676884612,0.1167408950594817,0.7171398327520807,288,4096
B,jacobian,jacobian,10000,512,1,0.06,80,4.8,8.0,8,0.17534443794284016,0.137064575100905,0.09248462968866523,0.3914842945268998,0.2780290429328844,-0.006762228881223652,0.07555035411699923,0.13689766253720176,0.05334370367199449,288,288
B,area,area,10000,512,1,0.06,80,4.8,8.0,8,0.16777645598631352,0.1368213422575365,0.0691624691861533,0.36985334031824013,0.28357211798436455,-0.014536193845577632,0.05201157147850567,0.13604697264414867,0.04558775686806603,288,288
B,triangulation,triangulation,10000,512,1,0.06,80,4.8,8.0,8,0.04878959304187447,0.11760841608280294,0.7258850345218578,0.2701375063247695,6.717861068013704,-0.0019232260535959943,0.11250982446599794,0.11759268997285702,0.7171126987729538,288,4096
B,jacobian,jacobian,10000,1024,1,0.06,80,4.8,8.0,8,0.17517639708239585,0.13689730825148527,0.09547965055360144,0.3892737559409558,0.2992872673702672,-0.008199093140470261,0.07739232214507731,0.136651556442567,0.05591772655277054,288,288
B,area,area,10000,1024,1,0.06,80,4.8,8.0,8,0.16781468607950956,0.13952887067466455,0.07135929547565187,0.3649018682894296,0.3085318326551132,-0.028630003429951208,0.05208210022148279,0.13655998189567925,0.04878118374230799,288,288
B,triangulation,triangulation,10000,1024,1,0.06,80,4.8,8.0,8,0.04895813390612602,0.11117795568058687,0.7258826937189138,0.3248328033514815,6.719475468647195,-0.002229279364394105,0.11241760809955703,0.11115560329029764,0.7171247913925448,288,4096
C,jacobian,jacobian,10000,128,1,0.06,80,4.8,8.0,8,0.1754139169352129,0.14681383796632913,0.09136041534277976,0.3973314964983484,0.2719365474233478,0.004331292821167819,0.07798031484252224,0.14674993329095876,0.04760037803070827,288,288
C,area,area,10000,128,1,0.06,80,4.8,8.0,8,0.16735899297054857,0.14056998457209494,0.07060094871179297,0.33717260496218127,0.28811564144152857,-0.010318222483749397,0.05595746393865418,0.1401907801796354,0.04304946211695841,288,288
C,triangulation,triangulation,10000,128,1,0.06,80,4.8,8.0,8,0.0486120420973748,0.1155597475363138,0.7258847803330649,0.30767933675718595,6.713513934976523,-0.004815704874034504,0.11256754541577915,0.11545936184312984,0.7171033830893899,288,4096
C,jacobian,jacobian,10000,128,2,0.03,160,4.8,8.0,8,0.17695814894977957,0.14779748456249805,0.09030191845313504,0.40275270323813506,0.2691988570835502,0.005003897031957781,0.07659136506411397,0.1477127531985489,0.04783512594247319,288,288
C,area,area,10000,128,2,0.03,160,4.8,8.0,8,0.16731231193989515,0.1419927283439398,0.0709853817958955,0.33874827789950446,0.2776478050734815,-0.0033982364558111785,0.05658290127043367,0.14195205842659092,0.042863734234541546,288,288
C,triangulation,triangulation,10000,128,2,0.03,160,4.8,8.0,8,0.04858553200028837,0.11589465969648018,0.7304783433646308,0.30767246949029964,6.758579321822849,-0.004731089373276785,0.11328700396599276,0.11579805239944674,0.7216402600029632,288,4096
C,jacobian,jacobian,10000,128,4,0.015,320,4.8,8.0,8,0.1750947149703279,0.14623895899447117,0.0896901166952107,0.3921415061967518,0.266206481240822,0.004220006014440666,0.07600848025668229,0.14617805812441448,0.04761331706434712,288,288
C,area,area,10000,128,4,0.015,320,4.8,8.0,8,0.16657583601772785,0.1407940166615439,0.0703588346689938,0.3335793212024981,0.27472722394476856,-0.0040783680797455545,0.055708535991218194,0.14073493539806387,0.0429758610582028,288,288
C,triangulation,triangulation,10000,128,4,0.015,320,4.8,8.0,8,0.0485482020303607,0.1147642540925489,0.7327704264885331,0.2984093585084067,6.781938217128243,-0.004640164949150326,0.11362067477134075,0.11467040981292344,0.7239080329715173,288,4096
C,jacobian,jacobian,10000,128,8,0.0075,640,4.8,8.0,8,0.17614612099714577,0.14628124579449442,0.08973312914983253,0.3961762065460033,0.2669612092498508,0.003678494151893419,0.07611253933719847,0.1462349874413226,0.0475280530072918,288,288
C,area,area,10000,128,8,0.0075,640,4.8,8.0,8,0.16744377196300775,0.14086375194207265,0.07037423622696355,0.32774302572146496,0.27546335024214863,-0.0046476822185123985,0.05558131090134006,0.1407870578611312,0.04316539126449622,288,288
C,triangulation,triangulation,10000,128,8,0.0075,640,4.8,8.0,8,0.04836993000935763,0.11476324735754505,0.7339201237642052,0.2973769881269357,6.792719186813877,-0.004854584363611199,0.11379630511637547,0.11466052483180797,0.7250442393453845,288,4096
D,jacobian,jacobian,10000,128,1,0.06,80,4.8,8.0,8,0.1748691030079499,0.14681383796632913,0.09136041534277976,0.3973314964983484,0.2719365474233478,0.004331292821167819,0.07798031484252224,0.14674993329095876,0.04760037803070827,288,288
D,area,area,10000,128,1,0.06,80,4.8,8.0,8,0.1667261179536581,0.14056998457209494,0.07060094871179297,0.33717260496218127,0.28811564144152857,-0.010318222483749397,0.05595746393865418,0.1401907801796354,0.04304946211695841,288,288
