group,method,method_label,nphotons,grid_n,step_div,step,steps,total_travel,domain_L,n_neighbours,runtime_seconds,rms_kappa,rms_gamma,peak_kappa,peak_gamma,mean_kappa,mean_gamma,std_kappa,std_gamma,n_finite_kappa_pixels,n_finite_gamma_pixels
D,triangulation,triangulation,10000,128,1,0.06,80,4.8,8.0,8,0.0486652220133692,0.1155597475363138,0.7258847803330649,0.30767933675718595,6.713513934976523,-0.004815704874034504,0.11256754541577915,0.11545936184312984,0.7171033830893899,288,4096
D,jacobian,jacobian,10000,128,1,0.06,80,4.8,12.0,8,0.14555539307184517,0.0840943320857153,0.05616678140153602,0.20600514863363717,0.14220811754768176,-0.005879692502348182,0.04700245654118883,0.08388853261930618,0.030748600164911384,128,128
D,area,area,10000,128,1,0.06,80,4.8,12.0,8,0.14342080790083855,0.08413522564917372,0.042015255984392375,0.20087561175669166,0.1434758105614674,-0.009841212772524902,0.031251836916342056,0.08355768502180556,0.02808210150235162,128,128
D,triangulation,triangulation,10000,128,1,0.06,80,4.8,12.0,8,0.048445319989696145,0.07625912369515411,0.3950301533325921,0.17331519144077243,4.455435973792886,-0.00523116676676336,0.04924671202280536,0.07607949027833404,0.3919484448201243,128,4096
D,jacobian,jacobian,10000,128,1,0.06,80,4.8,16.0,8,0.13697103410959244,0.06005962751798387,0.04090040835803763,0.1495826093332009,0.11283182447144306,0.005118538909094381,0.03330615071841827,0.05984111811317576,0.023739075975619625,72,72
D,area,area,10000,128,1,0.06,80,4.8,16.0,8,0.13489919004496187,0.0600007415997198,0.029818481110949764,0.147602575616532,0.11479518558507851,0.0036465984340259255,0.02125223507509428,0.059889826451387435,0.02091612583814222,72,72
D,triangulation,triangulation,10000,128,1,0.06,80,4.8,16.0,8,0.0500370510853827,0.0518853805014319,0.2563699358954037,0.14149865462147931,3.3465879985846594,0.002750296426292667,0.02739413401317621,0.051812436531646446,0.2549021487800398,72,4096
D,jacobian,jacobian,10000,128,1,0.06,80,4.8,24.0,8,0.12787078297697008,0.04220804185318933,0.02794160534022037,0.08486284973425418,0.06912740900039524,0.0006865661483466678,0.02249241307115384,0.0422024575588262,0.01657783650616749,32,32
D,area,area,10000,128,1,0.06,80,4.8,24.0,8,0.12875289702787995,0.04216625795407241,0.021014109785171698,0.08184117727763907,0.04831887892023423,-0.00013346076607975016,0.016510673625732393,0.04216604674466522,0.012999633321282325,32,32
D,triangulation,triangulation,10000,128,1,0.06,80,4.8,24.0,8,0.04828175902366638,0.03859891404687228,0.13942386995738093,0.07491358412287649,2.234399036942056,0.0003301662684072398,0.01194243677196093,0.0385975019377296,0.1389114599946325,32,4096
E,jacobian,jacobian,10000,128,1,0.06,80,4.8,8.0,4,0.17623349104542285,0.14681383796632913,0.09136041534277976,0.3973314964983484,0.2719365474233478,0.004331292821167819,0.07798031484252224,0.14674993329095876,0.04760037803070827,288,288
E,area,area,10000,128,1,0.06,80,4.8,8.0,4,0.16814051591791213,0.14056998457209494,0.07060094871179297,0.33717260496218127,0.28811564144152857,-0.010318222483749397,0.05595746393865418,0.1401907801796354,0.04304946211695841,288,288
E,triangulation,triangulation,10000,128,1,0.06,80,4.8,8.0,4,0.04887063300702721,0.1155597475363138,0.7258847803330649,0.30767933675718595,6.713513934976523,-0.004815704874034504,0.11256754541577915,0.11545936184312984,0.7171033830893899,288,4096
E,knn_jacobian,kNN Jacobian (k=4),10000,128,1,0.06,80,4.8,8.0,4,1.0348488029558212,0.25262215537891025,0.135367823935596,0.6640169348921494,0.3355566731710434,0.2075992162162789,0.12024439203817014,0.14394623584753075,0.06217502666207203,288,288
E,jacobian,jacobian,10000,128,1,0.06,80,4.8,8.0,8,0.17439275910146534,0.14681383796632913,0.09136041534277976,0.3973314964983484,0.2719365474233478,0.004331292821167819,0.07798031484252224,0.14674993329095876,0.04760037803070827,288,288
E,area,area,10000,128,1,0.06,80,4.8,8.0,8,0.16559127799700946,0.14056998457209494,0.07060094871179297,0.33717260496218127,0.28811564144152857,-0.010318222483749397,0.05595746393865418,0.1401907801796354,0.04304946211695841,288,288
E,triangulation,triangulation,10000,128,1,0.06,80,4.8,8.0,8,0.04895234399009496,0.1155597475363138,0.7258847803330649,0.30767933675718595,6.713513934976523,-0.004815704874034504,0.11256754541577915,0.11545936184312984,0.7171033830893899,288,4096
E,knn_jacobian,kNN Jacobian (k=8),10000,128,1,0.06,80,4.8,8.0,8,1.0343316940125078,0.12647973266591797,0.07999898243906318,0.3758501271216807,0.2219831879153113,0.0029582829283745773,0.0677843846210662,0.12644513172660216,0.04248663781506964,288,288
E,jacobian,jacobian,10000,128,1,0.06,80,4.8,8.0,16,0.1747400489402935,0.14681383796632913,0.09136041534277976,0.3973314964983484,0.2719365474233478,0.004331292821167819,0.07798031484252224,0.14674993329095876,0.04760037803070827,288,288
E,area,area,10000,128,1,0.06,80,4.8,8.0,16,0.16617744194809347,0.14056998457209494,0.07060094871179297,0.33717260496218127,0.28811564144152857,-0.010318222483749397,0.05595746393865418,0.1401907801796354,0.04304946211695841,288,288
E,triangulation,triangulation,10000,128,1,0.06,80,4.8,8.0,16,0.049683777964673936,0.1155597475363138,0.7258847803330649,0.30767933675718595,6.713513934976523,-0.004815704874034504,0.11256754541577915,0.11545936184312984,0.7171033830893899,288,4096
E,knn_jacobian,kNN Jacobian (k=16),10000,128,1,0.06,80,4.8,8.0,16,1.0303344329586253,0.1234395900024949,0.07734779591117634,0.35171042376624617,0.22835472495243514,0.00046900658193350545,0.06551434840266014,0.12343869900809122,0.04111631897059671,288,288
E,jacobian,jacobian,10000,128,1,0.06,80,4.8,8.0,adaptive,0.17458795802667737,0.14681383796632913,0.09136041534277976,0.3973314964983484,0.2719365474233478,0.004331292821167819,0.07798031484252224,0.14674993329095876,0.04760037803070827,288,288
E,area,area,10000,128,1,0.06,80,4.8,8.0,adaptive,0.16660102410241961,0.14056998457209494,0.07060094871179297,0.33717260496218127,0.28811564144152857,-0.010318222483749397,0.05595746393865418,0.1401907801796354,0.04304946211695841,288,288
E,triangulation,triangulation,10000,128,1,0.06,80,4.8,8.0,adaptive,0.04921528499107808,0.1155597475363138,0.7258847803330649,0.30767933675718595,6.713513934976523,-0.004815704874034504,0.11256754541577915,0.11545936184312984,0.7171033830893899,288,4096
E,knn_jacobian,kNN Jacobian (k=adaptive),10000,128,1,0.06,80,4.8,8.0,adaptive,1.1804276389302686,0.09417226402666418,0.062411130971232597,0.2577013995592047,0.1852616814560668,-0.0004254210280776273,0.05304135621920068,0.09417130310692648,0.03289017785808113,288,288
