group,method,nphotons,grid_n,step,domain_L,rms_kappa,rms_gamma,mean_kappa,mean_gamma,peak_kappa,peak_gamma,n_finite_kappa,n_finite_gamma
A,jacobian,2000,128,0.06,8.0,0.15474409164810202,0.09751617048172495,-0.02707556315141948,0.07745233470716892,0.5083001320917262,0.27894335142066673,247,247
A,area,2000,128,0.06,8.0,0.15451299934257026,0.07711385429567656,-0.02987841376884477,0.04893750983816817,0.4970030627906993,0.26108345523731424,247,247
A,triangulation,2000,128,0.06,8.0,0.12196207337439922,0.7259236691703049,-0.0047585668760541525,0.11247481339369747,0.34525402266586025,6.718153962094527,288,4096
A,jacobian,5000,128,0.06,8.0,0.12432012002482132,0.08120466203462604,-0.006067170331535466,0.06569585280940016,0.5204594050903342,0.26222167377352823,288,288
A,area,5000,128,0.06,8.0,0.12067719371454663,0.0607354386255781,-0.017995149243525972,0.04428151929564577,0.39107992165585004,0.1964588344846956,288,288
A,triangulation,5000,128,0.06,8.0,0.11170317555574305,0.7259122762640208,-0.00372846388121006,0.11256147664725139,0.28439601937112563,6.717080829179405,288,4096
A,jacobian,10000,128,0.06,8.0,0.14681383796632913,0.09136041534277976,0.004331292821167819,0.07798031484252224,0.3973314964983484,0.2719365474233478,288,288
A,area,10000,128,0.06,8.0,0.14056998457209494,0.07060094871179297,-0.010318222483749397,0.05595746393865418,0.33717260496218127,0.28811564144152857,288,288
A,triangulation,10000,128,0.06,8.0,0.1155597475363138,0.7258847803330649,-0.004815704874034504,0.11256754541577915,0.30767933675718595,6.713513934976523,288,4096
A,jacobian,20000,128,0.06,8.0,0.13521619990460226,0.08608377717817386,-0.004117441944991497,0.0714435047874024,0.45194530817333756,0.26656605074398015,288,288
A,area,20000,128,0.06,8.0,0.13247509241883715,0.06698495515616529,-0.019113583737702305,0.050819253067850796,0.3385504130483238,0.22743849311149522,288,288
A,triangulation,20000,128,0.06,8.0,0.10882510124261253,0.7258987579791005,-0.011624674166255886,0.11246694625667314,0.25702503675107513,6.712409931626338,288,4096
A,jacobian,50000,128,0.06,8.0,0.13429892300857313,0.0846489604691841,-0.004857284467849717,0.07038514762798471,0.37754264960103034,0.23615436636795376,288,288
A,area,50000,128,0.06,8.0,0.13152000922926743,0.0663143081801389,-0.020616584482328795,0.05030234595867886,0.3212590653184195,0.25212414746178413,288,288
