cluster_id,model,channel_id,channel_name,kappa_specialization,shear_specialization,rotation_specialization,pearson_kappa_vs_gr,pearson_gamma_vs_gr,pearson_omega_vs_gr
Abell2744,C10,CH0,Native full response,0.0071310736907712335,-0.0071310736907712335,nan,0.14201737282603594,0.1348862991352647,nan
Abell2744,C10,CH1,Longitudinal (local-gradient),-0.423982965566162,0.423982965566162,nan,-0.23108322432656753,0.1928997412395945,nan
Abell2744,C10,CH2,Transverse (local-gradient),0.046602301746023894,-0.046602301746023894,nan,0.25063672144947735,0.20403441970345346,nan
Abell2744,C10,CH3,Irrotational (Helmholtz),0.04923440118847951,-0.04923440118847951,nan,0.04449618793347618,-0.004738213255003329,nan
Abell2744,C10,CH4,Solenoidal (Helmholtz),-0.06157190999542028,0.06157190999542028,nan,0.17760640835670444,0.23917831835212472,nan
Abell2744,A8,CH0,Native full response,-0.0145524712548184,0.0145524712548184,nan,0.2519540490312848,0.2665065202861032,nan
Abell2744,A8,CH1,Longitudinal (local-gradient),-0.07166197478400113,0.07166197478400113,nan,-0.08254550080899337,-0.010883526024992228,nan
Abell2744,A8,CH2,Transverse (local-gradient),-0.0632203335215335,0.0632203335215335,nan,0.2628651793921802,0.3260855129137137,nan
Abell2744,A8,CH3,Irrotational (Helmholtz),0.14714586351377335,-0.14714586351377335,nan,0.24560856478519813,0.09846270127142477,nan
Abell2744,A8,CH4,Solenoidal (Helmholtz),-0.049370354119223886,0.049370354119223886,nan,0.20700153317102057,0.25637188729024446,nan
MACS0416,C10,CH0,Native full response,0.135761533250443,-0.135761533250443,nan,0.2528293435030616,0.1170678102526186,nan
MACS0416,C10,CH1,Longitudinal (local-gradient),-0.15206147786535945,0.15206147786535945,nan,-0.1143522771108951,0.037709200754464337,nan
MACS0416,C10,CH2,Transverse (local-gradient),0.2616156763829432,-0.2616156763829432,nan,0.31937524452996374,0.05775956814702056,nan
MACS0416,C10,CH3,Irrotational (Helmholtz),0.08065457559124056,-0.08065457559124056,nan,0.08818460499036973,0.007530029399129164,nan
MACS0416,C10,CH4,Solenoidal (Helmholtz),0.10320856798748818,-0.10320856798748818,nan,0.2865199373154176,0.1833113693279294,nan
MACS0416,A8,CH0,Native full response,0.24264647362076408,-0.24264647362076408,nan,0.3644889864202237,0.12184251279945961,nan
MACS0416,A8,CH1,Longitudinal (local-gradient),-0.08973923125391743,0.08973923125391743,nan,-0.02387140770438947,0.06586782354952796,nan
MACS0416,A8,CH2,Transverse (local-gradient),0.2816688061837975,-0.2816688061837975,nan,0.36795085650515386,0.08628205032135636,nan
MACS0416,A8,CH3,Irrotational (Helmholtz),0.23611372271457948,-0.23611372271457948,nan,0.2902092096251786,0.054095486910599115,nan
MACS0416,A8,CH4,Solenoidal (Helmholtz),0.21043327323552,-0.21043327323552,nan,0.33642784289793815,0.12599456966241815,nan
MACS1149,C10,CH0,Native full response,-0.009539153930379768,0.009539153930379768,nan,0.21088311696503098,0.22042227089541075,nan
MACS1149,C10,CH1,Longitudinal (local-gradient),-0.3297314055989249,0.3297314055989249,nan,-0.05125011548619496,0.27848129011272993,nan
MACS1149,C10,CH2,Transverse (local-gradient),0.07454540780287924,-0.07454540780287924,nan,0.236668530438171,0.16212312263529174,nan
MACS1149,C10,CH3,Irrotational (Helmholtz),-0.0946025762376405,0.0946025762376405,nan,0.07930815212741445,0.17391072836505495,nan
MACS1149,C10,CH4,Solenoidal (Helmholtz),-0.08872616225497779,0.08872616225497779,nan,0.21768546345646342,0.3064116257114412,nan
MACS1149,A8,CH0,Native full response,0.08369528765875606,-0.08369528765875606,nan,0.23662895121166677,0.15293366355291071,nan
MACS1149,A8,CH1,Longitudinal (local-gradient),0.0756085514966894,-0.0756085514966894,nan,0.04113158459643047,-0.03447696690025892,nan
MACS1149,A8,CH2,Transverse (local-gradient),0.038654683248017296,-0.038654683248017296,nan,0.16846387124671505,0.12980918799869776,nan
MACS1149,A8,CH3,Irrotational (Helmholtz),0.2598304139314966,-0.2598304139314966,nan,0.11415353261239507,-0.14567688131910153,nan
MACS1149,A8,CH4,Solenoidal (Helmholtz),0.014903471411526065,-0.014903471411526065,nan,0.25579513758464506,0.240891666173119,nan
