cluster_id,model,channel_id,channel_name,kappa_specialization,shear_specialization,rotation_specialization,pearson_kappa_vs_gr,pearson_gamma_vs_gr,pearson_omega_vs_gr
AbellS1063,C10,CH0,Native full response,0.09629574726792148,-0.09629574726792148,nan,0.3273476950827446,0.2310519478148231,nan
AbellS1063,C10,CH1,Longitudinal (local-gradient),-0.2461893408125241,0.2461893408125241,nan,0.001354950517231865,0.24754429132975597,nan
AbellS1063,C10,CH2,Transverse (local-gradient),0.12592403130009272,-0.12592403130009272,nan,0.30631365205682987,0.18038962075673715,nan
AbellS1063,C10,CH3,Irrotational (Helmholtz),-0.06994369859373467,0.06994369859373467,nan,0.1776783395449837,0.24762203813871836,nan
AbellS1063,C10,CH4,Solenoidal (Helmholtz),0.03309552715835179,-0.03309552715835179,nan,0.27809711289867073,0.24500158574031894,nan
AbellS1063,A8,CH0,Native full response,0.23675357442548822,-0.23675357442548822,nan,0.3228455360618753,0.08609196163638712,nan
AbellS1063,A8,CH1,Longitudinal (local-gradient),-0.13829245622832614,0.13829245622832614,nan,-0.04753914159486743,0.0907533146334587,nan
AbellS1063,A8,CH2,Transverse (local-gradient),0.16403919948767084,-0.16403919948767084,nan,0.32943168846244236,0.16539248897477152,nan
AbellS1063,A8,CH3,Irrotational (Helmholtz),0.18502976320699613,-0.18502976320699613,nan,0.1801115124408111,-0.0049182507661850285,nan
AbellS1063,A8,CH4,Solenoidal (Helmholtz),0.1615571129542336,-0.1615571129542336,nan,0.30725686252899254,0.14569974957475892,nan
Abell370,C10,CH0,Native full response,-0.02205398037151296,0.02205398037151296,nan,0.367739686259683,0.38979366663119597,nan
Abell370,C10,CH1,Longitudinal (local-gradient),-0.1492177315590401,0.1492177315590401,nan,-0.07760101357173779,0.07161671798730232,nan
Abell370,C10,CH2,Transverse (local-gradient),-0.038351882005743076,0.038351882005743076,nan,0.3867357351806752,0.4250876171864183,nan
Abell370,C10,CH3,Irrotational (Helmholtz),-0.1972514130534863,0.1972514130534863,nan,0.22656148261190867,0.423812895665395,nan
Abell370,C10,CH4,Solenoidal (Helmholtz),0.03984169611827487,-0.03984169611827487,nan,0.3604050202713066,0.32056332415303174,nan
Abell370,A8,CH0,Native full response,0.04375836854855236,-0.04375836854855236,nan,0.4268277781281266,0.38306940957957425,nan
Abell370,A8,CH1,Longitudinal (local-gradient),0.044735555558499424,-0.044735555558499424,nan,-0.06422936823766506,-0.10896492379616449,nan
Abell370,A8,CH2,Transverse (local-gradient),0.052556331520955346,-0.052556331520955346,nan,0.44083906004492485,0.3882827285239695,nan
Abell370,A8,CH3,Irrotational (Helmholtz),-0.06000812821942403,0.06000812821942403,nan,0.3201662116357272,0.38017433985515126,nan
Abell370,A8,CH4,Solenoidal (Helmholtz),0.09206608777237268,-0.09206608777237268,nan,0.40763250154691544,0.31556641377454275,nan
