wrong_control,cluster_id,observable,pearson_vs_gr,kappa_rms,rms_difference
WR1_zero_response,Abell2744,kappa,-0.07421126154644953,1.0931946877000962e-14,0.07439643640738808
WR1_zero_response,Abell2744,gamma_mag,-0.180489647265869,5.599954623207616e-15,1.5396006256391954
WR2_component_swap,Abell2744,kappa,-0.40896549486515954,0.6664716119398562,0.6868551176278956
WR2_component_swap,Abell2744,gamma_mag,0.1344667797923082,0.33480163524078244,1.3225224428091442
WR3_sign_reversed,Abell2744,kappa,-0.2593352405189038,0.1632283604285747,0.18953729654627
WR3_sign_reversed,Abell2744,gamma_mag,0.2490995902530447,0.0894903914828459,1.4714752345304123
WR4_phase_scrambled,Abell2744,kappa,-0.013140247034895578,0.4166274100717658,0.4237634883101416
WR4_phase_scrambled,Abell2744,gamma_mag,-0.08334223064058995,0.21209868663109493,1.40616120711621
WR5_synthetic_gradient,Abell2744,kappa,0.29042667148207635,0.2854940319602874,0.27964193543190335
WR5_synthetic_gradient,Abell2744,gamma_mag,0.21104591508346435,0.15812192555317975,1.4250406825693331
WR6_synthetic_rotated_gradient,Abell2744,kappa,0.38434092965128885,1.103813095829691,1.093248268364537
WR6_synthetic_rotated_gradient,Abell2744,gamma_mag,0.1019430956623119,0.55551792829327,1.2189018212085636
WR7_random_cell_reassignment,Abell2744,kappa,-0.0598051681999409,0.6454133914534856,0.65342657017315
WR7_random_cell_reassignment,Abell2744,gamma_mag,0.11256737515938742,0.32564982900514927,1.323041903563683
WR1_zero_response,MACS0416,kappa,0.10835493315505541,1.0931946877000962e-14,0.10006766994474132
WR1_zero_response,MACS0416,gamma_mag,-0.037810198275840236,5.599954623207616e-15,1.4761352597623816
WR2_component_swap,MACS0416,kappa,-0.22951626451937154,0.620047216456716,0.6460591729356626
WR2_component_swap,MACS0416,gamma_mag,0.16799832938057832,0.31291845507825095,1.2629436083204166
WR3_sign_reversed,MACS0416,kappa,-0.3637694778305402,0.19507522422625145,0.2334266887977665
WR3_sign_reversed,MACS0416,gamma_mag,0.1252120168268105,0.10499023781578125,1.40198835357754
WR4_phase_scrambled,MACS0416,kappa,0.19753445404284276,0.5144941897088706,0.5257773151701733
WR4_phase_scrambled,MACS0416,gamma_mag,-0.06799837301302522,0.26089301870734405,1.3042334419086716
WR5_synthetic_gradient,MACS0416,kappa,0.3802901919047868,0.32292869795884455,0.3182517839322336
WR5_synthetic_gradient,MACS0416,gamma_mag,0.16492974012086528,0.17524711259721182,1.3516070274767642
WR6_synthetic_rotated_gradient,MACS0416,kappa,0.2779709724439079,1.030579993806002,1.0165775883365977
WR6_synthetic_rotated_gradient,MACS0416,gamma_mag,0.12408682027114884,0.5195854929755325,1.1435371673366481
WR7_random_cell_reassignment,MACS0416,kappa,0.04527972465770653,0.6191599146974077,0.628648246883738
WR7_random_cell_reassignment,MACS0416,gamma_mag,0.010852413920461566,0.31282951748828774,1.2887142008606887
WR1_zero_response,MACS1149,kappa,-0.07009561751501199,1.0931946877000962e-14,0.04676667627607221
WR1_zero_response,MACS1149,gamma_mag,-0.3578731618640113,5.599954623207616e-15,1.1791170966404865
WR2_component_swap,MACS1149,kappa,-0.22050272774274463,0.2844972167343035,0.2965693160257574
WR2_component_swap,MACS1149,gamma_mag,0.1586219854637861,0.14396085752469012,1.080977606078873
WR3_sign_reversed,MACS1149,kappa,-0.2588870106164263,0.08456203294933413,0.10856158417632872
WR3_sign_reversed,MACS1149,gamma_mag,0.16238328916313174,0.046421542547275325,1.144849910576648
WR4_phase_scrambled,MACS1149,kappa,0.17908798129709488,0.24436901925039572,0.24082565058727032
WR4_phase_scrambled,MACS1149,gamma_mag,-0.09870429427486467,0.12616872074456553,1.0989681780531315
WR5_synthetic_gradient,MACS1149,kappa,0.2592804911815889,0.13152390914543094,0.12465016949354553
WR5_synthetic_gradient,MACS1149,gamma_mag,0.22378890221858325,0.07144891571859793,1.1265339403348689
WR6_synthetic_rotated_gradient,MACS1149,kappa,0.25629225961104757,0.47771006211435163,0.47004215221255785
WR6_synthetic_rotated_gradient,MACS1149,gamma_mag,0.1585046855010494,0.24116275866262235,1.0199773164097634
WR7_random_cell_reassignment,MACS1149,kappa,0.03679125380653201,0.4635457378948655,0.4639131092986425
WR7_random_cell_reassignment,MACS1149,gamma_mag,0.1337564305692404,0.23340556083932104,1.038904192502585
WR1_zero_response,AbellS1063,kappa,-0.049945963739958875,1.0931946877000962e-14,0.06224228886488734
WR1_zero_response,AbellS1063,gamma_mag,-0.15017943285349378,5.599954623207616e-15,2.0793785814511843
WR2_component_swap,AbellS1063,kappa,-0.39776615398493115,0.5936498033872846,0.6158908702643157
WR2_component_swap,AbellS1063,gamma_mag,0.3777179906157985,0.2983242845158309,1.8431048516584483
WR3_sign_reversed,AbellS1063,kappa,-0.3267710563316175,0.12513855506309707,0.148408723675349
WR3_sign_reversed,AbellS1063,gamma_mag,0.09546439943036131,0.07092638577693866,2.0272544884355463
WR4_phase_scrambled,AbellS1063,kappa,0.03143779462292597,0.4313183035542278,0.4376008512020301
WR4_phase_scrambled,AbellS1063,gamma_mag,-0.22688926234986728,0.21893283863239943,1.9470461665648169
WR5_synthetic_gradient,AbellS1063,kappa,0.29955610035261476,0.2043170596387127,0.20226979028515374
WR5_synthetic_gradient,AbellS1063,gamma_mag,0.17549210427751252,0.11518721175056645,1.9936845757344515
WR6_synthetic_rotated_gradient,AbellS1063,kappa,0.36462424753184325,0.8725631748361283,0.8585648807022725
WR6_synthetic_rotated_gradient,AbellS1063,gamma_mag,0.2832460672545149,0.43911077366364176,1.748142358576601
WR7_random_cell_reassignment,AbellS1063,kappa,-0.004168557151039567,0.43245030674996654,0.4375056131100123
WR7_random_cell_reassignment,AbellS1063,gamma_mag,0.10955878349067445,0.21861497634561403,1.9218093161135015
WR1_zero_response,Abell370,kappa,-0.21487014303118163,1.0931946877000962e-14,0.0914368486004625
WR1_zero_response,Abell370,gamma_mag,0.02802483496625895,5.599954623207616e-15,2.357771451329967
WR2_component_swap,Abell370,kappa,-0.41093542270908134,0.918055482050517,0.9456582681267769
WR2_component_swap,Abell370,gamma_mag,0.4217350034932112,0.4603792814868344,2.0282838885668757
WR3_sign_reversed,Abell370,kappa,-0.45494695389503775,0.19732113739674412,0.24085121200131768
WR3_sign_reversed,Abell370,gamma_mag,0.40154174589963554,0.10690503744072108,2.272311668570058
WR4_phase_scrambled,Abell370,kappa,0.04893095258508622,0.5380553028633915,0.5437865641098354
WR4_phase_scrambled,Abell370,gamma_mag,-0.023282835554841647,0.27349459375757523,2.1811007273467022
WR5_synthetic_gradient,Abell370,kappa,0.4412258374021524,0.36096359897899555,0.34395463801529114
WR5_synthetic_gradient,Abell370,gamma_mag,0.397977000380722,0.19336844604395603,2.2073245694335264
WR6_synthetic_rotated_gradient,Abell370,kappa,0.33359349074672623,1.5529942055106658,1.5434955177902265
WR6_synthetic_rotated_gradient,Abell370,gamma_mag,0.23850319055765185,0.7738993184316618,1.9123303567673378
WR7_random_cell_reassignment,Abell370,kappa,-0.008655692522420723,0.5642676663941293,0.5718628752403826
WR7_random_cell_reassignment,Abell370,gamma_mag,-0.0017966152037131881,0.2846504408398256,2.1723248629472383
