cluster_id,model,channel_id,channel_name,decomposition_type,response_energy,energy_fraction,E_native,closure_residual_norm
Abell2744,C10,CH0,Native full response,native,2.71243635625619,1.0,2.71243635625619,0.0
Abell2744,C10,CH1,Longitudinal (local-gradient),local_longitudinal,0.23770822965900484,0.08763642660618919,2.71243635625619,1.573126862842659
Abell2744,C10,CH2,Transverse (local-gradient),local_transverse,2.473567903843888,0.9119358314670292,2.71243635625619,0.4887417031646698
Abell2744,C10,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.14404721237983653,0.05310620912730136,2.71243635625619,1.5762713452333612
Abell2744,C10,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,2.48463135380379,0.9160146183975998,2.71243635625619,0.3795355218946397
Abell2744,A8,CH0,Native full response,native,4.26236246815205,1.0,4.26236246815205,0.0
Abell2744,A8,CH1,Longitudinal (local-gradient),local_longitudinal,0.11751074418321077,0.027569392575417836,4.26236246815205,2.035890891960775
Abell2744,A8,CH2,Transverse (local-gradient),local_transverse,4.141415304224753,0.9716243832308955,4.26236246815205,0.34777458781126813
Abell2744,A8,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.16745862637193865,0.03928774890056228,4.26236246815205,2.0001558160924597
Abell2744,A8,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,4.0006232886484945,0.9385929325675034,4.26236246815205,0.40921708954042796
MACS0416,C10,CH0,Native full response,native,2.790779101921781,1.0,2.790779101921781,0.0
MACS0416,C10,CH1,Longitudinal (local-gradient),local_longitudinal,0.18291983665972178,0.06554436233729853,2.790779101921781,1.6148867654612997
MACS0416,C10,CH2,Transverse (local-gradient),local_transverse,2.6049584198303393,0.933416198378624,2.790779101921781,0.43106923120473495
MACS0416,C10,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.1606894696536227,0.057578713249991385,2.790779101921781,1.59368501461875
MACS0416,C10,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,2.5398319258203657,0.9100798856030531,2.790779101921781,0.4008609106081843
MACS0416,A8,CH0,Native full response,native,3.8428849166634107,1.0,3.8428849166634107,0.0
MACS0416,A8,CH1,Longitudinal (local-gradient),local_longitudinal,0.10397119644251962,0.027055506135945578,3.8428849166634107,1.9336270892343463
MACS0416,A8,CH2,Transverse (local-gradient),local_transverse,3.7216794109337337,0.968459761778421,3.8428849166634107,0.3481458110184251
MACS0416,A8,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.1715352139254497,0.04463709365368801,3.8428849166634107,1.8923451131134912
MACS0416,A8,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,3.5809700271245117,0.931844201630085,3.8428849166634107,0.41416809863321163
MACS1149,C10,CH0,Native full response,native,1.1370043664031875,1.0,1.1370043664031875,0.0
MACS1149,C10,CH1,Longitudinal (local-gradient),local_longitudinal,0.0774238577362365,0.06809460018272402,1.1370043664031875,1.0293592709384567
MACS1149,C10,CH2,Transverse (local-gradient),local_transverse,1.0586196760668742,0.9310603436077591,1.1370043664031875,0.2799726599800656
MACS1149,C10,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.041467652675787,0.03647097047390086,1.1370043664031875,1.0399565203571908
MACS1149,C10,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,1.081509564233436,0.9511920940591422,1.1370043664031875,0.20363607901299563
MACS1149,A8,CH0,Native full response,native,1.7192529066568174,1.0,1.7192529066568174,0.0
MACS1149,A8,CH1,Longitudinal (local-gradient),local_longitudinal,0.09215151823216941,0.05359974549140833,1.7192529066568174,1.27557884445637
MACS1149,A8,CH2,Transverse (local-gradient),local_transverse,1.6138258470571403,0.938678562536395,1.7192529066568174,0.3246953335046212
MACS1149,A8,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.07492491500413767,0.04357992632383174,1.7192529066568174,1.2724179700968619
MACS1149,A8,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,1.6190474906254182,0.9417157210300989,1.7192529066568174,0.2737241586052237
AbellS1063,C10,CH0,Native full response,native,1.8314122567244406,1.0,1.8314122567244406,0.0
AbellS1063,C10,CH1,Longitudinal (local-gradient),local_longitudinal,0.1152867562670733,0.06294964765239074,1.8314122567244406,1.3100097329628384
