cluster_id,model,wave_mode_id,dominant_channel,longitudinal_energy_fraction,transverse_energy_fraction,irrotational_energy_fraction,solenoidal_energy_fraction,phase_velocity,group_velocity,attenuation,coherence_length,mode_stability
Abell2744,C10,W1,longitudinal,nan,nan,nan,nan,nan,nan,nan,nan,nan
Abell2744,C10,W2,transverse,nan,nan,nan,nan,nan,nan,nan,nan,nan
Abell2744,A8,W1,longitudinal,nan,nan,nan,nan,nan,nan,nan,nan,nan
Abell2744,A8,W2,transverse,nan,nan,nan,nan,nan,nan,nan,nan,nan
MACS0416,C10,W1,longitudinal,nan,nan,nan,nan,nan,nan,nan,nan,nan
MACS0416,C10,W2,transverse,nan,nan,nan,nan,nan,nan,nan,nan,nan
MACS0416,A8,W1,longitudinal,nan,nan,nan,nan,nan,nan,nan,nan,nan
MACS0416,A8,W2,transverse,nan,nan,nan,nan,nan,nan,nan,nan,nan
MACS1149,C10,W1,longitudinal,nan,nan,nan,nan,nan,nan,nan,nan,nan
MACS1149,C10,W2,transverse,nan,nan,nan,nan,nan,nan,nan,nan,nan
MACS1149,A8,W1,longitudinal,nan,nan,nan,nan,nan,nan,nan,nan,nan
MACS1149,A8,W2,transverse,nan,nan,nan,nan,nan,nan,nan,nan,nan
AbellS1063,C10,W1,longitudinal,nan,nan,nan,nan,nan,nan,nan,nan,nan
AbellS1063,C10,W2,transverse,nan,nan,nan,nan,nan,nan,nan,nan,nan
AbellS1063,A8,W1,longitudinal,nan,nan,nan,nan,nan,nan,nan,nan,nan
AbellS1063,A8,W2,transverse,nan,nan,nan,nan,nan,nan,nan,nan,nan
Abell370,C10,W1,longitudinal,nan,nan,nan,nan,nan,nan,nan,nan,nan
Abell370,C10,W2,transverse,nan,nan,nan,nan,nan,nan,nan,nan,nan
Abell370,A8,W1,longitudinal,nan,nan,nan,nan,nan,nan,nan,nan,nan
Abell370,A8,W2,transverse,nan,nan,nan,nan,nan,nan,nan,nan,nan
