cluster_id,model,channel_id,channel_name,decomposition_type,divergence_rms,curl_rms,pearson_div_vs_kappa_gr,pearson_div_vs_gamma1_gr,pearson_div_vs_gamma2_gr,pearson_div_vs_gamma_mag_gr,pearson_curl_vs_kappa_gr,pearson_curl_vs_gamma1_gr,pearson_curl_vs_gamma2_gr,pearson_curl_vs_gamma_mag_gr,spearman_div_vs_kappa_gr,spearman_div_vs_gamma_mag_gr,spearman_curl_vs_kappa_gr,spearman_curl_vs_gamma_mag_gr
Abell2744,C10,CH0,Native full response,native,0.0028672450309404026,0.022996845311243422,0.004199982226820566,-0.0354305799020043,-0.006759290166145872,0.009718423866295857,-0.6406490164258413,0.029433447014078535,0.08810681767893316,-0.043021342132981095,0.019763090661575833,0.008550402635918716,-0.6507658159467505,-0.0552385804804686
Abell2744,C10,CH1,Longitudinal (local-gradient),local_longitudinal,0.0040779686711829854,0.006734303717149537,-0.011418644089163694,-0.025744252213337142,0.008684976012595522,-0.012647553741768834,0.0012596735974122243,0.07070494090723188,0.05770980115082303,-0.010370003655576995,-0.002004975281486677,-0.016424622958224146,0.004096656292384493,-0.0002498346879048459
Abell2744,C10,CH2,Transverse (local-gradient),local_transverse,0.004653690453868532,0.021979231604769344,0.011680048160951731,0.0016259612809117975,-0.010986177915896294,0.016447991759316164,-0.6710714211760642,0.009360558196456268,0.07469486167760925,-0.04170381225641794,0.013430514940575657,0.027120479311058928,-0.6892897030241237,-0.056792337631070625
Abell2744,C10,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.0038728669070860837,0.0015674026835082117,-0.005163439952507149,-0.033620186555991874,-0.02938688478881783,0.017548866639104266,-0.09235519850226326,0.010157035095526352,-0.001435574256665477,-0.010925730140458192,0.00410252135485538,0.019939276006644278,-0.12158999239956915,-0.012095158069012795
Abell2744,C10,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,0.0027893326297516387,0.02263818497926423,0.011485964805141665,0.010260734913843772,0.033853345238724686,-0.014375768687394139,-0.6444045896585584,0.029196526748269797,0.08960211056420436,-0.042946476194726385,0.016899722878897808,-0.004273610851737759,-0.6530075965961313,-0.0539018355307332
Abell2744,A8,CH0,Native full response,native,6.801173856878688e-17,0.02996044610655608,-0.013657338764163222,0.04198099409045312,-0.00973471852491538,0.0265923028908897,-0.7021996959717727,-0.015396534507384022,0.0771514792380375,-0.04951058220088539,-0.02923977537671628,-0.025669321550835462,-0.7142080767283374,-0.04978323681152161
Abell2744,A8,CH1,Longitudinal (local-gradient),local_longitudinal,0.0027164419163028418,0.004912016182945141,-0.004094384646200833,-0.01003007760686878,0.009880607603996743,0.006461735327633861,-0.014027112751319692,-0.00014720344359285735,0.059259759769812057,-0.024539450601049898,-0.002507618137623706,0.020498770521414758,-0.007867493669986347,-0.013626940138288
Abell2744,A8,CH2,Transverse (local-gradient),local_transverse,0.002705689152154623,0.030023123487192865,0.0038336049383258554,0.0104012903924284,-0.00991697868847108,-0.005805871314428874,-0.6989878567181113,-0.015114928969065139,0.06728677996468728,-0.045608019306071695,0.00019674912336463472,-0.021532271991544782,-0.7151309667559171,-0.047476004146471865
Abell2744,A8,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.0038415987544785676,0.00219044329381806,0.002032778223341881,-0.008427340611763154,0.01147583397474051,0.009664139503012006,-0.16281698219455953,0.0029876621763940694,-0.008483744356551935,-0.006896141946757033,-0.0059472337650349,0.0067441273658761305,-0.16996679117705174,-0.004572584973783641
Abell2744,A8,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,0.0038415987544785715,0.029395653438699192,-0.002032778223342108,0.00842734061176388,-0.011475833974740675,-0.009664139503011532,-0.7035589685658502,-0.015914984163942308,0.07926600332535991,-0.04994798225244134,0.0059472337650349,-0.0067441273658761305,-0.7166443178921346,-0.05005457789263966
MACS0416,C10,CH0,Native full response,native,0.0026848990262510262,0.02192648008251227,0.013559614588511288,-0.004706804544008907,0.016144066365775443,-0.012108055279647907,-0.6288431189236625,0.0595754514823736,-0.15870569013766153,-0.04445276682722991,-0.00010829524316908378,0.020103850494275273,-0.5761539300427321,0.0013848577752997146
MACS0416,C10,CH1,Longitudinal (local-gradient),local_longitudinal,0.0036983429424894965,0.00586500001407692,-0.010384128813918772,-0.04027984854653887,0.02667472191900591,0.015400920019508558,0.007705946856763141,0.058875673324015984,-0.021220529291861714,-0.011099725296300975,0.0009670251159831951,0.01075019396423587,0.006774054079818969,-0.007175975615868754
MACS0416,C10,CH2,Transverse (local-gradient),local_transverse,0.004203906574772144,0.021202370170215572,0.018239480592294865,0.0341179014533884,-0.010307627244446102,-0.02237598588125048,-0.653379358709577,0.044946406572548114,-0.1580636843794818,-0.04272192758427036,-0.0020201068877119953,0.003958232296469497,-0.6110515017479622,-0.004199131525814922
MACS0416,C10,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.00356136918717656,0.0014405902298198412,-0.017416821315453267,0.004392111242198474,-0.019101724053529136,-0.01620973954728921,-0.08202133805969092,0.0024942384722079266,-0.006481673672487519,0.00014120387939757953,-0.01224796838021835,-0.000713419444541302,-0.10744418989767149,0.002075022501220405
