laboratory_id,cluster_id,model,channel_id,channel_name,decomposition_type,smoothing_state,timestep,response_energy,energy_fraction,divergence_rms,curl_rms,pearson_preprop_vs_kappa_gr,pearson_preprop_vs_gamma_gr,pearson_postprop_kappa_vs_gr,pearson_postprop_gamma_vs_gr,kappa_specialization,shear_specialization,rotation_specialization,displacement_divergence_rms,displacement_curl_rms,jacobian_trace_rms,jacobian_shear_rms,image_rotation_rms,lag_dx,lag_dy,lag_improvement,interface_assignment,wave_mode_id,nearest_alpha_multiple,alpha_input_dependency
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,Abell2744,C10,CH0,Native full response,native,SM0_native,20,2.71243635625619,1.0,0.0028672450309404026,0.022996845311243422,0.004199982226820566,-0.043021342132981095,0.14201737282603594,0.1348862991352647,0.0071310736907712335,-0.0071310736907712335,nan,0.258157167961595,0.2580880523325104,0.9696320399487418,0.08772991185497712,0.0,0,1,0.15576552380598518,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,Abell2744,C10,CH1,Longitudinal (local-gradient),local_longitudinal,SM0_native,20,0.23770822965900484,0.08763642660618919,0.0040779686711829854,0.006734303717149537,-0.011418644089163694,-0.010370003655576995,-0.23108322432656753,0.1928997412395945,-0.423982965566162,0.423982965566162,nan,0.25819025457871564,0.25818573452277654,0.9792186351469577,0.0490147933323127,0.0,0,1,-0.19844319457363968,IC0_native,W1,alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,Abell2744,C10,CH2,Transverse (local-gradient),local_transverse,SM0_native,20,2.473567903843888,0.9119358314670292,0.004653690453868532,0.021979231604769344,0.011680048160951731,-0.04170381225641794,0.25063672144947735,0.20403441970345346,0.046602301746023894,-0.046602301746023894,nan,0.2581520764669312,0.25807910090427705,0.9692939054783277,0.09481245611707546,0.0,0,1,0.2558123864809262,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,Abell2744,C10,CH3,Irrotational (Helmholtz),helmholtz_irrotational,SM0_native,20,0.14404721237983653,0.05310620912730136,0.0038728669070860837,0.0015674026835082117,-0.005163439952507149,-0.010925730140458192,0.04449618793347618,-0.004738213255003329,0.04923440118847951,-0.04923440118847951,nan,0.25820366263360583,0.2580495000673385,0.9832030557515677,0.049596134887572633,0.0,0,1,0.1025418945250135,IC0_native,W1,3alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,Abell2744,C10,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,SM0_native,20,2.48463135380379,0.9160146183975998,0.0027893326297516387,0.02263818497926423,0.011485964805141665,-0.042946476194726385,0.17760640835670444,0.23917831835212472,-0.06157190999542028,0.06157190999542028,nan,0.2581302045773341,0.25821180088393353,0.9790270274685551,0.05732798721557836,0.0,0,1,0.17935142282580413,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,Abell2744,A8,CH0,Native full response,native,SM0_native,20,4.26236246815205,1.0,6.801173856878688e-17,0.02996044610655608,-0.013657338764163222,-0.04951058220088539,0.2519540490312848,0.2665065202861032,-0.0145524712548184,0.0145524712548184,nan,0.25814821125801357,0.2580874303126616,0.9670956764478923,0.08913482535399568,0.0,0,1,0.2606138882270008,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,Abell2744,A8,CH1,Longitudinal (local-gradient),local_longitudinal,SM0_native,20,0.11751074418321077,0.027569392575417836,0.0027164419163028418,0.004912016182945141,-0.004094384646200833,-0.024539450601049898,-0.08254550080899337,-0.010883526024992228,-0.07166197478400113,0.07166197478400113,nan,0.25817641210684666,0.2582000759090849,0.9831273081884914,0.04200103789165556,0.0,0,1,-0.08469420558727175,IC0_native,W1,alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,Abell2744,A8,CH2,Transverse (local-gradient),local_transverse,SM0_native,20,4.141415304224753,0.9716243832308955,0.002705689152154623,0.030023123487192865,0.0038336049383258554,-0.045608019306071695,0.2628651793921802,0.3260855129137137,-0.0632203335215335,0.0632203335215335,nan,0.2581583404400947,0.25807407046887876,0.9666629300305529,0.09677991845079327,0.0,0,1,0.27187754941205367,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,Abell2744,A8,CH3,Irrotational (Helmholtz),helmholtz_irrotational,SM0_native,20,0.16745862637193865,0.03928774890056228,0.0038415987544785676,0.00219044329381806,0.002032778223341881,-0.006896141946757033,0.24560856478519813,0.09846270127142477,0.14714586351377335,-0.14714586351377335,nan,0.2581961688820048,0.25805188375471605,0.988254166863594,0.03157007617392902,0.0,0,1,0.27663653957538104,IC0_native,W1,3alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,Abell2744,A8,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,SM0_native,20,4.0006232886484945,0.9385929325675034,0.0038415987544785715,0.029395653438699192,-0.002032778223342108,-0.04994798225244134,0.20700153317102057,0.25637188729024446,-0.049370354119223886,0.049370354119223886,nan,0.2581275575832673,0.2582140741481328,0.9728123410063646,0.07070920297017701,0.0,0,1,0.20939290447673584,IC0_native,W2,6alpha,indirect
