cluster_id,model,channel_id,channel_name,n_photons,n_steps,mean_displacement_x,mean_displacement_y,max_deviation_mean,bending_angle_mean,conservation_max,kappa_rms,kappa_pearson_vs_gr,gamma1_rms,gamma2_rms,gamma_mag_rms,gamma_mag_pearson_vs_gr,rotation_rms,rotation_pearson_vs_gr
Abell2744,C10,CH0,Native full response,19881,160,2.3849380765820802,0.0008124250600418956,0.02538836480614961,0.04795471688859491,2.220446049250313e-16,0.16166810628755518,0.14201737282603594,0.08079839336474336,0.03417831276933156,0.08772991185497712,0.1348862991352647,0.0,nan
Abell2744,C10,CH1,Longitudinal (local-gradient),19881,160,2.3849912852815964,0.0015941187255894686,0.010630646462297758,0.014251635143002183,2.220446049250313e-16,0.09656196539673174,-0.23108322432656753,0.04827928909491338,0.008459326799403347,0.0490147933323127,0.1928997412395945,0.0,nan
Abell2744,C10,CH2,Transverse (local-gradient),19881,160,2.3849446556659233,-0.00056908869324311,0.023896633817751374,0.0456415145579542,2.220446049250313e-16,0.17725516059884386,0.25063672144947735,0.08860058862074124,0.0337540742875662,0.09481245611707546,0.20403441970345346,0.0,nan
Abell2744,C10,CH3,Irrotational (Helmholtz),19881,160,2.38498298964224,-0.0022955583938458817,0.012442254965978507,0.009303858508536881,2.220446049250313e-16,0.09557806506827195,0.04449618793347618,0.04776372353358976,0.013356770193168084,0.049596134887572633,-0.004738213255003329,0.0,nan
Abell2744,C10,CH4,Solenoidal (Helmholtz),19881,160,2.3849535103127173,0.003096216337765519,0.022663911642120844,0.048065136345199475,2.220446049250313e-16,0.1015271103019692,0.17760640835670444,0.05072888759796882,0.026703521888735208,0.05732798721557836,0.23917831835212472,0.0,nan
Abell2744,A8,CH0,Native full response,19881,160,2.3849169930162435,0.0014655375453030742,0.029378741535678956,0.07256592031137557,2.220446049250313e-16,0.16162135847013967,0.2519540490312848,0.08078261130284974,0.03767209580020744,0.08913482535399568,0.2665065202861032,0.0,nan
Abell2744,A8,CH1,Longitudinal (local-gradient),19881,160,2.3849951575114092,0.0006942632609754995,0.008002161632216315,0.012016862648028492,2.220446049250313e-16,0.08291296843098758,-0.08254550080899337,0.04145397977629544,0.006756829484512313,0.04200103789165556,-0.010883526024992228,0.0,nan
Abell2744,A8,CH2,Transverse (local-gradient),19881,160,2.3849198137763308,0.0007805320865154463,0.028541699044833193,0.07068688014742396,2.220446049250313e-16,0.17864658406366665,0.2628651793921802,0.08928981037991546,0.03733205563133296,0.09677991845079327,0.3260855129137137,0.0,nan
Abell2744,A8,CH3,Irrotational (Helmholtz),19881,160,2.3849922607377523,-0.0018951158207174794,0.008852030170255395,0.010787077707064253,2.220446049250313e-16,0.06059518513150363,0.24560856478519813,0.030302228206442364,0.008856899872549638,0.03157007617392902,0.09846270127142477,0.0,nan
Abell2744,A8,CH4,Solenoidal (Helmholtz),19881,160,2.3849273489330245,0.003394445580823879,0.027375642293002756,0.07224358569161596,2.220446049250313e-16,0.12313022903780355,0.20700153317102057,0.06150666319868631,0.03488153905493644,0.07070920297017701,0.25637188729024446,0.0,nan
