cluster_id,model,IC0_pearson_kappa,IC0_pearson_gamma,IC1_midpoint_pearson_kappa,IC1_midpoint_pearson_gamma,IC1_midpoint_dx_advantage_kappa,IC2_receiving_pearson_kappa,IC2_receiving_pearson_gamma,IC3_sending_pearson_kappa,IC3_sending_pearson_gamma
Abell2744,C10,-0.013748150979949235,0.2427115220897203,-0.006312317090714025,0.26700087627916547,0.00743583388923521,-0.013748150979949235,0.2427115220897203,-0.013748150979949235,0.2427115220897203
Abell2744,A8,-0.008659839195716026,0.2855200605536583,-0.008844709685146333,0.3030366680930327,-0.00018487048943030722,-0.008659839195716026,0.2855200605536583,-0.008659839195716026,0.2855200605536583
MACS0416,C10,-0.016679079577272857,0.3592790483117866,-0.01266168816559042,0.39599253539906976,0.004017391411682437,-0.016679079577272857,0.3592790483117866,-0.016679079577272857,0.3592790483117866
MACS0416,A8,0.010404897858410082,0.39467570937306107,0.012902963803792113,0.42706693071377916,0.0024980659453820303,0.010404897858410082,0.39467570937306107,0.010404897858410082,0.39467570937306107
MACS1149,C10,-0.00682602257489561,0.38615493512880383,-0.00252426332671534,0.4235186462925258,0.00430175924818027,-0.00682602257489561,0.38615493512880383,-0.00682602257489561,0.38615493512880383
MACS1149,A8,-0.002708516186127793,0.36744704058631394,-0.0026432654675251233,0.4177179706980905,6.525071860266976e-05,-0.002708516186127793,0.36744704058631394,-0.002708516186127793,0.36744704058631394
AbellS1063,C10,-0.008392867263953658,0.42491492812816006,-0.010655949726002738,0.47079902078276725,-0.002263082462049081,-0.008392867263953658,0.42491492812816006,-0.008392867263953658,0.42491492812816006
AbellS1063,A8,-0.010655632098322054,0.41565565703584956,-0.011114795229995334,0.4613057315897208,-0.0004591631316732802,-0.010655632098322054,0.41565565703584956,-0.010655632098322054,0.41565565703584956
Abell370,C10,0.0012113789669151995,0.2769882356627821,0.0028976167036376924,0.3049130515580362,0.0016862377367224928,0.0012113789669151995,0.2769882356627821,0.0012113789669151995,0.2769882356627821
Abell370,A8,-0.005309145111682846,0.314213825502254,-0.008335034824434097,0.33329206604377243,-0.0030258897127512516,-0.005309145111682846,0.314213825502254,-0.005309145111682846,0.314213825502254
