cluster_id,model,channel_id,timestep,snapshot_index,energy_fraction,divergence_rms,curl_rms,pearson_vs_kappa_gr,pearson_vs_gamma_mag_gr
Abell2744,A8,CH1,0,0,0.017553711600824837,0.00271159360973848,0.004793424896837452,0.004759317656636544,-0.0018630468955751467
Abell2744,A8,CH2,0,0,0.9818683409112353,0.0026885853260692327,0.036942892254820406,0.48907835965111074,0.2705878818264978
Abell2744,A8,CH3,0,0,0.055117800465646745,0.005592096329733026,0.003548043991235804,0.19780175188196433,0.04965071192163849
Abell2744,A8,CH4,0,0,0.9184425373866203,0.005592096329733031,0.03642405800295375,0.4937945074208587,0.293094361311168
Abell2744,A8,CH1,1,1,0.01791754260602945,0.0027067016613852913,0.00479136570573929,0.007658524987048792,0.00024696131512583257
Abell2744,A8,CH2,1,1,0.9814901143605679,0.0026842823656830993,0.036513640420706525,0.4890150611281882,0.27133416383761666
Abell2744,A8,CH3,1,1,0.05412995906126936,0.005479174552344556,0.0034597408086116687,0.19568872129583717,0.04793426319863934
Abell2744,A8,CH4,1,1,0.9197122530009888,0.005479174552344561,0.03598776698333315,0.49356020020734437,0.2936342305515853
Abell2744,A8,CH1,2,2,0.018300246922439308,0.00270254733850429,0.004790641829613189,0.011284597930067225,0.002634881290177531
Abell2744,A8,CH2,2,2,0.981093371868744,0.002680744070013917,0.03609276719790139,0.4889297890131143,0.2720657500353551
Abell2744,A8,CH3,2,2,0.053160512425500545,0.005368948363412228,0.0033735908805685743,0.19356648418144096,0.04620012745658755
Abell2744,A8,CH4,2,2,0.9209565389707428,0.005368948363412234,0.0355600046304365,0.4933326194254229,0.2941876821000693
Abell2744,A8,CH1,3,3,0.018701517378580185,0.002699084432391779,0.004791137652575204,0.01767002722732463,0.00588492232065471
Abell2744,A8,CH2,3,3,0.980678409553345,0.002677919203280451,0.03568003509953031,0.48882244562926447,0.2727780203998627
Abell2744,A8,CH3,3,3,0.052209170572155586,0.005261333414124003,0.0032895303734594445,0.1914360584504752,0.04445518546439779
Abell2744,A8,CH4,3,3,0.9221758892473327,0.005261333414124007,0.03514052887958559,0.4931094929031183,0.2947532007656797
Abell2744,A8,CH1,4,4,0.019121130745670505,0.0026962747466357934,0.004792755823912886,0.025322508389887987,0.009901716595428078
Abell2744,A8,CH2,4,4,0.9802454369758349,0.00267576491199488,0.03527521712313364,0.48869056703548974,0.2734703378569865
Abell2744,A8,CH3,4,4,0.0512756778580307,0.005156250971412374,0.003207500850319599,0.18930607475010308,0.04269913534175669
Abell2744,A8,CH4,4,4,0.9233707532159653,0.005156250971412379,0.03472910990717158,0.49288910819723913,0.2953298382940033
Abell2744,A8,CH1,5,5,0.0195589298253468,0.0026940862005559916,0.004795413562925343,0.034249742467658814,0.014521522179926954
Abell2744,A8,CH2,5,5,0.9797945956434996,0.00267424482312078,0.03487809597238841,0.48853702662966547,0.27414158939152683
Abell2744,A8,CH3,5,5,0.05035980606056283,0.005053627235876287,0.0031274484225638504,0.18718427427988676,0.04093547491906194
Abell2744,A8,CH4,5,5,0.9245415437045877,0.005053627235876292,0.034325529010912015,0.49267019371005216,0.2959169527794961
Abell2744,A8,CH1,6,6,0.02001480808319463,0.0026924912932255866,0.004799039612736612,0.04293875051982874,0.019218779624443485
Abell2744,A8,CH2,6,6,0.979325974878411,0.002673327499269158,0.03448846336090973,0.4883650514668883,0.27479788159036206
Abell2744,A8,CH3,6,6,0.04946134844219583,0.0049533927502317865,0.003049323031021382,0.18508350464466952,0.039169817788865996
Abell2744,A8,CH4,6,6,0.9256886438747678,0.004953392750231791,0.03392957761976811,0.4924517680093249,0.2965140973667187
Abell2744,A8,CH1,7,7,0.02048869652987358,0.002691465871620893,0.004803571747885974,0.051522538243172974,0.024077966818716528
Abell2744,A8,CH2,7,7,0.9788396253628775,0.0026729851954808625,0.034106119388298134,0.4881829843194693,0.27545851794862153
Abell2744,A8,CH3,7,7,0.04858011468778262,0.004855481886830249,0.002973077838316129,0.1830102679507136,0.037404815964261755
Abell2744,A8,CH4,7,7,0.9268124131217687,0.004855481886830253,0.033541056418033205,0.49223305370268744,0.29712096951873324
Abell2744,A8,CH1,8,8,0.02098055258212843,0.0026909881538906286,0.0048089547516243485,0.060373387347057224,0.029399498325397563
Abell2744,A8,CH2,8,8,0.9783355706389892,0.00267319286932592,0.03373087197980467,0.48797802343092245,0.2760997527757356
Abell2744,A8,CH3,8,8,0.04771592661241202,0.004759832404144665,0.0028986687169066053,0.1809542163911525,0.03563610457985102
Abell2744,A8,CH4,8,8,0.9279131920990052,0.004759832404144669,0.03315977456991644,0.4920134735016414,0.29773752028303974
Abell2744,A8,CH1,9,9,0.021490350663940415,0.002691037965449856,0.004815138789309918,0.06913326820718932,0.034773643011512506
Abell2744,A8,CH2,9,9,0.9778138168107174,0.0026739274025691217,0.033362536382044755,0.4877501086881262,0.2767237784151448
Abell2744,A8,CH3,9,9,0.04686861454729889,0.004666385063338116,0.0028260538191405035,0.1789064971317955,0.03386010181803115
Abell2744,A8,CH4,9,9,0.9289913069707924,0.004666385063338121,0.032785549032553825,0.49179306755465574,0.29836501583634406
Abell2744,A8,CH1,10,10,0.022018074333572935,0.0026915961515740724,0.004822078113912727,0.07757549227376455,0.039926563821279064
Abell2744,A8,CH2,10,10,0.9772743606704664,0.0026751669984813797,0.03300093470812234,0.4875003818154197,0.27732995107574826
Abell2744,A8,CH3,10,10,0.04603801432081205,0.004575083297107484,0.00275519321747932,0.17686362695792862,0.032075567705572294
Abell2744,A8,CH4,10,10,0.9300470729868454,0.004575083297107489,0.032418203946804024,0.49157329012426376,0.29900813387220715
Abell2744,A8,CH1,11,11,0.022563709745422808,0.0026926441354281298,0.004829730048330343,0.08587447044361544,0.04501990547028954
Abell2744,A8,CH2,11,11,0.9767171964478748,0.0026768907240352826,0.03264589552634314,0.4872453733434654,0.27795807846497783
Abell2744,A8,CH3,11,11,0.04522396476036146,0.004485872923952429,0.0026860486046302507,0.1748243497256126,0.030282185962653953
Abell2744,A8,CH4,11,11,0.9310807974624049,0.004485872923952433,0.032057570096448273,0.49135793990157545,0.29967774860344687
Abell2744,A8,CH1,12,12,0.02312724027654369,0.002694163595064684,0.004838054196978369,0.09412450800246953,0.0503015938664481
Abell2744,A8,CH2,12,12,0.9761423213568674,0.0026790781707523277,0.03229725348741257,0.4870062801517133,0.2786688172547395
Abell2744,A8,CH3,12,12,0.04442630564875358,0.004398701901866859,0.0026185830447089642,0.17278850184468234,0.028479965060263606
Abell2744,A8,CH4,12,12,0.9320927822390556,0.004398701901866863,0.03170348442753015,0.49115298831274773,0.30038947926100673
Abell2744,A8,CH1,13,13,0.023708642166615227,0.002696136236929344,0.00484701184598686,0.10232311508751857,0.05565026088906005
Abell2744,A8,CH2,13,13,0.9755497400973295,0.002681709211921991,0.031954848985643214,0.4867673028086735,0.27937828244168095
Abell2744,A8,CH3,13,13,0.043644876075795244,0.0043135201161987255,0.0025527607677688874,0.17075680009973823,0.026669491971063965
Abell2744,A8,CH4,13,13,0.9330833256933064,0.004313520116198729,0.031355789620558606,0.49096184839641493,0.3011443561033431
Abell2744,A8,CH1,14,14,0.024307881037148826,0.0026985436468789283,0.004856565517366584,0.11021792608155791,0.06094921515056543
Abell2744,A8,CH2,14,14,0.9749394684500906,0.002684763837347052,0.031618527850248046,0.48652229989633194,0.28007381698240674
Abell2744,A8,CH3,14,14,0.04287951313242557,0.004230279197084474,0.002488547001089857,0.16873922771674668,0.02486107642663323
Abell2744,A8,CH4,14,14,0.9340527243526997,0.004230279197084478,0.031014333709169964,0.49078681239196154,0.3019318019306464
