cluster_id,model,stage,r_00,r_0p1,r_0m1,r_p10,r_m10,best_dx,best_dy,delta_r_0p1,best_lag_value,best_lag_correspondence
Abell2744,C10,native_response_rx,-0.013748150979949235,0.436880823667218,-0.4204849821228881,-0.030430743842341054,0.03745348240313798,0,1,0.4506289746471672,0.436880823667218,True
Abell2744,C10,longitudinal_amplitude,0.03295207301263757,-0.04821053650178955,0.06702809613096557,0.04476492346135501,0.01587812138141013,0,0,-0.08116260951442712,0.06702809613096557,False
Abell2744,C10,transverse_amplitude,0.20022289473863303,0.24157476028179148,0.219850636271609,0.21289965952240938,0.24843380803473086,0,0,0.04135186554315845,0.24843380803473086,False
Abell2744,C10,divergence_native,0.004199982226820566,-0.004204386193855768,-0.037342680760407664,0.008025799135276188,0.005414720779906673,0,0,-0.008404368420676335,0.008025799135276188,False
Abell2744,C10,curl_native,-0.043021342132981095,-0.020037783718657227,-0.048456987866321286,-0.03222204793762589,-0.029767528973001826,0,1,0.022983558414323868,-0.020037783718657227,True
Abell2744,C10,per_step_displacement_dx,nan,nan,nan,nan,nan,0,0,nan,nan,False
Abell2744,C10,accumulated_displacement_x,-0.1556639646816729,-0.2021343972372292,-0.019009554256013358,0.16282410998180377,0.09514554217377863,0,0,-0.0464704325555563,0.16282410998180377,False
Abell2744,C10,jacobian_trace,-0.14201737282603594,0.4948090520290302,-0.405400281057237,-0.18754157953586834,0.0234681768846101,0,1,0.6368264248550661,0.4948090520290302,True
Abell2744,C10,final_convergence,0.14201737282603594,-0.4948090520290302,0.405400281057237,0.18754157953586834,-0.023468176884610097,0,0,-0.6368264248550661,0.405400281057237,False
Abell2744,C10,final_shear,0.1348862991352647,0.28973572256561303,0.036107183329166515,-0.022228182591966007,0.25176200690801037,0,1,0.15484942343034833,0.28973572256561303,True
Abell2744,A8,native_response_rx,-0.008659839195716026,0.46151974362214826,-0.4668234584552971,-0.0246207338981693,0.019554476588474257,0,1,0.47017958281786426,0.46151974362214826,True
Abell2744,A8,longitudinal_amplitude,-0.0031712963383798824,0.0028385423521435165,-0.024732448036505955,0.028702863509290827,0.004675992488907324,0,0,0.006009838690523399,0.028702863509290827,False
Abell2744,A8,transverse_amplitude,0.2803669526826755,0.3146033149586065,0.30606506099188463,0.3084748110320266,0.3084928814558533,0,1,0.03423636227593102,0.3146033149586065,True
Abell2744,A8,divergence_native,-0.013657338764163222,0.043871804836440646,-0.026333984511247518,-0.03954663324456084,0.035357732987366816,0,1,0.05752914360060387,0.043871804836440646,True
Abell2744,A8,curl_native,-0.04951058220088539,-0.041008800691164055,-0.03435593738532101,-0.033591907854710785,-0.03936577751494586,0,0,0.008501781509721335,-0.033591907854710785,False
Abell2744,A8,per_step_displacement_dx,nan,nan,nan,nan,nan,0,0,nan,nan,False
Abell2744,A8,accumulated_displacement_x,0.0398859163048645,-0.025531186864554894,0.09478696943471615,0.1354779785138751,0.18955662023535136,0,0,-0.0654171031694194,0.18955662023535136,False
Abell2744,A8,jacobian_trace,-0.2519540490312848,0.5235232146366954,-0.4718723307019902,-0.26666946366292243,-0.11637175199207365,0,1,0.7754772636679802,0.5235232146366954,True
Abell2744,A8,final_convergence,0.2519540490312848,-0.5235232146366955,0.4718723307019901,0.26666946366292243,0.11637175199207365,0,0,-0.7754772636679803,0.4718723307019901,False
Abell2744,A8,final_shear,0.2665065202861032,0.40158393064421527,0.1477863926250753,0.16681080289033487,0.3758263796267452,0,1,0.13507741035811205,0.40158393064421527,True
MACS0416,C10,native_response_rx,-0.016679079577272857,0.395716326356374,-0.43618439025974104,0.05696141321941444,-0.07786984354654586,0,1,0.4123954059336469,0.395716326356374,True
MACS0416,C10,longitudinal_amplitude,0.020094278589322147,-0.020638131181060733,0.11434018458711906,0.026490327460216078,0.015358130029363218,0,0,-0.04073240977038288,0.11434018458711906,False
MACS0416,C10,transverse_amplitude,0.33549988538554104,0.32886889219999466,0.3813379486015658,0.32508149625559174,0.36254570450677387,0,0,-0.0066309931855463855,0.3813379486015658,False
MACS0416,C10,divergence_native,0.013559614588511288,0.010522354744323793,-0.013626895269384197,-0.0014441073004148768,0.00571854790814948,0,0,-0.0030372598441874947,0.013559614588511288,False
MACS0416,C10,curl_native,-0.04445276682722991,-0.06306809986055627,-0.019419515216268078,-0.049452498463712115,-0.04855532972499879,0,0,-0.01861533303332636,-0.019419515216268078,False
MACS0416,C10,per_step_displacement_dx,nan,nan,nan,nan,nan,0,0,nan,nan,False
MACS0416,C10,accumulated_displacement_x,-0.39644303978460366,-0.36340328395660715,-0.19491866040274664,-0.2369074368076903,-0.2794928147439595,0,0,0.03303975582799651,-0.19491866040274664,False
MACS0416,C10,jacobian_trace,-0.2528293435030616,0.43182728640269535,-0.4460936119815622,-0.30147132220367084,-0.05804582931347405,0,1,0.6846566299057569,0.43182728640269535,True
