cluster_id,channel_id,channel_name,C10_kappa_pearson_vs_gr,A8_kappa_pearson_vs_gr,C10_gamma_pearson_vs_gr,A8_gamma_pearson_vs_gr,delta_kappa_pearson,delta_gamma_pearson,A8_outperforms_C10_kappa,A8_outperforms_C10_gamma
Abell2744,CH0,Native full response,0.14201737282603594,0.2519540490312848,0.1348862991352647,0.2665065202861032,0.10993667620524888,0.13162022115083852,True,True
Abell2744,CH1,Longitudinal (local-gradient),-0.23108322432656753,-0.08254550080899337,0.1928997412395945,-0.010883526024992228,0.14853772351757416,-0.20378326726458673,True,False
Abell2744,CH2,Transverse (local-gradient),0.25063672144947735,0.2628651793921802,0.20403441970345346,0.3260855129137137,0.01222845794270283,0.12205109321026023,True,True
Abell2744,CH3,Irrotational (Helmholtz),0.04449618793347618,0.24560856478519813,-0.004738213255003329,0.09846270127142477,0.20111237685172195,0.1032009145264281,True,True
Abell2744,CH4,Solenoidal (Helmholtz),0.17760640835670444,0.20700153317102057,0.23917831835212472,0.25637188729024446,0.029395124814316137,0.01719356893811974,True,True
MACS0416,CH0,Native full response,0.2528293435030616,0.3644889864202237,0.1170678102526186,0.12184251279945961,0.11165964291716213,0.004774702546841009,True,True
MACS0416,CH1,Longitudinal (local-gradient),-0.1143522771108951,-0.02387140770438947,0.037709200754464337,0.06586782354952796,0.09048086940650563,0.02815862279506362,True,True
MACS0416,CH2,Transverse (local-gradient),0.31937524452996374,0.36795085650515386,0.05775956814702056,0.08628205032135636,0.048575611975190114,0.028522482174335798,True,True
MACS0416,CH3,Irrotational (Helmholtz),0.08818460499036973,0.2902092096251786,0.007530029399129164,0.054095486910599115,0.20202460463480887,0.046565457511469954,True,True
MACS0416,CH4,Solenoidal (Helmholtz),0.2865199373154176,0.33642784289793815,0.1833113693279294,0.12599456966241815,0.04990790558252056,-0.05731679966551126,True,False
MACS1149,CH0,Native full response,0.21088311696503098,0.23662895121166677,0.22042227089541075,0.15293366355291071,0.02574583424663579,-0.06748860734250003,True,False
MACS1149,CH1,Longitudinal (local-gradient),-0.05125011548619496,0.04113158459643047,0.27848129011272993,-0.03447696690025892,0.09238170008262543,-0.31295825701298885,True,False
MACS1149,CH2,Transverse (local-gradient),0.236668530438171,0.16846387124671505,0.16212312263529174,0.12980918799869776,-0.06820465919145594,-0.03231393463659399,False,False
MACS1149,CH3,Irrotational (Helmholtz),0.07930815212741445,0.11415353261239507,0.17391072836505495,-0.14567688131910153,0.03484538048498062,-0.31958760968415645,True,False
MACS1149,CH4,Solenoidal (Helmholtz),0.21768546345646342,0.25579513758464506,0.3064116257114412,0.240891666173119,0.03810967412818164,-0.06551995953832221,True,False
AbellS1063,CH0,Native full response,0.3273476950827446,0.3228455360618753,0.2310519478148231,0.08609196163638712,-0.004502159020869256,-0.14495998617843597,False,False
AbellS1063,CH1,Longitudinal (local-gradient),0.001354950517231865,-0.04753914159486743,0.24754429132975597,0.0907533146334587,-0.048894092112099295,-0.15679097669629727,False,False
AbellS1063,CH2,Transverse (local-gradient),0.30631365205682987,0.32943168846244236,0.18038962075673715,0.16539248897477152,0.023118036405612497,-0.014997131781965628,True,False
AbellS1063,CH3,Irrotational (Helmholtz),0.1776783395449837,0.1801115124408111,0.24762203813871836,-0.0049182507661850285,0.0024331728958274235,-0.2525402889049034,True,False
AbellS1063,CH4,Solenoidal (Helmholtz),0.27809711289867073,0.30725686252899254,0.24500158574031894,0.14569974957475892,0.029159749630321807,-0.09930183616556001,True,False
Abell370,CH0,Native full response,0.367739686259683,0.4268277781281266,0.38979366663119597,0.38306940957957425,0.059088091868443604,-0.006724257051621718,True,False
Abell370,CH1,Longitudinal (local-gradient),-0.07760101357173779,-0.06422936823766506,0.07161671798730232,-0.10896492379616449,0.01337164533407273,-0.1805816417834668,True,False
Abell370,CH2,Transverse (local-gradient),0.3867357351806752,0.44083906004492485,0.4250876171864183,0.3882827285239695,0.054103324864249625,-0.0368048886624488,True,False
Abell370,CH3,Irrotational (Helmholtz),0.22656148261190867,0.3201662116357272,0.423812895665395,0.38017433985515126,0.09360472902381856,-0.04363855581024373,True,False
Abell370,CH4,Solenoidal (Helmholtz),0.3604050202713066,0.40763250154691544,0.32056332415303174,0.31556641377454275,0.04722748127560883,-0.0049969103784889835,True,False
