cluster_id,model,channel_id,quantity,value,sign,reciprocal,nearest_target,log_distance,relative_distance_to_alpha,relative_distance_to_3alpha,relative_distance_to_6alpha,alpha_input_dependency
Abell2744,C10,CH2,channel_fraction_CH1_longitudinal,0.08763642660618919,+,11.410780182693763,6alpha,0.30136808085653793,1.0795193312401816,0.6023980765205191,0.30136808085653793,indirect
Abell2744,C10,CH2,channel_fraction_CH2_transverse,0.9119358314670292,+,1.096568382877666,6alpha,1.3186477002483066,2.09679895063195,1.6196776959122876,1.3186477002483066,indirect
Abell2744,C10,CH2,channel_fraction_CH3_irrotational,0.05310620912730136,+,18.830189848476873,6alpha,0.0838287214026763,0.8619799717863199,0.38485871706665753,0.0838287214026763,indirect
Abell2744,C10,CH2,channel_fraction_CH4_solenoidal,0.9160146183975998,+,1.0916856346128159,6alpha,1.3205858245522888,2.0987370749359324,1.62161582021627,1.3205858245522888,indirect
Abell2744,C10,CH2,longitudinal_to_transverse,0.09609933460472614,+,10.405899313592336,6alpha,0.3414038006643366,1.1195550510479804,0.6424337963283178,0.3414038006643366,indirect
Abell2744,C10,CH2,irrotational_to_solenoidal,0.057975285613018894,+,17.2487291684069,6alpha,0.12192631690649279,0.9000775672901364,0.422956312570474,0.12192631690649279,indirect
Abell2744,C10,CH3,channel_fraction_CH3,0.05310620912730136,+,18.830189848476873,6alpha,0.0838287214026763,0.8619799717863199,0.38485871706665753,0.0838287214026763,indirect
Abell2744,C10,CH3,channel_fraction_CH1_longitudinal,0.08763642660618919,+,11.410780182693763,6alpha,0.30136808085653793,1.0795193312401816,0.6023980765205191,0.30136808085653793,indirect
Abell2744,C10,CH3,channel_fraction_CH2_transverse,0.9119358314670292,+,1.096568382877666,6alpha,1.3186477002483066,2.09679895063195,1.6196776959122876,1.3186477002483066,indirect
Abell2744,C10,CH3,channel_fraction_CH3_irrotational,0.05310620912730136,+,18.830189848476873,6alpha,0.0838287214026763,0.8619799717863199,0.38485871706665753,0.0838287214026763,indirect
Abell2744,C10,CH3,channel_fraction_CH4_solenoidal,0.9160146183975998,+,1.0916856346128159,6alpha,1.3205858245522888,2.0987370749359324,1.62161582021627,1.3205858245522888,indirect
Abell2744,C10,CH3,longitudinal_to_transverse,0.09609933460472614,+,10.405899313592336,6alpha,0.3414038006643366,1.1195550510479804,0.6424337963283178,0.3414038006643366,indirect
Abell2744,C10,CH3,irrotational_to_solenoidal,0.057975285613018894,+,17.2487291684069,6alpha,0.12192631690649279,0.9000775672901364,0.422956312570474,0.12192631690649279,indirect
Abell2744,C10,CH4,channel_fraction_CH4,0.9160146183975998,+,1.0916856346128159,6alpha,1.3205858245522888,2.0987370749359324,1.62161582021627,1.3205858245522888,indirect
Abell2744,C10,CH4,channel_fraction_CH1_longitudinal,0.08763642660618919,+,11.410780182693763,6alpha,0.30136808085653793,1.0795193312401816,0.6023980765205191,0.30136808085653793,indirect
Abell2744,C10,CH4,channel_fraction_CH2_transverse,0.9119358314670292,+,1.096568382877666,6alpha,1.3186477002483066,2.09679895063195,1.6196776959122876,1.3186477002483066,indirect
Abell2744,C10,CH4,channel_fraction_CH3_irrotational,0.05310620912730136,+,18.830189848476873,6alpha,0.0838287214026763,0.8619799717863199,0.38485871706665753,0.0838287214026763,indirect
Abell2744,C10,CH4,channel_fraction_CH4_solenoidal,0.9160146183975998,+,1.0916856346128159,6alpha,1.3205858245522888,2.0987370749359324,1.62161582021627,1.3205858245522888,indirect
Abell2744,C10,CH4,longitudinal_to_transverse,0.09609933460472614,+,10.405899313592336,6alpha,0.3414038006643366,1.1195550510479804,0.6424337963283178,0.3414038006643366,indirect
Abell2744,C10,CH4,irrotational_to_solenoidal,0.057975285613018894,+,17.2487291684069,6alpha,0.12192631690649279,0.9000775672901364,0.422956312570474,0.12192631690649279,indirect
Abell2744,A8,CH0,channel_fraction_CH0,1.0,+,1.0,6alpha,1.358683420056105,2.136834670439749,1.6597134157200863,1.358683420056105,indirect
Abell2744,A8,CH0,channel_fraction_CH1_longitudinal,0.027569392575417836,+,36.27210854444602,3alpha,0.10014061330753243,0.5772618680271948,0.10014061330753243,0.20088938235644876,indirect
Abell2744,A8,CH0,channel_fraction_CH2_transverse,0.9716243832308955,+,1.029204306992326,6alpha,1.346181825087669,2.124333075471313,1.6472118207516502,1.346181825087669,indirect
Abell2744,A8,CH0,channel_fraction_CH3_irrotational,0.03928774890056228,+,25.45322722691521,6alpha,0.047059434513910266,0.7310918158697334,0.2539705611500709,0.047059434513910266,indirect
Abell2744,A8,CH0,channel_fraction_CH4_solenoidal,0.9385929325675034,+,1.0654246002732182,6alpha,1.3311606997871621,2.109311950170806,1.6321906954511431,1.3311606997871621,indirect
Abell2744,A8,CH0,longitudinal_to_transverse,0.028374537579782293,+,35.24286509298146,3alpha,0.1126422082759686,0.5897634629956311,0.1126422082759686,0.18838778738801257,indirect
Abell2744,A8,CH0,irrotational_to_solenoidal,0.04185813416801614,+,23.89021918621737,6alpha,0.01953671424496711,0.7586145361386765,0.2814932814190141,0.01953671424496711,indirect
Abell2744,A8,CH1,channel_fraction_CH1,0.027569392575417836,+,36.27210854444602,3alpha,0.10014061330753243,0.5772618680271948,0.10014061330753243,0.20088938235644876,indirect
Abell2744,A8,CH1,channel_fraction_CH1_longitudinal,0.027569392575417836,+,36.27210854444602,3alpha,0.10014061330753243,0.5772618680271948,0.10014061330753243,0.20088938235644876,indirect
Abell2744,A8,CH1,channel_fraction_CH2_transverse,0.9716243832308955,+,1.029204306992326,6alpha,1.346181825087669,2.124333075471313,1.6472118207516502,1.346181825087669,indirect
Abell2744,A8,CH1,channel_fraction_CH3_irrotational,0.03928774890056228,+,25.45322722691521,6alpha,0.047059434513910266,0.7310918158697334,0.2539705611500709,0.047059434513910266,indirect
Abell2744,A8,CH1,channel_fraction_CH4_solenoidal,0.9385929325675034,+,1.0654246002732182,6alpha,1.3311606997871621,2.109311950170806,1.6321906954511431,1.3311606997871621,indirect
Abell2744,A8,CH1,longitudinal_to_transverse,0.028374537579782293,+,35.24286509298146,3alpha,0.1126422082759686,0.5897634629956311,0.1126422082759686,0.18838778738801257,indirect
Abell2744,A8,CH1,irrotational_to_solenoidal,0.04185813416801614,+,23.89021918621737,6alpha,0.01953671424496711,0.7586145361386765,0.2814932814190141,0.01953671424496711,indirect
Abell2744,A8,CH2,channel_fraction_CH2,0.9716243832308955,+,1.029204306992326,6alpha,1.346181825087669,2.124333075471313,1.6472118207516502,1.346181825087669,indirect
Abell2744,A8,CH2,channel_fraction_CH1_longitudinal,0.027569392575417836,+,36.27210854444602,3alpha,0.10014061330753243,0.5772618680271948,0.10014061330753243,0.20088938235644876,indirect
Abell2744,A8,CH2,channel_fraction_CH2_transverse,0.9716243832308955,+,1.029204306992326,6alpha,1.346181825087669,2.124333075471313,1.6472118207516502,1.346181825087669,indirect
Abell2744,A8,CH2,channel_fraction_CH3_irrotational,0.03928774890056228,+,25.45322722691521,6alpha,0.047059434513910266,0.7310918158697334,0.2539705611500709,0.047059434513910266,indirect
Abell2744,A8,CH2,channel_fraction_CH4_solenoidal,0.9385929325675034,+,1.0654246002732182,6alpha,1.3311606997871621,2.109311950170806,1.6321906954511431,1.3311606997871621,indirect
Abell2744,A8,CH2,longitudinal_to_transverse,0.028374537579782293,+,35.24286509298146,3alpha,0.1126422082759686,0.5897634629956311,0.1126422082759686,0.18838778738801257,indirect
Abell2744,A8,CH2,irrotational_to_solenoidal,0.04185813416801614,+,23.89021918621737,6alpha,0.01953671424496711,0.7586145361386765,0.2814932814190141,0.01953671424496711,indirect
Abell2744,A8,CH3,channel_fraction_CH3,0.03928774890056228,+,25.45322722691521,6alpha,0.047059434513910266,0.7310918158697334,0.2539705611500709,0.047059434513910266,indirect
Abell2744,A8,CH3,channel_fraction_CH1_longitudinal,0.027569392575417836,+,36.27210854444602,3alpha,0.10014061330753243,0.5772618680271948,0.10014061330753243,0.20088938235644876,indirect
Abell2744,A8,CH3,channel_fraction_CH2_transverse,0.9716243832308955,+,1.029204306992326,6alpha,1.346181825087669,2.124333075471313,1.6472118207516502,1.346181825087669,indirect
Abell2744,A8,CH3,channel_fraction_CH3_irrotational,0.03928774890056228,+,25.45322722691521,6alpha,0.047059434513910266,0.7310918158697334,0.2539705611500709,0.047059434513910266,indirect
Abell2744,A8,CH3,channel_fraction_CH4_solenoidal,0.9385929325675034,+,1.0654246002732182,6alpha,1.3311606997871621,2.109311950170806,1.6321906954511431,1.3311606997871621,indirect
Abell2744,A8,CH3,longitudinal_to_transverse,0.028374537579782293,+,35.24286509298146,3alpha,0.1126422082759686,0.5897634629956311,0.1126422082759686,0.18838778738801257,indirect
