cluster_id,model,channel_id,channel_name,observable,pearson_vs_gr,spearman_vs_gr,ssim_vs_gr,normalized_rms_difference,amplitude_ratio,sign_agreement
Abell2744,C10,CH4,Solenoidal (Helmholtz),gamma2_gr,-0.04204121628238997,-0.00795023891909705,-0.0001852211748053265,0.1553572587678994,67.2211495799611,0.4930555555555556
Abell2744,C10,CH4,Solenoidal (Helmholtz),gamma_mag_gr,0.23917831835212472,0.26410707755125007,0.0025267127103865286,0.43922030759954195,43.97396132521141,1.0
Abell2744,C10,CH4,Solenoidal (Helmholtz),displacement_divergence,1.0,1.0,1.0000000000000002,0.0,1.0,1.0
Abell2744,C10,CH4,Solenoidal (Helmholtz),displacement_curl,1.0,1.0,1.0,0.0,1.0,1.0
Abell2744,C10,CH4,Solenoidal (Helmholtz),jacobian_trace,1.0,1.0,0.9999999999999999,0.0,1.0,1.0
Abell2744,C10,CH4,Solenoidal (Helmholtz),jacobian_shear,1.0,1.0,1.0,0.0,1.0,1.0
Abell2744,C10,CH4,Solenoidal (Helmholtz),image_rotation,nan,1.0,1.0,nan,nan,1.0
Abell2744,A8,CH0,Native full response,kappa_gr,0.2519540490312848,0.20565930819960695,0.000696265472963193,0.6454238639835391,0.6830603904883287,0.4340277777777778
Abell2744,A8,CH0,Native full response,gamma1_gr,-0.045787548455339555,-0.044861129530721904,1.2233508042167952e-06,0.22992268896243337,21.910859162918754,0.4479166666666667
Abell2744,A8,CH0,Native full response,gamma2_gr,-0.18937517447976265,-0.16722126440246113,0.00030036952190062757,0.15670963812829067,47.64909944788764,0.46875
Abell2744,A8,CH0,Native full response,gamma_mag_gr,0.2665065202861032,0.32394837418468103,0.005459361265604521,0.4319045958412894,28.282309217056763,1.0
Abell2744,A8,CH0,Native full response,displacement_divergence,1.0,1.0,0.9999999999999998,0.0,1.0,1.0
Abell2744,A8,CH0,Native full response,displacement_curl,1.0,1.0,1.0,0.0,1.0,1.0
Abell2744,A8,CH0,Native full response,jacobian_trace,1.0,1.0,1.0,0.0,1.0,1.0
Abell2744,A8,CH0,Native full response,jacobian_shear,1.0,1.0,1.0,0.0,1.0,1.0
Abell2744,A8,CH0,Native full response,image_rotation,nan,1.0,1.0,nan,nan,1.0
Abell2744,A8,CH1,Longitudinal (local-gradient),kappa_gr,-0.08254550080899337,-0.03534354918437963,-0.007944024873506877,0.4367254768452701,1.3314822797564723,0.4513888888888889
Abell2744,A8,CH1,Longitudinal (local-gradient),gamma1_gr,0.020580198224957737,-0.01387649751435725,-2.3090647399932766e-05,0.22911515863969512,42.698347145952305,0.4826388888888889
Abell2744,A8,CH1,Longitudinal (local-gradient),gamma2_gr,-0.006974236732497809,0.032670026403674814,0.0004817016454668948,0.1549118297980138,265.6632734789215,0.5243055555555556
Abell2744,A8,CH1,Longitudinal (local-gradient),gamma_mag_gr,-0.010883526024992228,0.046417921544514504,0.0007554459587485324,0.44396879996853617,60.02086660746299,1.0
Abell2744,A8,CH1,Longitudinal (local-gradient),displacement_divergence,1.0,1.0,1.0000000000000002,0.0,1.0,1.0
Abell2744,A8,CH1,Longitudinal (local-gradient),displacement_curl,1.0,1.0,1.0000000000000002,0.0,1.0,1.0
Abell2744,A8,CH1,Longitudinal (local-gradient),jacobian_trace,1.0,1.0,1.0000000000000002,0.0,1.0,1.0
Abell2744,A8,CH1,Longitudinal (local-gradient),jacobian_shear,1.0,1.0,0.9999999999999999,0.0,1.0,1.0
Abell2744,A8,CH1,Longitudinal (local-gradient),image_rotation,nan,1.0,1.0,nan,nan,1.0
Abell2744,A8,CH2,Transverse (local-gradient),kappa_gr,0.2628651793921802,0.1774702707481845,-0.01255778546518402,0.7066545633504254,0.6179639471221239,0.4166666666666667
Abell2744,A8,CH2,Transverse (local-gradient),gamma1_gr,-0.04614778754595982,0.0032668016991588603,-9.132829693268974e-07,0.22994938493479608,19.823274475983098,0.5069444444444444
