candidate,reference_label,bend_max,bend_mean,conservation,speed_drift_pre_max,speed_drift_pre_mean,direction_drift_mean,position_error,reference_magnitude_mean,reference_magnitude_max,stable,runtime
Candidate 1,Constitutive gradient  ∇C,6.61807310983852e-05,1.835288318744329e-05,1.399395725876218e-05,1.399395725876218e-05,1.966209305654449e-07,1.0876030232817946e-06,0.0005935771863628402,0.004094980720084426,0.14480796520430567,True,0.014749526977539062
Candidate 2,Stress gradient  ∇|∇C| / (C + ε),0.26006297639929965,0.08285133196234644,0.1607435249253133,0.1607435249253133,0.002068601088473537,0.003912413843354521,3.16301158986537,0.6293900073607016,9.896233715161975,True,0.014654874801635742
Candidate 3,Energy gradient  ∇(½C²) = C·∇C,5.841369628407233e-09,1.1496080650844534e-09,2.6773154804260457e-09,2.6773154804260457e-09,1.4997697528329468e-11,4.6541763055552485e-08,2.1670912409382797e-08,0.00026058437192727783,0.01848268140282777,True,0.014603853225708008
Candidate 4,Traction  (∇C·N̂)N̂,6.617864138632726e-05,1.8294531028549687e-05,1.473845854194078e-05,1.473845854194078e-05,2.0715816728010692e-07,1.0843916858712564e-06,0.0005916466473682581,0.004094959818863266,0.14480789622757967,True,0.014630794525146484
Candidate 5,Force density  ∇(∇²C),0.0014782754548782057,0.00044213291994865526,0.00025813627413584506,0.00025813627413584506,4.58897678888416e-06,2.1940614079288657e-05,0.016114162106061206,0.01585940479335568,0.8167282317259782,True,0.014616250991821289
Candidate 6,Principal strain direction,4.080047464692465,4.028601752616854,0.05999999999056471,0.05999999999056471,0.05040258039877743,0.01965344592528153,1536.8936386090322,1.0,1.0000000000000002,True,0.014640331268310547
Candidate 7,Principal stress direction,4.067644532048924,4.067644532048923,0.059987737570437405,0.059987737570437405,0.05047614424964197,0.01938948722086619,1552.377815471059,1.0,1.0000000000000002,True,0.014576196670532227
