rank,transport_code,transport_name,invariant_kind,rank_sum,median_pearson_kappa,median_pearson_gamma,median_coherence_gain,median_emergent_memory_index,median_wave_mode_count,median_n_families,median_wave_mode_stability,median_fast_slow_exchange,median_multiplicative_coupling_score,median_relaxation_time
1,T3,Conserved Orientation,orientation,94.0,0.09821484303210562,0.1049235780347865,0.0013515850909780428,0.9845859205466352,2.0,20.0,0.7806832150801628,0.9845859205466352,0.0,5.0
2,T1,Scalar Density,scalar,97.0,0.12115382904918567,0.08441324820137557,-1.3424455500239685e-05,0.9992950630164824,2.0,20.0,0.9951585495508779,0.9992950630164824,0.0,11.0
3,T2,Conserved Phase,phase,118.0,0.11674875405953393,0.07703847556351402,0.0005296564871710386,0.9998679610743323,2.0,20.0,0.9645997497900244,0.9998679610743323,1.0,9.0
4,T8,Conserved Flux,flux,119.0,0.12204598370638789,0.08127930761667973,1.337531606011909e-05,0.9999223119826045,1.0,20.0,0.99615552534953,0.9999223119826045,0.0,11.0
5,T7,Conserved Circulation,circulation,124.0,-0.028106001787097448,0.15836196171812444,-1.0085757369522087e-05,0.9969716175678675,2.0,20.0,0.9880310247103561,0.9969716175678675,0.0,12.0
6,T4,Conserved Action,action,126.0,0.12115382904918537,0.08441324820137557,-1.342445550024619e-05,0.9987564631731513,2.0,20.0,0.9827897689584507,0.9987564631731513,0.0,10.0
7,T10,Unified State Transport,unified,128.0,0.11964753327699393,0.07917594166114929,0.00014177226226723747,0.9990327252780425,2.0,20.0,0.9789604818468224,0.9990327252780425,1.0,10.0
8,T9,Coupled Energy + Phase,energy_phase,131.0,0.12082072333344537,0.08499017571589775,-0.00012793874560806332,0.9989153105896176,2.0,20.0,0.9941383952028852,0.9989153105896176,1.0,11.0
9,T5,Conserved Internal Energy,energy,140.0,0.1189587670019289,0.08020219631145516,-0.00012333213068355456,0.9999179579325131,2.0,20.0,0.9757880839417741,0.9999179579325131,0.0,9.0
10,WR2,Wrong: Non-conserved Transport,wrong,141.0,0.12120558648533997,0.0844359661270621,-1.7915063980704273e-05,0.9999106063408506,1.0,20.0,0.9940237448100965,0.9999106063408506,0.0,10.0
11,T6,Conserved Information,information,146.0,0.12005125950865692,0.07896087951134953,-0.0001760345856120346,0.9998441174420291,2.0,20.0,0.9682700853319531,0.9998441174420291,0.0,9.0
12,WR3,Wrong: Pure Diffusion,wrong,160.0,0.11813780364041697,0.07459469692595269,-0.0003791278182459939,0.9999311925862034,2.0,20.0,0.9983409105966293,0.9999311925862034,0.0,11.0
13,WR1,Wrong: Random Transport,wrong,181.0,0.03525230722780493,0.08423922230572885,-0.0004819768622077524,-0.5105729415000798,1.0,10.0,0.987156826679324,-0.5105729415000798,0.0,20.0
14,WR4,Wrong: Frozen Transport,wrong,185.0,0.12083605390356067,0.08746276800959749,0.0004081650746844907,0.0,1.0,20.0,0.0,0.0,0.0,20.0
