transport_number,transport_code,transport_name,invariant_name,invariant_kind,principle,is_wrong,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_ssim_gamma,median_rms_kappa,median_rms_gamma,mean_kappa_bias,mean_gamma_bias,median_runtime_seconds,max_conservation_error,median_coherence_gain,median_emergent_memory_index,median_evolution_activity,median_phase_emergence_score,median_orientation_emergence_score,median_multiplicative_coupling_score,median_invariant_drift_relative,median_fast_slow_exchange,median_spatial_correlation_length,median_temporal_persistence_length,median_relaxation_time,median_n_families,median_wave_propagating,median_wave_standing,median_wave_transverse,median_wave_longitudinal,median_wave_mixed,median_wave_polarization,median_wave_attenuation,median_wave_dispersion,median_wave_coherence_length,median_wave_mode_stability,median_wave_mode_count,median_fast_to_slow_total,median_returned_total,median_stored_total,median_lost_total,clusters_with_wave_emergence,clusters_with_emergent_coherence,clusters_with_emergent_memory,clusters_with_phase_emergence
1,T1,Scalar Density,density (no strict conservation),scalar,transport constitutive density; standard A8 relaxation; density NOT conserved,False,0.12115382904918567,0.08441324820137557,-0.009893751564078315,0.09290574023055327,0.15843655236978882,0.06745111042144267,-0.06298279942027929,-0.02613016897470189,0.23484483698848635,2.220446049250313e-16,-1.3424455500239685e-05,0.9992950630164824,0.0030138398149757058,0.0,-0.00025032199405782294,0.0,12.501262477843675,0.9992950630164824,3.0,4.0,11.0,20.0,0.0,0.0,0.6924864560809377,0.49709227440621784,0.3437943371619189,0.014816175347728278,0.0,0.0,3.0,0.9951585495508779,2.0,0.3202331880064815,0.0,-0.3641345221837575,0.04390133417727604,5,2,5,0
2,T2,Conserved Phase,|z|² (rotation-invariant),phase,transport phase of (u_fast + i·u_slow); density emerges from neighbour magnitude,False,0.11674875405953393,0.07703847556351402,-0.00992760843143537,0.08599228978631143,0.15841299605282286,0.06844136694085125,-0.06265731621659225,-0.026526473335093836,0.23683636798523366,2.220446049250313e-16,0.0005296564871710386,0.9998679610743323,0.0047806699999311435,0.0,4.967574583100291e-05,1.0,25.00836601973064,0.9998679610743323,3.0,5.0,9.0,20.0,0.0,0.0,0.6334286326592775,0.49463658219475737,0.3125089377911404,0.02745543658166394,0.0,0.0,3.0,0.9645997497900244,2.0,0.3599215527596389,0.0,-0.3951903866213371,0.03526883386169821,5,2,5,0
3,T3,Conserved Orientation,|v̂|² = 1 (orientation unit),orientation,"transport unit-vector (u_fast, u_slow); magnitude responds",False,0.09821484303210562,0.1049235780347865,-0.002787622834571257,0.1130762950305341,0.13372110318984523,0.06118985238717254,-0.05987963407537482,-0.03398250732234651,0.23472500301431865,2.220446049250313e-16,0.0013515850909780428,0.9845859205466352,0.016170541292136693,0.0,0.0008401273391665903,0.0,4.959605605081981,0.9845859205466352,3.0,2.0,5.0,20.0,0.0,0.0,0.6283500784259268,0.49482074695937733,0.3099272053150657,0.026959098400723636,0.0,0.0,3.0,0.7806832150801628,2.0,1.0616839540709702,0.0,-1.3151456938967332,0.25346173982576303,5,3,5,0
4,T4,Conserved Action,A = ∑K/2·u² + V,action,"neighbour exchange preserves ∑K/2·u² + V(u_slow, u_fast)",False,0.12115382904918537,0.08441324820137557,-0.009893751564078433,0.09290574023055333,0.15843655236978882,0.06745111042144267,-0.06298279942027929,-0.026130168974701884,0.23493233195040375,2.220446049250313e-16,-1.342445550024619e-05,0.9987564631731513,0.0032570585236893473,0.0,-0.0002503219940578229,0.0,6.082060539222691e-16,0.9987564631731513,3.0,4.0,10.0,20.0,0.0,0.0,0.5974907131735138,0.4971136620331168,0.2954510576950939,0.014706936079008748,0.0,0.0,3.0,0.9827897689584507,2.0,0.02998909841603492,0.005035393880513883,0.21816344105334906,-0.2425346850521044,5,2,5,0
5,T5,Conserved Internal Energy,E_fast + E_slow,energy,energy freely exchanges between fast and slow layers; total E conserved,False,0.1189587670019289,0.08020219631145516,-0.010229952933577756,0.08875653801764496,0.15749052325594662,0.06812980155980632,-0.06291645391856267,-0.027009547858012545,0.23568281799089164,2.220446049250313e-16,-0.00012333213068355456,0.9999179579325131,0.00393169104530354,0.0,-0.000634789882495007,0.0,5.840292636804753e-16,0.9999179579325131,3.0,5.0,9.0,20.0,0.0,0.0,0.35100765053158794,0.49623917915553944,0.17389720467656197,0.019103386002464418,0.0,0.0,3.0,0.9757880839417741,2.0,0.12466104003014156,0.0,-8.881784197001252e-16,-0.12466104003014156,5,2,5,0
6,T6,Conserved Information,H = -∑p·log(p),information,local Shannon-like information redistributes among neighbours; H constant,False,0.12005125950865692,0.07896087951134953,-0.009269473217437216,0.08756782111403157,0.15748329823681276,0.06790534392228838,-0.0627138520547865,-0.02667938001057657,0.23572737793438137,2.220446049250313e-16,-0.0001760345856120346,0.9998441174420291,0.004614846067352694,0.0,-0.0006874923374234871,0.0,245.1342859703658,0.9998441174420291,3.0,5.0,9.0,20.0,0.0,0.0,0.31100722295471317,0.4963948579457461,0.15413311121173723,0.018282043518134672,0.0,0.0,3.0,0.9682700853319531,2.0,0.21772616145787005,0.004239499120074264,-0.27854000430331993,0.06527111011000208,5,2,5,0
7,T7,Conserved Circulation,circulation Γ,circulation,rotational transport with ∮u·dr constant on each closed loop,False,-0.028106001787097448,0.15836196171812444,0.010797059653279803,0.1683106827879714,0.15992570513056273,0.06311427121599154,-0.0629415243514598,-0.02444179882904026,0.23501410300377756,2.220446049250313e-16,-1.0085757369522087e-05,0.9969716175678675,0.01608682916792878,0.0,-0.00045193640862438466,0.0,0.9573747032096038,0.9969716175678675,3.0,5.0,12.0,20.0,0.0,0.0,0.3776807866743211,0.4940201550706161,0.1861149773981471,0.029960278955312503,0.0,0.0,3.0,0.9880310247103561,2.0,0.0,0.051771592301905756,0.00568499833755709,0.046086593964348666,5,2,5,0
8,T8,Conserved Flux,div j = 0,flux,neighbour-to-neighbour flux with ∇·j = 0,False,0.12204598370638789,0.08127930761667973,-0.008381701484373007,0.08973397529497361,0.15755924223689405,0.06745206708927007,-0.06270350866231351,-0.02632358130273868,0.23448066192213446,2.220446049250313e-16,1.337531606011909e-05,0.9999223119826045,0.008913905717760543,0.0,-0.0004980824357513334,0.0,1254.7862141532605,0.9999223119826045,3.0,5.0,11.0,20.0,0.0,0.0,0.2647688542205824,0.4973353199358809,0.13167890282284997,0.013543310478786208,0.0,0.0,3.0,0.99615552534953,1.0,0.0,1.0172309534046455,2.587521862744687,-1.5702909093400415,5,2,5,0
9,T9,Coupled Energy + Phase,E and arg(z) jointly preserved,energy_phase,joint energy and phase conservation: A8 phase evolves while E preserved,False,0.12082072333344537,0.08499017571589775,-0.010078509027201596,0.09347119276863879,0.15874205279285028,0.06732971245013494,-0.0629773799971891,-0.025946905279289723,0.2338215010240674,2.220446049250313e-16,-0.00012793874560806332,0.9989153105896176,0.002966184356468212,0.0,-0.00020779656040803,1.0,6.300273873119838e-16,0.9989153105896176,3.0,3.0,11.0,20.0,0.0,0.0,0.6535524276274298,0.4970276514133691,0.32441659925741523,0.015154403068923017,0.0,0.0,3.0,0.9941383952028852,2.0,0.13036251395242715,0.0,3.552713678800501e-15,-0.1303625139524307,5,2,5,0
10,T10,Unified State Transport,|z|² and arg(z),unified,single complex state z = u_fast + i·u_slow evolves under Ginzburg-Landau,False,0.11964753327699393,0.07917594166114929,-0.007327651369369547,0.08792024301786742,0.15749930516487362,0.06730564436726866,-0.062445229598101795,-0.02605492621716775,0.23461913992650807,2.220446049250313e-16,0.00014177226226723747,0.9990327252780425,0.005517361505735864,0.0,-0.00036968548954421503,1.0,5.840292636804753e-16,0.9990327252780425,3.0,5.0,10.0,20.0,0.0,0.0,0.5635111292296551,0.4981431203776457,0.2804782667146009,0.009398692692369703,0.0,0.0,3.0,0.9789604818468224,2.0,0.18702716049889556,0.0,0.0,-0.187027160498892,5,2,5,0
