cluster,fast_to_slow_net,fast_to_slow_total,invariant_drift_relative,is_wrong,lost_total,returned_total,stored_total,transport_code,transport_name
Abell2744,0.35111857209657593,0.35111857209657593,18.21614661232758,False,0.07976461787521494,0.0,-0.43088318997179087,T1,Scalar Density
MACS0416,0.3202331880064815,0.3202331880064815,11.397457917374776,False,0.04390133417727604,0.0,-0.3641345221837575,T1,Scalar Density
MACS1149,0.2883725852772403,0.2883725852772403,6.616759028190056,False,0.008185309394219242,0.0,-0.29655789467145954,T1,Scalar Density
AbellS1063,0.30460047293388826,0.30460047293388826,12.501262477843675,False,0.0223904407496871,0.0,-0.32699091368357536,T1,Scalar Density
Abell370,0.3664267396014278,0.3664267396014278,22.520457364094316,False,0.0978868673110167,0.0,-0.4643136069124445,T1,Scalar Density
Abell2744,0.41179428920584726,0.41179428920584726,36.434757875325914,False,0.07101601084274023,0.0,-0.4828103000485875,T2,Conserved Phase
MACS0416,0.3599215527596389,0.3599215527596389,22.79997600743779,False,0.03526883386169821,0.0,-0.3951903866213371,T2,Conserved Phase
MACS1149,0.3078739015841241,0.3078739015841241,13.241274931954976,False,-0.001023720276453144,0.0,-0.30685018130767094,T2,Conserved Phase
AbellS1063,0.33412365072628525,0.33412365072628525,25.00836601973064,False,0.018694670985283324,0.0,-0.35281832171156857,T2,Conserved Phase
Abell370,0.4304498134438024,0.4304498134438024,45.04219584221079,False,0.0927542764519469,0.0,-0.5232040898957493,T2,Conserved Phase
Abell2744,1.4176401211185663,1.4176401211185663,5.983346607337842,False,0.5331602524182166,0.0,-1.950800373536783,T3,Conserved Orientation
MACS0416,1.0616839540709702,1.0616839540709702,4.724330507357305,False,0.25346173982576303,0.0,-1.3151456938967332,T3,Conserved Orientation
MACS1149,0.7225119925909711,0.7225119925909711,3.5923438650227326,False,-0.0010223599020733332,0.0,-0.7214896326888978,T3,Conserved Orientation
AbellS1063,0.9726919000544818,0.9726919000544818,4.959605605081981,False,0.21565435407309508,0.0,-1.1883462541275769,T3,Conserved Orientation
Abell370,1.469928101870801,1.469928101870801,6.65887590949015,False,0.5844275988255614,0.0,-2.0543557006963624,T3,Conserved Orientation
Abell2744,0.03376031650413225,0.028668650802195828,5.759567311539265e-16,False,-0.24197634117225064,0.005091665701936421,0.21839935607199124,T4,Conserved Action
MACS0416,0.034743735694722666,0.02998909841603492,6.082060539222691e-16,False,-0.2430595700164906,0.0047546372786877455,0.21782510887914341,T4,Conserved Action
MACS1149,0.035729750125014004,0.03069435624450012,6.437926681182842e-16,False,-0.2425346850521044,0.005035393880513883,0.21687572268811817,T4,Conserved Action
AbellS1063,0.03640312843456517,0.03246674636713287,5.558034541579349e-16,False,-0.24669380535304963,0.003936382067432298,0.21816344105334906,T4,Conserved Action
Abell370,0.033363775163833154,0.027947235189969888,6.229631000404209e-16,False,-0.24108388747804987,0.005416539973863266,0.21855319226194325,T4,Conserved Action
Abell2744,0.12220981352531979,0.12220981352531979,5.840292636804753e-16,False,-0.12220981352531624,0.0,-3.552713678800501e-15,T5,Conserved Internal Energy
MACS0416,0.12466104003014156,0.12466104003014156,6.218202562270193e-16,False,-0.12466104003014156,0.0,0.0,T5,Conserved Internal Energy
MACS1149,0.12563331259766253,0.12563331259766253,5.348671395198684e-16,False,-0.12563331259766164,0.0,-8.881784197001252e-16,T5,Conserved Internal Energy
AbellS1063,0.12697414276820496,0.12697414276820496,5.671508558529802e-16,False,-0.12697414276820318,0.0,-1.7763568394002505e-15,T5,Conserved Internal Energy
Abell370,0.12136348295221033,0.12136348295221033,6.300273873119838e-16,False,-0.12136348295221033,0.0,0.0,T5,Conserved Internal Energy
Abell2744,0.31914616333251544,0.31914616333251544,305.9022726212433,False,0.1062741309797488,0.0,-0.42542029431226425,T6,Conserved Information
MACS0416,0.22218342872242225,0.21772616145787005,245.1342859703658,False,0.06527111011000208,0.0044572672645522005,-0.27854000430331993,T6,Conserved Information
MACS1149,0.20391394567297505,0.1996744465529008,197.53798493757674,False,0.029516404236353377,0.004239499120074264,-0.2249513516691799,T6,Conserved Information
AbellS1063,0.2311216929080313,0.1288690170934954,241.56163004850714,False,0.038038907159808844,0.1022526758145359,-0.06465524843876835,T6,Conserved Information
Abell370,0.2554940086292401,0.2529127996804572,322.9530790291313,False,0.11996278000508376,0.002581208948782887,-0.3702943707367581,T6,Conserved Information
Abell2744,0.061942152871527156,0.0,1.6435451049886975,False,0.09138280285463551,0.061942152871527156,-0.029440649983108358,T7,Conserved Circulation
MACS0416,0.051771592301905756,0.0,0.8683980236302802,False,0.046086593964348666,0.051771592301905756,0.00568499833755709,T7,Conserved Circulation
MACS1149,0.04336533980093682,0.0,0.7212917694405475,False,0.003913589782130078,0.04336533980093682,0.03945175001880674,T7,Conserved Circulation
AbellS1063,0.049113025156004575,0.0,15.187370648700115,False,0.023790533583622597,0.049113025156004575,0.025322491572381978,T7,Conserved Circulation
Abell370,0.06498207626556862,0.0,0.9573747032096038,False,0.11131342827753699,0.06498207626556862,-0.04633135201196836,T7,Conserved Circulation
Abell2744,1.576722355071464,0.0,1738.762689900991,False,-2.246236445274924,1.576722355071464,3.822958800346388,T8,Conserved Flux
MACS0416,0.8669099144163823,0.0,1254.7862141532605,False,-1.3878166200860544,0.8669099144163823,2.2547265345024368,T8,Conserved Flux
MACS1149,0.3864973224432391,0.0,899.9800062126643,False,-0.8042418303268577,0.3864973224432391,1.1907391527700968,T8,Conserved Flux
AbellS1063,1.0172309534046455,0.0,1216.7358129878507,False,-1.5702909093400415,1.0172309534046455,2.587521862744687,T8,Conserved Flux
Abell370,2.0334129421355396,0.0,1880.1003730747161,False,-2.799865982408802,2.0334129421355396,4.8332789245443415,T8,Conserved Flux
Abell2744,0.12840215053563497,0.12840215053563497,5.840292636804753e-16,False,-0.12840215053563853,0.0,3.552713678800501e-15,T9,Coupled Energy + Phase
