cluster,fast_to_slow_net,fast_to_slow_total,invariant_drift_relative,is_wrong,lost_total,returned_total,stored_total,transport_code,transport_name
MACS0416,0.13036251395242715,0.13036251395242715,7.772753202837741e-16,False,-0.1303625139524307,0.0,3.552713678800501e-15,T9,Coupled Energy + Phase
MACS1149,0.13137546274000167,0.13137546274000167,6.685839243998355e-16,False,-0.1313754627399999,0.0,-1.7763568394002505e-15,T9,Coupled Energy + Phase
AbellS1063,0.1336450212060516,0.1336450212060516,5.671508558529802e-16,False,-0.13364502120605337,0.0,1.7763568394002505e-15,T9,Coupled Energy + Phase
Abell370,0.1272687849134453,0.1272687849134453,6.300273873119838e-16,False,-0.1272687849134524,0.0,7.105427357601002e-15,T9,Coupled Energy + Phase
Abell2744,0.18755070640441218,0.18755070640441218,5.840292636804753e-16,False,-0.1875507064044193,0.0,7.105427357601002e-15,T10,Unified State Transport
MACS0416,0.18702716049889556,0.18702716049889556,4.663651921702644e-16,False,-0.187027160498892,0.0,-3.552713678800501e-15,T10,Unified State Transport
MACS1149,0.18581723884942214,0.18581723884942214,8.023007092798026e-16,False,-0.18581723884942303,0.0,8.881784197001252e-16,T10,Unified State Transport
AbellS1063,0.18989474547081464,0.18989474547081464,5.671508558529802e-16,False,-0.18989474547081464,0.0,0.0,T10,Unified State Transport
Abell370,0.18702610183392387,0.18702610183392387,6.300273873119838e-16,False,-0.18702610183391677,0.0,-7.105427357601002e-15,T10,Unified State Transport
Abell2744,1125.5547132851025,37.33497958177054,0.0,True,-1051.0953297280794,1088.219733703332,2101.980083849641,WR1,Wrong: Random Transport
MACS0416,1128.9666756597749,37.33497958177054,0.0,True,-1054.5058756564586,1091.6316960780043,2108.8025921526923,WR1,Wrong: Random Transport
MACS1149,1131.3593199639024,37.33497958177054,0.0,True,-1056.8978142629405,1094.0243403821319,2113.587175063302,WR1,Wrong: Random Transport
AbellS1063,1128.4112240420543,37.33497958177054,0.0,True,-1053.9598613726027,1091.0762444602838,2107.701126251116,WR1,Wrong: Random Transport
Abell370,1123.4027424110948,37.33497958177054,0.0,True,-1048.9406959498722,1086.0677628293242,2097.673479197426,WR1,Wrong: Random Transport
Abell2744,1.9851164624018587,1.9851164624018587,0.0,True,1.684220716188161,0.0,-3.6693371785900197,WR2,Wrong: Non-conserved Transport
MACS0416,1.339841416166582,1.339841416166582,0.0,True,1.0351201678217983,0.0,-2.37496158398838,WR2,Wrong: Non-conserved Transport
MACS1149,0.8789570730662524,0.8789570730662524,0.0,True,0.5712002953090369,0.0,-1.4501573683752893,WR2,Wrong: Non-conserved Transport
AbellS1063,1.4279113089535675,1.4279113089535675,0.0,True,1.1166496007411064,0.0,-2.544560909694674,WR2,Wrong: Non-conserved Transport
Abell370,2.388659474272817,2.388659474272817,0.0,True,2.0905545865726616,0.0,-4.479214060845479,WR2,Wrong: Non-conserved Transport
Abell2744,1.5898286248593045,0.0,0.0,True,-2.3185043097088176,1.5898286248593045,3.908332934568122,WR3,Wrong: Pure Diffusion
MACS0416,0.8889661807240037,0.0,0.0,True,-1.4217522795178832,0.8889661807240037,2.310718460241887,WR3,Wrong: Pure Diffusion
MACS1149,0.4149856779577692,0.0,0.0,True,-0.8103706603455447,0.4149856779577692,1.225356338303314,WR3,Wrong: Pure Diffusion
AbellS1063,1.0386447902352591,0.0,0.0,True,-1.6067398578324505,1.0386447902352591,2.6453846480677097,WR3,Wrong: Pure Diffusion
Abell370,2.0401144309149934,0.0,0.0,True,-2.8997828413887596,2.0401144309149934,4.939897272303753,WR3,Wrong: Pure Diffusion
Abell2744,0.0,0.0,0.0,True,-0.0,0.0,0.0,WR4,Wrong: Frozen Transport
MACS0416,0.0,0.0,0.0,True,-0.0,0.0,0.0,WR4,Wrong: Frozen Transport
MACS1149,0.0,0.0,0.0,True,-0.0,0.0,0.0,WR4,Wrong: Frozen Transport
AbellS1063,0.0,0.0,0.0,True,-0.0,0.0,0.0,WR4,Wrong: Frozen Transport
Abell370,0.0,0.0,0.0,True,-0.0,0.0,0.0,WR4,Wrong: Frozen Transport
