transport_number,transport_code,transport_name,invariant_name,invariant_kind,is_wrong,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,phase_emergence_score,orientation_emergence_score,multiplicative_coupling_score,invariant_drift_relative,fast_slow_exchange,n_families,wave_modes,wave_families,propagating,standing,travelling,transverse,longitudinal,mixed,polarization_like,attenuation,dispersion,coherence_length,mode_stability,fast_to_slow_total,returned_total,stored_total,lost_total,fast_to_slow_net,wave_emerged
3,T3,Conserved Orientation,|v̂|² = 1 (orientation unit),orientation,False,MACS1149,MACS J1149,0.15503525299446533,-0.09803395510335351,0.08261587159518714,-0.018384376651218812,0.09389244307335871,0.10757983697988965,-0.030621485711364915,-0.08198028142289666,0.2386631730478257,2.220446049250313e-16,0.007617690010761889,0.9837948127062867,0.01346257840956935,0.0,-4.2963201749900486e-05,0.0,3.5923438650227326,0.9837948127062867,20,2,20,0.0,0.0,0.0,0.5505768250386578,0.4905742836942157,0.27009883156197506,0.04908853603473362,0.0,0.0,4.0,0.7601441111377185,0.7225119925909711,0.0,-0.7214896326888978,-0.0010223599020733332,0.7225119925909711,True
4,T4,Conserved Action,A = ∑K/2·u² + V,action,False,MACS1149,MACS J1149,0.186667096849116,0.01339115086646957,0.08312497653517922,0.017081335679516998,0.09259787588125538,0.10921168445507813,-0.03289971067739335,-0.0851585419796163,0.23666189797222614,2.220446049250313e-16,0.003632705256375517,0.9984772877431659,0.003146701486386685,0.0,-0.004027947956136272,0.0,6.437926681182842e-16,0.9984772877431659,20,2,20,0.0,0.0,0.0,0.5974907131735138,0.4944864433554697,0.2954510576950939,0.027548043967562275,0.0,0.0,4.0,0.9715008169293154,0.03069435624450012,0.005035393880513883,0.21687572268811817,-0.2425346850521044,0.035729750125014004,True
5,T5,Conserved Internal Energy,E_fast + E_slow,energy,False,MACS1149,MACS J1149,0.19882537758370547,0.0053750539026060475,0.08888081713725976,0.013644419578257018,0.09061025530866976,0.11089147212753252,-0.032804418504213104,-0.08725087259470125,0.23691080906428397,2.220446049250313e-16,0.0028659294907087424,0.9998930190033188,0.003685305435839685,0.0,-0.004794723721803047,0.0,5.348671395198684e-16,0.9998930190033188,20,2,20,0.0,0.0,0.0,0.45961592498771686,0.4927453682822453,0.22647361822645737,0.036022997672959134,0.0,0.0,4.0,0.9743529579928888,0.12563331259766253,0.0,-8.881784197001252e-16,-0.12563331259766164,0.12563331259766253,True
6,T6,Conserved Information,H = -∑p·log(p),information,False,MACS1149,MACS J1149,0.195775464807598,-0.0010125935567454772,0.08789461179960446,0.011848290245497611,0.0912401609400255,0.11037851376168852,-0.032775259269118326,-0.08647154083871396,0.23746376007329673,2.220446049250313e-16,0.002598804615695318,0.9998071578665243,0.00426745380841233,0.0,-0.005061848596816471,0.0,197.53798493757674,0.9998071578665243,20,2,20,0.0,0.0,0.0,0.4959172671125347,0.49300411985902765,0.2444892557957095,0.03464078131219572,0.0,0.0,4.0,0.9643958436876557,0.1996744465529008,0.004239499120074264,-0.2249513516691799,0.029516404236353377,0.20391394567297505,True
7,T7,Conserved Circulation,circulation Γ,circulation,False,MACS1149,MACS J1149,0.06296531612109457,0.1334626111579965,0.030546513557110792,0.06860791946649322,0.10033269474539652,0.10452052272383941,-0.03287229696001528,-0.08063174295703754,0.23706039902754128,2.220446049250313e-16,0.007208716803887405,0.996480777878514,0.01425554128486344,0.0,-0.00045193640862438466,0.0,0.7212917694405475,0.996480777878514,20,2,20,0.0,0.0,0.0,0.30041850251672714,0.4898878713852286,0.1471713807226574,0.051603187122227334,0.0,0.0,4.0,0.989443092719907,0.0,0.04336533980093682,0.03945175001880674,0.003913589782130078,0.04336533980093682,True
8,T8,Conserved Flux,div j = 0,flux,False,MACS1149,MACS J1149,0.18672025074445514,0.0026460745351624916,0.08227964830758269,0.01340440509727117,0.09254634100847105,0.109458818676855,-0.03301012047999638,-0.08529913010134799,0.23505009396467358,2.220446049250313e-16,0.003316230848579584,0.9998591915627683,0.006634090884302621,0.0,-0.004344422363932205,0.0,899.9800062126643,0.9998591915627683,20,1,20,0.0,0.0,0.0,0.019744945213345,0.49485374228893303,0.009770860030113728,0.025588373755697114,0.0,0.0,4.0,0.9953042510907566,0.0,0.3864973224432391,1.1907391527700968,-0.8042418303268577,0.3864973224432391,True
9,T9,Coupled Energy + Phase,E and arg(z) jointly preserved,energy_phase,False,MACS1149,MACS J1149,0.18289928143698567,0.014381680100243674,0.08126642542421493,0.0175603887755711,0.09305676378403566,0.10894320765952747,-0.032936475404013905,-0.08482215150023957,0.2338215010240674,2.220446049250313e-16,0.0036728197191130997,0.9985616409293164,0.0026760733901691394,0.0,-0.00398783349339869,1.0,6.685839243998355e-16,0.9985616409293164,20,2,20,0.0,0.0,0.0,0.7023599672648214,0.4943157128285569,0.3471875678807521,0.028435662693042096,0.0,0.0,4.0,0.993703437412023,0.13137546274000167,0.0,-1.7763568394002505e-15,-0.1313754627399999,0.13137546274000167,True
10,T10,Unified State Transport,|z|² and arg(z),unified,False,MACS1149,MACS J1149,0.18328654358314853,-0.01090221748539878,0.08274852778144694,0.008933322814743787,0.09288433630322815,0.10937964003308447,-0.032760396951516904,-0.08497759399505754,0.2338703009299934,2.220446049250313e-16,0.0023330468385003907,0.9986227599596624,0.005056186240087082,0.0,-0.005327606374011399,1.0,8.023007092798026e-16,0.9986227599596624,20,2,20,0.0,0.0,0.0,0.6226479861998991,0.4964057334781875,0.3090860302882773,0.017739865025356627,0.0,0.0,4.0,0.9780029498213624,0.18581723884942214,0.0,8.881784197001252e-16,-0.18581723884942303,0.18581723884942214,True
11,WR1,Wrong: Random Transport,no invariant,wrong,True,MACS1149,MACS J1149,-0.022643673128200065,0.14959737975931095,0.0014716485264067616,0.09687812291045277,0.4763741797174879,0.2109760786534122,-0.03423557466984592,0.1468257170866173,0.25694127404130995,2.220446049250313e-16,0.006667218598492584,-0.5106579696589226,0.7078102131373089,0.5,-0.000993434614019205,0.0,0.0,-0.5106579696589226,10,1,10,0.0,0.0,0.0,0.0006787183065768948,0.3536227595523351,0.00024001024053040928,0.9996065863699343,0.0,0.0,86.66666666666667,0.9870754097874836,37.33497958177054,1094.0243403821319,2113.587175063302,-1056.8978142629405,1131.3593199639024,True
12,WR2,Wrong: Non-conserved Transport,deliberately violated,wrong,True,MACS1149,MACS J1149,0.18683685326353675,0.013027718200142056,0.08309061787158173,0.016962753545672924,0.09260295805949495,0.10920805199692445,-0.03291362270393734,-0.08514780151695045,0.23664758692029864,2.220446049250313e-16,0.0036260457568635827,0.999849630713264,0.0062155417483100136,0.0,-0.004034607455648207,0.0,0.0,0.999849630713264,20,1,20,0.0,0.0,0.0,0.1516057318909691,0.49425078528353816,0.07493125204059702,0.028751923936231605,0.0,0.0,4.0,0.995460228257412,0.8789570730662524,0.0,-1.4501573683752893,0.5712002953090369,0.8789570730662524,True
