absolute_depth_error,ambiguity_area,classification,consensus_class,correct_multivalued,depth_candidates,depth_error,false_unique,independent_estimator_class_support,information_used,lane,lens_family,morphology,primary_depth,response_regime,roundtrip_scores,size_error,source_depth,source_size,support_interval,trial_id,unique_success
0.0,0.0775,UNIQUE_DEPTH_SUCCESS,UNIQUE,False,[1.25],0.0,False,6,"['position', 'direction', 'bundle', 'trajectory', 'second', 'receiver_z']",C4,offset_two_source,elliptical_source,1.25,MODERATE,"{'Q_pos': 0.006789624349092346, 'Q_dir': 0.006789624349092346, 'Q_bundle': 0.006789624349092346, 'Q_topo': 0.006789624349092346, 'Q_rich': 0.006789624349092346}",0.0,1.25,1.0,"[1.25, 1.3481012658227849]",T00132fb83f31fd74,True
0.0,0.0775,UNIQUE_DEPTH_SUCCESS,UNIQUE,False,[1.25],0.0,False,6,"['position', 'direction', 'bundle', 'trajectory', 'second', 'receiver_z', 'multipath']",C5,offset_two_source,elliptical_source,1.25,MODERATE,"{'Q_pos': 0.006789624349092346, 'Q_dir': 0.006789624349092346, 'Q_bundle': 0.006789624349092346, 'Q_topo': 0.006789624349092346, 'Q_rich': 0.006789624349092346}",0.0,1.25,1.0,"[1.25, 1.3481012658227849]",T00132fb83f31fd74,True
0.12025316455696178,0.665,CORRECT_MULTIVALUED,MULTIPLE_DEPTH_SOLUTIONS,True,"[1.25, 4.879746835443038, 9.0]",0.030063291139240444,False,1,[],C0,diffuse,elongated_source,4.879746835443038,MODERATE,"{'Q_pos': 2.1724956938836512e-08, 'Q_dir': 2.1724956938836512e-08, 'Q_bundle': 2.1724956938836512e-08, 'Q_topo': 2.1724956938836512e-08, 'Q_rich': 2.1724956938836512e-08}",0.0,5.0,0.5,"[4.781645569620253, 4.977848101265823]",T002a75ca9dd54b2f,False
0.12025316455696178,0.665,CORRECT_MULTIVALUED,MULTIPLE_DEPTH_SOLUTIONS,True,"[1.25, 4.879746835443038, 9.0]",0.030063291139240444,False,1,['position'],C1,diffuse,elongated_source,4.879746835443038,MODERATE,"{'Q_pos': 3.054158306103854e-08, 'Q_dir': 3.054158306103854e-08, 'Q_bundle': 3.054158306103854e-08, 'Q_topo': 3.054158306103854e-08, 'Q_rich': 3.054158306103854e-08}",0.0,5.0,0.5,"[4.781645569620253, 4.977848101265823]",T002a75ca9dd54b2f,False
0.12025316455696178,0.66,CORRECT_MULTIVALUED,MULTIPLE_DEPTH_SOLUTIONS,True,"[1.4462025316455696, 4.879746835443038, 9.0]",0.030063291139240444,False,2,"['position', 'direction']",C2,diffuse,elongated_source,4.879746835443038,MODERATE,"{'Q_pos': 9.035981984675235e-06, 'Q_dir': 9.035981984675235e-06, 'Q_bundle': 9.035981984675235e-06, 'Q_topo': 9.035981984675235e-06, 'Q_rich': 9.035981984675235e-06}",0.0,5.0,0.5,"[4.781645569620253, 4.977848101265823]",T002a75ca9dd54b2f,False
0.5126582278481013,0.9075,FAIL,MULTIPLE_DEPTH_SOLUTIONS,False,"[1.25, 4.487341772151899, 9.0]",0.12816455696202533,False,3,"['position', 'direction', 'bundle']",C3,diffuse,elongated_source,4.487341772151899,MODERATE,"{'Q_pos': 0.005211818647055136, 'Q_dir': 0.005211818647055136, 'Q_bundle': 0.005211818647055136, 'Q_topo': 0.005211818647055136, 'Q_rich': 0.005211818647055136}",0.0,5.0,0.5,"[4.389240506329114, 4.5854430379746836]",T002a75ca9dd54b2f,False
0.41455696202531644,0.9,FAIL,MULTIPLE_DEPTH_SOLUTIONS,False,"[1.4462025316455696, 4.5854430379746836, 9.0]",0.10363924050632911,False,6,"['position', 'direction', 'bundle', 'trajectory', 'second', 'receiver_z']",C4,diffuse,elongated_source,4.5854430379746836,MODERATE,"{'Q_pos': 0.003897632786245577, 'Q_dir': 0.003897632786245577, 'Q_bundle': 0.003897632786245577, 'Q_topo': 0.003897632786245577, 'Q_rich': 0.003897632786245577}",0.0,5.0,0.5,"[4.487341772151899, 4.6835443037974684]",T002a75ca9dd54b2f,False
0.41455696202531644,0.9,FAIL,MULTIPLE_DEPTH_SOLUTIONS,False,"[1.4462025316455696, 4.5854430379746836, 9.0]",0.10363924050632911,False,6,"['position', 'direction', 'bundle', 'trajectory', 'second', 'receiver_z', 'multipath']",C5,diffuse,elongated_source,4.5854430379746836,MODERATE,"{'Q_pos': 0.003897632786245577, 'Q_dir': 0.003897632786245577, 'Q_bundle': 0.003897632786245577, 'Q_topo': 0.003897632786245577, 'Q_rich': 0.003897632786245577}",0.0,5.0,0.5,"[4.487341772151899, 4.6835443037974684]",T002a75ca9dd54b2f,False
4.5284810126582276,0.4375,FAIL,MULTIPLE_DEPTH_SOLUTIONS,False,"[1.25, 7.5284810126582276, 9.0]",2.2642405063291138,False,1,[],C0,two_source,elliptical_source,7.5284810126582276,MODERATE,"{'Q_pos': 2.373090725494361e-05, 'Q_dir': 2.373090725494361e-05, 'Q_bundle': 2.373090725494361e-05, 'Q_topo': 2.373090725494361e-05, 'Q_rich': 2.373090725494361e-05}",1.0,3.0,2.0,"[7.430379746835443, 7.6265822784810124]",T002e0cbac5dffbe3,False
4.5284810126582276,0.4375,FAIL,MULTIPLE_DEPTH_SOLUTIONS,False,"[1.25, 7.5284810126582276, 9.0]",2.2642405063291138,False,1,['position'],C1,two_source,elliptical_source,7.5284810126582276,MODERATE,"{'Q_pos': 1.1869662581939594e-05, 'Q_dir': 1.1869662581939594e-05, 'Q_bundle': 1.1869662581939594e-05, 'Q_topo': 1.1869662581939594e-05, 'Q_rich': 1.1869662581939594e-05}",1.0,3.0,2.0,"[7.430379746835443, 7.6265822784810124]",T002e0cbac5dffbe3,False
