cluster,cluster_id,RMS_kappa,MAE_kappa,MaxAbs_kappa,Corr_kappa,SSIM_kappa,PeakOffset_kappa_pixels,RangeRatio_kappa,RMS_gamma1,Corr_gamma1,RMS_gamma2,Corr_gamma2,RMS_gamma,Corr_gamma,Runtime_seconds,Photon_count,Conservation_error_max
Abell 2744,Abell2744,0.5567551329841356,0.5512439729208275,0.7083742767572403,nan,-0.007204360225312317,34.539832078341085,nan,0.5270141220258556,0.005737523064537286,0.16043218136812565,-0.040122546678372735,0.5430825291500557,-0.019306212786932897,0.010178999044001102,2000,2.220446049250313e-16
MACS J0416,MACS0416,0.5807003077102626,0.5698305641043754,0.7863929271697998,nan,-0.004839926989065742,34.17601498127012,nan,0.5385227104684326,0.002261215011613049,0.16487329408247078,-0.0310539759602191,0.5534139267105139,0.0030662933925946476,0.00898034404963255,2000,2.220446049250313e-16
MACS J1149,MACS1149,0.5176523609073103,0.5092472227693846,0.7149682492017746,nan,-0.0009367790210695901,34.539832078341085,nan,0.5221914306880282,-0.00802314743677196,0.16998354441255104,-0.027790646238031208,0.5346623378419914,0.031232682230784962,0.009018053999170661,2000,2.220446049250313e-16
Abell S1063,AbellS1063,0.5454082918500109,0.539740184038759,0.722885474562645,nan,-0.005570453705823736,33.61547262794322,nan,0.5170680012542324,-0.016052427750152424,0.1590496697899375,-0.008982566300841975,0.5321068678491013,0.01356575970473519,0.009078574948944151,2000,2.220446049250313e-16
Abell 370,Abell370,0.5612759749148191,0.5589670360285329,0.7142609357833862,nan,-0.018607017276945234,34.17601498127012,nan,0.519500503780331,-0.006958272212907265,0.16806239867222825,-0.02498481626984878,0.5350353454873749,-0.009916582236418277,0.009047284023836255,2000,2.220446049250313e-16
