candidate,label,C_max,C_mean,gradC_max,gradC_mean,bend_max,bend_mean,conservation,speed_drift_pre_max,direction_drift_mean,position_error,stable,runtime
Cand 1,Existing control (linear local),0.18,0.0024590375467019076,0.14480796520430544,0.004094980720084417,6.618101068510725e-05,1.835288330587096e-05,2.220446049250313e-16,2.220446049250313e-16,1.0876669605277803e-06,0.0005935771885955002,True,0.01633763313293457
Cand 2,Local linear (no kernel),0.18,0.0024590375467019076,0.14480796520430533,0.004094980720084417,6.618101068510725e-05,1.835288330587096e-05,2.220446049250313e-16,2.220446049250313e-16,1.0876669605277803e-06,0.0005935771885955002,True,0.016200542449951172
Cand 3,Finite-range boxcar (R = 1.5),0.18,0.005594076926536169,0.10273168214276651,0.0063305004528892705,5.400435623137412e-07,8.614002110023032e-08,1.1102230246251565e-16,1.1102230246251565e-16,4.638377684128401e-08,2.7200955375236154e-05,True,0.0163424015045166
Cand 4,Exponential kernel (L = 1.0),0.18,0.00998589620022321,0.07970646312602207,0.007797490585413749,0.008240979149382266,0.0030506823784092734,2.220446049250313e-16,2.220446049250313e-16,1.4588142053430352e-05,0.7407912746902857,True,0.016213178634643555
Cand 5,Gaussian kernel (σ = 1.0),0.18,0.006808121800113301,0.08880024142491623,0.006821606028350531,0.00021212181055618728,4.229744519271142e-05,2.220446049250313e-16,2.220446049250313e-16,1.7765320638605185e-07,0.01233081635004216,True,0.016348838806152344
Cand 6,Inverse-distance (L = 1.0),0.18,0.053503028842479,0.04632080411604179,0.009407840762483449,0.03255299935615685,0.02074309360040417,2.220446049250313e-16,2.220446049250313e-16,0.00012557021322169107,4.496129105974761,True,0.01725172996520996
Cand 7,Compact-support (R = 2.0),0.18,0.0037006919936909332,0.1205087662494253,0.00503641982245371,1.1183045689477922e-07,1.787293680953904e-08,1.1102230246251565e-16,1.1102230246251565e-16,4.568273409627354e-08,5.65874090393633e-06,True,0.016681909561157227
