Candidate,Bend,Conservation,Runtime (s)
Cand 1,6.6181e-05,2.2204e-16,0.016
Cand 2,6.6181e-05,2.2204e-16,0.016
Cand 3,5.4004e-07,1.1102e-16,0.016
Cand 4,8.2410e-03,2.2204e-16,0.016
Cand 5,2.1212e-04,2.2204e-16,0.016
Cand 6,3.2553e-02,2.2204e-16,0.017
Cand 7,1.1183e-07,1.1102e-16,0.017
