Abell2744__attenuation,Abell2744__coherence_length,Abell2744__dispersion,Abell2744__group_velocity,Abell2744__longitudinal,Abell2744__mode_stability,Abell2744__phase_velocity,Abell2744__polarization_like,Abell2744__propagating,Abell2744__standing,Abell2744__transverse,Abell2744__wave_modes,Abell370__attenuation,Abell370__coherence_length,Abell370__dispersion,Abell370__group_velocity,Abell370__longitudinal,Abell370__mode_stability,Abell370__phase_velocity,Abell370__polarization_like,Abell370__propagating,Abell370__standing,Abell370__transverse,Abell370__wave_modes,AbellS1063__attenuation,AbellS1063__coherence_length,AbellS1063__dispersion,AbellS1063__group_velocity,AbellS1063__longitudinal,AbellS1063__mode_stability,AbellS1063__phase_velocity,AbellS1063__polarization_like,AbellS1063__propagating,AbellS1063__standing,AbellS1063__transverse,AbellS1063__wave_modes,MACS0416__attenuation,MACS0416__coherence_length,MACS0416__dispersion,MACS0416__group_velocity,MACS0416__longitudinal,MACS0416__mode_stability,MACS0416__phase_velocity,MACS0416__polarization_like,MACS0416__propagating,MACS0416__standing,MACS0416__transverse,MACS0416__wave_modes,MACS1149__attenuation,MACS1149__coherence_length,MACS1149__dispersion,MACS1149__group_velocity,MACS1149__longitudinal,MACS1149__mode_stability,MACS1149__phase_velocity,MACS1149__polarization_like,MACS1149__propagating,MACS1149__standing,MACS1149__transverse,MACS1149__wave_modes,decomposition_code,decomposition_name,family
0.0,3.0,0.0,0.0,0.49739832006263723,0.9963426112983473,0.0,0.010209502942145843,0.0,0.0,0.629968716201571,2,0.0,3.0,0.0,0.0,0.49800549405210726,0.9928624928457311,0.0,0.008265516222426994,0.0,0.0,0.5551846791092163,2,0.0,3.0,0.0,0.0,0.49709227440621784,0.9951585495508779,0.0,0.014816175347728278,0.0,0.0,0.7559740997485407,2,0.0,7.0,0.0,0.0,0.49646362631782104,0.9980887922650928,0.0,0.01628914385961644,0.0,0.0,0.6924864560809377,2,0.0,4.0,0.0,0.0,0.4944143178653349,0.9950458777992539,0.0,0.02790992524963698,0.0,0.0,0.7632579447931696,2,D1,Full A8 (control),control
0.0,3.0,0.0,0.0,0.5,0.9834264698071462,0.0,1.0,0.0,0.0,0.0,1,0.0,3.0,0.0,0.0,0.5,0.9810869788933279,0.0,1.0,0.0,0.0,0.0,1,0.0,3.0,0.0,0.0,0.5,0.9868306984458899,0.0,1.0,0.0,0.0,0.0,1,0.0,7.0,0.0,0.0,0.5,0.9834396501854269,0.0,1.0,0.0,0.0,0.0,1,0.0,4.0,0.0,0.0,0.5,0.9849729719804391,0.0,1.0,0.0,0.0,0.0,1,D2,Fast removed (slow only),single_layer
0.0,3.0,0.0,0.0,0.5,0.9701781860070531,0.0,1.0,0.0,0.0,0.0,1,0.0,3.0,0.0,0.0,0.5,0.9705705989142313,0.0,1.0,0.0,0.0,0.0,1,0.0,3.0,0.0,0.0,0.5,0.9692429690812875,0.0,1.0,0.0,0.0,0.0,1,0.0,7.0,0.0,0.0,0.5,0.9697077068527519,0.0,1.0,0.0,0.0,0.0,1,0.0,4.0,0.0,0.0,0.5,0.9691238285846765,0.0,1.0,0.0,0.0,0.0,1,D3,Slow removed (fast only),single_layer
0.0,3.0,0.0,0.0,0.49612894017572157,0.945410273879551,0.0,0.01550334863130809,0.0,0.0,0.0,1,0.0,3.0,0.0,0.0,0.49699877428728534,0.9454194748313274,0.0,0.012631601548409366,0.0,0.0,0.0,1,0.0,3.0,0.0,0.0,0.4956829930244401,0.9449664781125182,0.0,0.02229127417458865,0.0,0.0,0.0,1,0.0,7.0,0.0,0.0,0.49479336413041886,0.9450981777175065,0.0,0.024475553233833658,0.0,0.0,0.0,1,0.0,4.0,0.0,0.0,0.4919629304219931,0.9448997876608923,0.0,0.04117399894124618,0.0,0.0,0.0,1,D4,Fast frozen (slow evolves),frozen
0.0,3.0,0.0,0.0,0.4961659397372029,0.9641788058770147,0.0,0.01497409906572178,0.0,0.0,0.0,1,0.0,3.0,0.0,0.0,0.4970609734425989,0.9644159707479819,0.0,0.012139668737328302,0.0,0.0,0.0,1,0.0,3.0,0.0,0.0,0.4957220396875297,0.9636230324153767,0.0,0.021699559262381096,0.0,0.0,0.0,1,0.0,7.0,0.0,0.0,0.494785362144733,0.9639037492525464,0.0,0.023877855351306265,0.0,0.0,0.0,1,0.0,4.0,0.0,0.0,0.49170536690861893,0.9635411097263976,0.0,0.041069445234037105,0.0,0.0,0.0,1,D5,Slow frozen (fast evolves),frozen
0.0,3.0,0.0,0.0,0.4971811453162097,0.9923577732827703,0.0,0.011088333664734829,0.0,0.0,0.5691320338636878,2,0.0,3.0,0.0,0.0,0.49783641884597757,0.9893364997129319,0.0,0.00898150504281281,0.0,0.0,0.4914914549691282,2,0.0,3.0,0.0,0.0,0.4968517314849658,0.996721301066866,0.0,0.016072184222226005,0.0,0.0,0.7004637858035192,2,0.0,7.0,0.0,0.0,0.496175089558348,0.9945006525523772,0.0,0.017665289121023497,0.0,0.0,0.6346099885607832,2,0.0,4.0,0.0,0.0,0.4939823309730831,0.9966308128463334,0.0,0.030181801050117474,0.0,0.0,0.7077421320368511,2,D6,Fast->Slow coupling removed,coupling_direction
0.0,3.0,0.0,0.0,0.4961869150235466,0.9689972745702786,0.0,0.014886285031779911,0.0,0.0,0.2537340175177048,1,0.0,3.0,0.0,0.0,0.49708326022805044,0.9699373612443541,0.0,0.012042549325734231,0.0,0.0,0.30182601890762945,2,0.0,3.0,0.0,0.0,0.4957329172720687,0.9660721155726812,0.0,0.02164356440299453,0.0,0.0,0.15234666140965908,1,0.0,7.0,0.0,0.0,0.4948005006455114,0.9675290686964926,0.0,0.023803759121393542,0.0,0.0,0.214418828565852,1,0.0,4.0,0.0,0.0,0.4917269202869583,0.9655839532656003,0.0,0.04096345148543845,0.0,0.0,0.14385960878137155,1,D7,Slow->Fast coupling removed,coupling_direction
0.0,3.0,0.0,0.0,0.49579063199780476,0.9739234566586455,0.0,0.01646874845860724,0.0,0.0,0.29779227241651973,1,0.0,3.0,0.0,0.0,0.49677654030843604,0.9743928593644472,0.0,0.013329156581938673,0.0,0.0,0.3518305330370505,2,0.0,3.0,0.0,0.0,0.4952925037184078,0.9714720443005914,0.0,0.023916484244409286,0.0,0.0,0.18122988565307377,1,0.0,7.0,0.0,0.0,0.49426945638416137,0.9726537571570897,0.0,0.026296589785610114,0.0,0.0,0.251341897069065,1,0.0,4.0,0.0,0.0,0.4909153941722584,0.9709523729984532,0.0,0.04512908366219581,0.0,0.0,0.17239106394527143,1,D8,Bidirectional removed (independent),coupling_direction
0.0,3.0,0.0,0.0,0.4978117082238715,0.9835202933688492,0.0,0.008547911772710748,0.0,0.0,0.6980774426609425,2,0.0,3.0,0.0,0.0,0.4983262607408855,0.9827123569912662,0.0,0.006913652086659061,0.0,0.0,0.6276310055929943,2,0.0,3.0,0.0,0.0,0.4975509959538044,0.9836947580669071,0.0,0.01243363698196942,0.0,0.0,0.8173415988438424,2,0.0,7.0,0.0,0.0,0.49701559311096355,0.9834284044761716,0.0,0.013676506311475878,0.0,0.0,0.7566376726973187,2,0.0,4.0,0.0,0.0,0.4952500952495251,0.983354707069806,0.0,0.0235622005295818,0.0,0.0,0.8247505451430898,2,D9,Coupling additive (no multiplicative),coupling_form
0.0,3.0,0.0,0.0,0.4962648308470094,0.9751897891031764,0.0,0.01520874314056575,0.0,0.0,0.8458622342558271,2,0.0,3.0,0.0,0.0,0.4971205473804885,0.978226131616615,0.0,0.01232992512569031,0.0,0.0,0.8605475690215986,2,0.0,3.0,0.0,0.0,0.4958919733922728,0.9698633936381368,0.0,0.021594036922703452,0.0,0.0,0.8687140597865369,2,0.0,7.666666666666667,0.0,0.0,0.4949838717651213,0.9727471087266029,0.0,0.023918696077722124,0.0,0.0,0.8343205890017522,2,0.0,4.0,0.0,0.0,0.4922509937938419,0.9573764756442192,0.0,0.040195773946450686,0.0,0.0,0.8515436026366547,2,D10,Coupling multiplicative,coupling_form
