decomposition_number,decomposition_code,decomposition_name,family,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,phase_emergence_score,orientation_emergence_score,multiplicative_coupling_score,fast_slow_exchange_mean,fast_slow_exchange_var,state_persistence_mean,state_persistence_var,relaxation_time,spatial_correlation_length,temporal_persistence_length,propagating,standing,transverse,longitudinal,polarization_like,phase_velocity,group_velocity,attenuation,dispersion,coherence_length,mode_stability,wave_modes,wave_emerged
3,D3,Slow removed (fast only),single_layer,MACS1149,MACS J1149,0.16012115324730794,0.023061098424718193,0.07147059443402809,0.023920942441669972,0.10002737229319443,0.10427312942621154,-0.032952837635028626,-0.07824000172780875,0.23900059598963708,2.220446049250313e-16,0.003411894838590057,0.9999624763427374,0.007105256444510427,0.0,-0.004248758373921732,0.0,0.0,0.0,1.0,8.233634315563857e-17,9.0,4.0,5.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,4.0,0.9691238285846765,1,True
4,D4,Fast frozen (slow evolves),frozen,MACS1149,MACS J1149,0.18224836329055827,0.03838782917040223,0.08195028786228005,0.02706621264995448,0.09449989566434751,0.10737373706322285,-0.03280710175742428,-0.08305074554030163,0.23948721692431718,2.220446049250313e-16,0.0043981738968759294,0.9999157461210544,0.0033158645909880614,0.0,-0.00326247931563586,0.0,0.002317462476439567,0.11077101271508097,0.9999898483712226,5.525508700747065e-06,8.0,4.0,5.0,0.0,0.0,0.0,0.4919629304219931,0.04117399894124618,0.0,0.0,0.0,0.0,4.0,0.9448997876608923,1,True
5,D5,Slow frozen (fast evolves),frozen,MACS1149,MACS J1149,0.2112452306839553,0.010174392264465815,0.0936853902324812,0.01440327350218708,0.08869553595851921,0.1122634372474974,-0.03281111071026129,-0.08913597850846308,0.23746880900580436,2.220446049250313e-16,0.002641386943422268,0.9999582157981609,0.004221764534504025,0.0,-0.005019266269089521,0.0,0.0022397874533275426,0.1386956109001999,0.999986823317623,4.168982887890395e-06,9.0,4.0,5.0,0.0,0.0,0.0,0.49170536690861893,0.041069445234037105,0.0,0.0,0.0,0.0,4.0,0.9635411097263976,1,True
6,D6,Fast->Slow coupling removed,coupling_direction,MACS1149,MACS J1149,0.18000427740964553,0.014926024953204041,0.08004184317341793,0.01802402609341211,0.09359994744486806,0.1084482413550172,-0.03293597439560221,-0.08417614003630075,0.23823782103136182,2.220446049250313e-16,0.003776843651388314,0.998376199806112,0.0024827644881480365,0.0,-0.003883809561123475,0.0,0.0018722780424457685,0.24591772481139504,0.9999827835867017,8.407756437818045e-06,11.0,4.0,2.0,0.0,0.0,0.7077421320368511,0.4939823309730831,0.030181801050117474,0.0,0.0,0.0,0.0,4.0,0.9966308128463334,2,True
7,D7,Slow->Fast coupling removed,coupling_direction,MACS1149,MACS J1149,0.2034111922535439,0.002595678383864359,0.0915907899189633,0.012438921401777592,0.08976920788737244,0.11167800751789649,-0.03269276567820537,-0.08821283423985633,0.23842597100883722,2.220446049250313e-16,0.0027029176950097286,0.9999423330544218,0.0044060870984874755,0.0,-0.004957735517502061,0.0,0.0022358461540743775,0.14020039903361292,0.9999863110605084,4.224431772733563e-06,9.0,4.0,5.0,0.0,0.0,0.14385960878137155,0.4917269202869583,0.04096345148543845,0.0,0.0,0.0,0.0,4.0,0.9655839532656003,1,True
8,D8,Bidirectional removed (independent),coupling_direction,MACS1149,MACS J1149,0.2002687084353548,0.0047316234368928465,0.08883791499446597,0.013379758352944129,0.09044688457659696,0.11103262970829604,-0.03287836366804574,-0.08742359189142698,0.2386234620353207,2.220446049250313e-16,0.002842094667222488,0.9999537373882549,0.0037633485697287083,0.0,-0.004818558545289301,0.0,0.0023741078621630136,0.10495972499447839,0.9999903339973553,2.5508116888483194e-06,9.0,4.0,5.0,0.0,0.0,0.17239106394527143,0.4909153941722584,0.04512908366219581,0.0,0.0,0.0,0.0,4.0,0.9709523729984532,1,True
9,D9,Coupling additive (no multiplicative),coupling_form,MACS1149,MACS J1149,0.1966175027714545,0.005121293797430617,0.08777950572912882,0.013674023374152022,0.09088756362150935,0.11065291359138195,-0.032826730559729046,-0.08694477520168752,0.23789396800566465,2.220446049250313e-16,0.00292717163769075,0.9999334932642998,0.0035246707712095703,0.0,-0.004733481574821039,0.0,0.0015575538241815127,0.3637794639415387,0.9999722266310652,1.74608470384751e-05,10.0,4.0,5.0,0.0,0.0,0.8247505451430898,0.4952500952495251,0.0235622005295818,0.0,0.0,0.0,0.0,4.0,0.983354707069806,2,True
10,D10,Coupling multiplicative,coupling_form,MACS1149,MACS J1149,0.22314212562659247,-0.008762505550986975,0.044294265087912336,0.006412033671052756,0.08048065619895944,0.1216081856814977,-0.03720704147979045,-0.10226139883655455,0.2374608350219205,2.220446049250313e-16,0.002944036499374374,0.9997485952999606,0.013012090510078704,0.0,-0.004716616713137415,1.0,0.0023762462324994245,0.1034680785735604,0.9999552084139722,1.0135919767855327e-05,12.0,4.0,5.0,0.0,0.0,0.8515436026366547,0.4922509937938419,0.040195773946450686,0.0,0.0,0.0,0.0,4.0,0.9573764756442192,2,True
11,D11,Neighbour interaction only on fast,neighbour_assignment,MACS1149,MACS J1149,0.19015011887217037,0.020496304539087632,0.08459883958186111,0.019250546556923757,0.09203681595551419,0.10944271151976932,-0.032891047789371554,-0.08562075551090574,0.23746294504962862,2.220446049250313e-16,0.00396005549341823,0.9994915703503735,0.0018736120268211605,0.0,-0.003700597719093559,0.0,0.0017087687552893107,0.3172165239811278,0.9999785374369464,1.01572447321367e-05,10.0,4.0,5.0,0.0,0.0,0.8938222234723266,0.4946610576270584,0.026681202498918255,0.0,0.0,0.0,0.0,4.0,0.9879009245064786,2,True
12,D12,Neighbour interaction only on slow,neighbour_assignment,MACS1149,MACS J1149,0.18142703735716603,0.03680298380346461,0.08082124101111242,0.025538290546217784,0.09338516895711325,0.10839125586114326,-0.032909276099497106,-0.08444000751355188,0.23791915690526366,2.220446049250313e-16,0.004425622465954794,0.9996073253094777,0.0022507618809521645,0.0,-0.0032350307465569945,0.0,0.002185245133488819,0.14493797723130109,0.9999900769389679,5.941923947722028e-06,8.0,4.0,5.0,0.0,0.0,0.950862024356946,0.4926120354781631,0.03763047673087472,0.0,0.0,0.0,0.0,4.0,0.9270861482451923,2,True
13,D13,Neighbour interaction equally on both,neighbour_assignment,MACS1149,MACS J1149,0.18770018441844033,0.024439054069091217,0.08544642814802217,0.020891229772901483,0.09243050172090773,0.10896201021364711,-0.03265463091329681,-0.0850283352633771,0.23877647996414453,2.220446049250313e-16,0.0043851573945187785,0.9977624598605623,0.001421576643026646,0.0,-0.003275495817993011,0.0,0.0019222778767368095,0.23346916360614936,0.9999857925582913,7.010433409052893e-06,10.0,4.0,4.0,0.0,0.0,0.8790115815712051,0.4938048321443588,0.031227438314884504,0.0,0.0,0.0,0.0,4.0,0.9651256669280115,2,True
14,D14,Layer update order reversed,ordering,MACS1149,MACS J1149,0.18688157568295072,0.013463055752936954,0.083157006979655,0.017118504525439365,0.09261804413697775,0.10918679457200185,-0.03290714914105915,-0.08512780968426656,0.23870852892287076,2.220446049250313e-16,0.003635822008331976,0.9990927688743442,0.0026558921726549346,0.0,-0.004024831204179813,0.0,0.001771950782533566,0.28060022467220064,0.9999801490407076,1.0352969646537661e-05,11.0,4.0,4.0,0.0,0.0,0.7615335992887544,0.4944050842725694,0.027957526761117846,0.0,0.0,0.0,0.0,4.0,0.9949942815796776,2,True
15,D15,Timescales forced equal,timescale,MACS1149,MACS J1149,0.1897878125228023,0.01287149612915223,0.08522614314514357,0.016692850557736318,0.09202943916076825,0.10958953874328475,-0.03279045964742678,-0.08566687857470132,0.23992547404486686,2.220446049250313e-16,0.0032448247093138233,0.9997137746061063,0.0030206036020108467,0.0,-0.004415828503197966,0.0,0.001751117108943863,0.28940652131991407,0.9999788159442684,1.0718755495154272e-05,10.0,4.0,4.0,0.0,0.0,0.7695014219907046,0.49445482903557125,0.027623931860264683,0.0,0.0,0.0,0.0,4.0,0.9943674563976084,2,True
