cluster,cluster_id,RMS_kappa,RMS_gamma1,RMS_gamma2,RMS_gamma,Pearson_kappa,Pearson_gamma1,Pearson_gamma2,Pearson_gamma,SSIM_kappa,SSIM_gamma,MAE_kappa,MAE_gamma,MaxResid_kappa,MaxResid_gamma
Abell 2744,Abell2744,0.1558016447600129,0.08893367159521341,0.08299030147645955,0.06082155109478466,0.014001283242230276,-0.019236431585385298,-0.1848338774998844,0.08948461822239671,-0.010579577674971223,0.10079111678948752,0.11599408065581808,0.047554301753873256,0.5673544960925827,0.180885090200116
MACS J0416,MACS0416,0.18596014429000082,0.09395189005182038,0.09000570356800286,0.06527636650253028,0.018967012754256992,0.008188705263836374,-0.02479769932345269,0.117454428622589,0.00036284712828226834,0.1267427439185498,0.1461718786764981,0.05134077132769456,0.6811211707293156,0.20099176669345717
MACS J1149,MACS1149,0.08559205111477881,0.1278123768760447,0.06566376178835401,0.11556336632138198,0.23902221907516188,-0.10352512804501257,0.011452676368018635,0.007503044877968537,0.10812500268698974,0.012020953045169647,0.06593308570858157,0.0945532483732642,0.26207559333265595,0.3508987431493885
Abell S1063,AbellS1063,0.1353950414190409,0.09423520122637286,0.07039404983719294,0.06971014058135759,0.08951008530735127,-0.07220806756093089,0.11546150145372414,0.08360319633681876,-0.03831386987622776,0.09290241574484286,0.09465925084094111,0.052434406871793876,0.7232545940115189,0.24543273913979405
Abell 370,Abell370,0.17914589435421172,0.14067553995018645,0.09416678048153003,0.09173287793351412,0.1953536511633863,-0.22569789847131413,-0.14146601431922706,-0.017136704816695908,-0.039809785029579534,0.012167844121246081,0.13666501103047943,0.06555557213579805,0.7512443790133145,0.49047744013223943
