cluster,cluster_id,config_label,nphotons,nphotons_actual,grid_n,step,steps,trajectory_sha256,runtime_propagation_seconds,runtime_extraction_seconds,max_conservation_error,rms_kappa,rms_gamma1,rms_gamma2,rms_gamma,mean_abs_kappa,mean_abs_gamma,max_abs_kappa,max_abs_gamma,pearson_kappa,pearson_gamma1,pearson_gamma2,pearson_gamma,ssim_kappa,ssim_gamma,predicted_kappa_mean,predicted_kappa_std,observed_kappa_mean,observed_kappa_std,predicted_gamma_mean,predicted_gamma_std,observed_gamma_mean,observed_gamma_std
Abell 2744,Abell2744,high_accuracy,50000,50000,512,0.015,320,8e271e90926688d28531b40ca5b070302ae34daeceba71eb24e4036df157b586,0.7770473699783906,0.1939501139568165,2.220446049250313e-16,0.15702323322173362,0.08748190292858844,0.08287521283442202,0.060456925326988306,0.11773809852892964,0.047625609800037785,0.5984351368406797,0.17175067420751472,-0.0340760080156942,0.01096064882139122,-0.1830789908205188,0.133703175240157,0.0037934728713896,0.1421010649986775,-0.01039446483790337,0.1321647857755768,0.07228263046669496,0.07973357772226007,0.07129760214988441,0.052876503374525326,0.07598132846631889,0.040499920627978116
MACS J0416,MACS0416,high_accuracy,50000,50000,512,0.015,320,5b39530938a8b593225f393004bc784be37281b35df61dd30f64ca6dd97ccaa9,0.7756201010197401,0.18917898903600872,2.220446049250313e-16,0.18547961918469916,0.09210125867483879,0.087749118252281,0.06523240909185611,0.144615217139996,0.05082006420212829,0.7134482674211907,0.23235128545630973,-0.031004898444411292,0.016076673099488892,-0.020645931417092808,0.08685194161580344,-0.00032193948625990396,0.09815301904553901,0.0010136761047067145,0.13863526091935527,0.07422602945206427,0.09301437229545328,0.07148746588674149,0.050099658392519925,0.0834989090779363,0.05638074111280137
MACS J1149,MACS1149,high_accuracy,50000,50000,512,0.015,320,84156cd167a7ce367038b60b6c7df693792000931abc608381a6057fb496e705,0.7699154829606414,0.19192617502994835,2.220446049250313e-16,0.08949339829543873,0.12730348411504575,0.06734413387282563,0.11469956693071182,0.06779940830934816,0.09313074616389988,0.3141786380582854,0.3513989712983649,0.1562736060210611,-0.0977372270483362,-0.03272414653270085,0.031558814856122885,0.0655017370258336,0.01920611109416231,0.009108704096545498,0.05586354445473066,0.0665279876964022,0.10369419249459962,0.027578788490948126,0.02462243446840458,0.10618757622865749,0.06580201362424441
Abell S1063,AbellS1063,high_accuracy,50000,50000,512,0.015,320,d4fa6c4dbe943f08b7ac620cbf79594276b7af6929214b372b3758e400148b31,0.7718491289997473,0.1938033029437065,2.220446049250313e-16,0.1298710215393105,0.09065867079078964,0.06752248696214518,0.06931549695564362,0.09210100489048381,0.05257100721405667,0.6383998050227229,0.23649864588965253,0.018091640134572675,-0.044668545472845766,0.11890857651290855,0.09834659152445457,-0.010880136487830204,0.10249489341444133,-0.008643992842938708,0.10771273544641051,0.05141604494616768,0.07767486627108716,0.05345789882928459,0.04856780268836645,0.0672595968597144,0.046555725920945985
Abell 370,Abell370,high_accuracy,50000,50000,512,0.015,320,7de84f9b45b5407b1e713f7c2b488c6bbdd2e61bd98d25e0efd140b22af65111,0.7792862469796091,0.18596329190768301,2.220446049250313e-16,0.182024718670184,0.14104957703338059,0.10102530703540508,0.09785208407122334,0.14052701742560225,0.0713759475430192,0.7920699308073083,0.48155357045666275,0.1749575097794272,-0.17924019755005344,-0.15551365828158523,-0.07012601771142704,-0.0077311071046126155,-0.041287552016498266,-0.00197177641760115,0.16765319674619306,0.08096083700454174,0.09672526592160434,0.08837312741348582,0.06160300905825193,0.09705151540649613,0.052774345972008835
