attenuation_log,cluster_id,energy_final,energy_initial,f_irr_mean,f_sol_mean,helicity_total,mode_conversion_initial_to_final_f_irr,perturbation
-0.262144361155597,Abell2744,0.20254842007610663,0.26325504907613373,0.22821585047074483,0.8081240632757337,0.6072350964274692,-0.01693406634709263,L
-0.2621443611479948,Abell2744,0.20254842010770374,0.2632550491151996,0.22821585038647768,0.8081240633358597,0.6072350972155334,-0.016934066355355548,T1
-0.26214436109601164,Abell2744,0.20254842011864516,0.2632550491157355,0.22821585059406777,0.8081240631578718,0.607235095309691,-0.016934066348199495,T2
-0.2551362627186757,MACS0416,0.1842105277817384,0.23774901038248433,0.21977294455304025,0.814550157695464,0.5164195357728291,-0.016637265434347154,L
-0.25513626269483314,MACS0416,0.18421052781515412,0.23774901041994334,0.21977294452071067,0.8145501577218155,0.5164195368880008,-0.0166372654469929,T1
-0.2551362626699595,MACS0416,0.1842105278198514,0.23774901042009214,0.21977294480109894,0.8145501574841099,0.5164195342243405,-0.016637265452168676,T2
-0.24523049412161665,MACS1149,0.15103085725559642,0.19300472350902875,0.20796784869917034,0.8172078020573537,0.4060112943577655,-0.018989021589941785,L
-0.24523049416563758,MACS1149,0.15103085726780752,0.19300472353312975,0.20796784873274077,0.8172078020275564,0.40601129442147665,-0.018989021586743593,T1
-0.24523049413249537,MACS1149,0.15103085727299595,0.19300472353336354,0.20796784881741676,0.8172078019493508,0.40601129426039484,-0.018989021564489755,T2
-0.2373675751569842,AbellS1063,0.15797333630234867,0.2002955120665753,0.21817155471313732,0.8152884431565482,0.41172559383468876,-0.017170211640920946,L
-0.23736757514642268,AbellS1063,0.15797333632065744,0.20029551208767368,0.21817155474250574,0.8152884431248676,0.4117255946099979,-0.017170211654247258,T1
-0.23736757513427276,AbellS1063,0.15797333632246907,0.2002955120875371,0.2181715549142913,0.815288442995073,0.4117255931541285,-0.017170211614182918,T2
-0.2530699288142815,Abell370,0.216839540670967,0.27928354747112627,0.22838639797195642,0.8074893644519034,0.6300494704935099,-0.016394634107324585,L
-0.2530699288688566,Abell370,0.21683954067707206,0.27928354749423134,0.22838639790027737,0.8074893645022179,0.6300494711990554,-0.01639463410737732,T1
-0.2530699287940633,Abell370,0.21683954069433822,0.27928354749558115,0.22838639824295676,0.8074893642042416,0.6300494690736397,-0.016394634135143082,T2
