cluster_id,slice_label,z_index,response_energy,irrotational_fraction,solenoidal_fraction,divergence_rms,curl_rms,helicity_rms,correlation_with_rho,correlation_div_with_kappa_gr
Abell2744,front,0,0.027130224714320042,0.2029044445268133,0.802030158036279,0.0011742990357462605,0.001317517188267647,nan,0.22072676823764734,0.11690323724735649
Abell2744,quarter,2,0.030655850743433924,0.3207012634188529,0.6627067541943686,0.0015220055959698875,0.0018259902961253842,nan,0.7414979676897362,0.4406948046767343
Abell2744,central,4,0.03564021931569729,0.049877805570852106,0.9387867309710619,0.0005019280438555163,0.0019618677802792986,nan,0.3905135943356545,0.0027477982512105806
Abell2744,three_quarter,6,0.03063297300891602,0.3271438097463614,0.6603316557040583,0.0015682275479992672,0.0018275246410967073,nan,0.7370784577773047,-0.44442772241068473
Abell2744,rear,8,0.028726061195240786,0.2173738797875514,0.7758256139242351,0.001240200636597485,0.0013756960774266346,nan,0.21726992665933612,-0.11731383487548326
MACS0416,front,0,0.025047128270539648,0.2280056899721046,0.7514706432515857,0.0011605387985700794,0.0012882073284470152,nan,0.2825797354894421,0.09221141349705145
MACS0416,quarter,2,0.027164458689955595,0.31735855072660096,0.6606433855472923,0.0013980631110623119,0.0016768659982157861,nan,0.7490173426942546,0.36950013345682914
MACS0416,central,4,0.03200207204429394,0.05300908822132445,0.9367516587270659,0.0005118602016957928,0.001783025912555679,nan,0.4844761402629426,-0.007383342047968976
MACS0416,three_quarter,6,0.027306063701538395,0.30645033081713147,0.6861056553253202,0.001381076850513018,0.0017041193889080607,nan,0.7399824734628644,-0.37121940192088104
MACS0416,rear,8,0.026939117541741674,0.21908893918844835,0.7864824012268813,0.0011974711933751899,0.0013704509969868612,nan,0.29561786247343264,-0.11490255588150644
MACS1149,front,0,0.02485280680082808,0.21203912923802284,0.7683651980730528,0.001055873303961963,0.001206364090702542,nan,0.2763917700792403,0.08359149884940038
MACS1149,quarter,2,0.02141432656662682,0.3008529459890655,0.6786782512284081,0.001190294254951501,0.0014185743798147811,nan,0.6733368331223158,0.35428360756957933
MACS1149,central,4,0.02230013761597241,0.06081753410693915,0.9307203549726631,0.0005257170092996462,0.0014100512256050271,nan,0.405111120798098,-0.00924561489660325
MACS1149,three_quarter,6,0.02106253299146207,0.32194001976262077,0.6696257666899917,0.0012149669865494331,0.001404296050600315,nan,0.6706171313403589,-0.3525640351656631
MACS1149,rear,8,0.026126839775287285,0.21334952603877824,0.7865955511327178,0.00109426627869286,0.0012519486519840222,nan,0.24391509222145188,-0.07533354096487714
AbellS1063,front,0,0.023447928297326795,0.24243271268820585,0.7408544054132622,0.0010804296459820378,0.0012068173357873409,nan,0.33337306993277577,0.07047147663445427
AbellS1063,quarter,2,0.022518385135365863,0.32663702011943274,0.6636497628356787,0.0012602471072277743,0.0014154586934175626,nan,0.7575485698233367,0.3471482037372085
AbellS1063,central,4,0.02487233008398268,0.05301913239444224,0.9392602502320729,0.0004936706133587778,0.0014678515835943719,nan,0.5275926118680914,-0.008744457876595897
AbellS1063,three_quarter,6,0.022848152110401414,0.30854144175472875,0.6883893767136436,0.0012026186859902762,0.0014711836062622989,nan,0.7512758666745979,-0.3699407233257044
AbellS1063,rear,8,0.024704941026304057,0.23714143709318217,0.7662518247429754,0.0011032234795760982,0.0012638540755736422,nan,0.31964442670005794,-0.07883306871699755
Abell370,front,0,0.02686527642814656,0.2173420091973108,0.794927228216252,0.0011947430380423855,0.0013799498264638894,nan,0.22800523337409656,0.1112160349177154
Abell370,quarter,2,0.033939016885134704,0.32110834875550937,0.6740872648400403,0.0015633167271490926,0.0018583600525852297,nan,0.7885427031266458,0.40423236389223377
Abell370,central,4,0.03774103715561669,0.048501280980855446,0.9407549040610569,0.0005016849275133215,0.001973171296915112,nan,0.43423272770713195,-0.008227803449851337
Abell370,three_quarter,6,0.03346053991120006,0.3334389547349788,0.6480266441298661,0.0015886832140634879,0.0018659994880287447,nan,0.7685925100829344,-0.39016724505248185
Abell370,rear,8,0.028655590266708438,0.22066224160098327,0.7577456518684174,0.0012508989346863614,0.0014231496708439696,nan,0.2216076560036109,-0.11246376544540068
