cluster_id,control,f_irr_3d,f_sol_3d,rx_proj_rms,ry_proj_rms
Abell2744,WR1,0.03928774890056228,0.9385929325675034,0.20220654542132355,0.20833241654101778
Abell2744,WR2,0.23500559351502898,0.7912601138390088,0.008651065468255125,0.010578137572586481
Abell2744,WR3,0.1892066012561069,0.8301772660622854,0.00858942445435294,0.010426841386052411
Abell2744,WR4,0.09263934624464631,0.868198216053005,0.009578315990175282,0.009684740453384256
Abell2744,WR5,0.20997644223388973,0.8032411124983622,0.008589424454352939,0.010426841386052413
Abell2744,WR6,0.2181280257841086,0.7596559367654641,0.008589424454352939,0.010426841386052413
Abell2744,WR7,0.9744755988289375,0.07829262498337203,0.03889596651660711,0.03787275339132138
Abell2744,WR8,0.04839889443364464,0.9288917378158016,0.03787275339132138,0.03889596651660711
MACS0416,WR1,0.04463709365368801,0.9318442016300851,0.19622755902859182,0.1936215262609507
MACS0416,WR2,0.2273000965582624,0.796817700004567,0.00816447138510087,0.010233063712610995
MACS0416,WR3,0.18810657112874607,0.8271126980903133,0.008112352366371166,0.010062261074334606
MACS0416,WR4,0.0958326826892365,0.8660269003161901,0.009180872733476095,0.009468024849182813
MACS0416,WR5,0.20650479957563106,0.803546913005169,0.008112352366371166,0.010062261074334606
MACS0416,WR6,0.21308691549358735,0.7681926683390594,0.008112352366371166,0.010062261074334606
MACS0416,WR7,0.9659581011841764,0.09565079590100778,0.035744928732064696,0.03584381003862412
MACS0416,WR8,0.05065999826189023,0.9291732809724725,0.03584381003862412,0.035744928732064696
MACS1149,WR1,0.04357992632383174,0.9417157210300988,0.12530559913472236,0.13526789950980053
MACS1149,WR2,0.21566724401732595,0.8001651652915246,0.007032258382552805,0.009411746758499874
MACS1149,WR3,0.17340853574891876,0.8301760731685952,0.0069074051566375486,0.009205464114661919
MACS1149,WR4,0.09625695730287204,0.8639472968451262,0.008749580079744326,0.008875382582429751
MACS1149,WR5,0.1932094706458791,0.8034700941756135,0.0069074051566375486,0.009205464114661919
MACS1149,WR6,0.20215593896369247,0.7801559353211673,0.0069074051566375486,0.009205464114661919
MACS1149,WR7,1.0009419130813786,0.0953456382198112,0.023213879995983257,0.02183354125554122
MACS1149,WR8,0.0453707525331587,0.9460525206593046,0.02183354125554122,0.023213879995983257
AbellS1063,WR1,0.03264590384922068,0.9538059172373966,0.1577705477073165,0.15832609337412262
AbellS1063,WR2,0.2256013150677167,0.7977803176768333,0.007590577913793024,0.009394099282910292
AbellS1063,WR3,0.17970362172243906,0.8323851925146202,0.007466489142420384,0.009190823741792496
AbellS1063,WR4,0.09445938507763711,0.8684880428053725,0.008798877668139327,0.008615983654534953
AbellS1063,WR5,0.19756319501177202,0.8084947772466167,0.007466489142420384,0.009190823741792496
AbellS1063,WR6,0.20735731684373707,0.7786411935257579,0.007466489142420384,0.009190823741792496
AbellS1063,WR7,1.0069853096200727,0.08535795155645688,0.02742232233400975,0.027303416904224498
AbellS1063,WR8,0.031071793481560077,0.9598329189856701,0.027303416904224498,0.02742232233400975
Abell370,WR1,0.044540881059821506,0.93454532729728,0.21136654023342924,0.21896055797376637
Abell370,WR2,0.23589853795716098,0.7901857779981023,0.008801951855650754,0.011035476980350645
Abell370,WR3,0.18947132444484008,0.8308106661410356,0.008738334034144053,0.010858142650779955
Abell370,WR4,0.09217325224830222,0.8688231037722881,0.009734247457658262,0.009726726836327866
Abell370,WR5,0.2098517713997532,0.803806450532864,0.008738334034144053,0.010858142650779955
Abell370,WR6,0.21896352600922014,0.7612839743513885,0.008738334034144053,0.010858142650779955
Abell370,WR7,0.9787324746086373,0.0824666893743358,0.039787785492272715,0.03912282744091884
Abell370,WR8,0.05204503886766184,0.9265701291124071,0.03912282744091884,0.039787785492272715
