cluster_id,lane,depth,depth_profile,orientation_rule,metric,raw_value,reciprocal,d_alpha,d_3alpha,d_6alpha,d_inv_alpha,nearest_target,log_distance,input_dependency
Abell2744,L1,9,gaussian,O3,kappa_pearson,0.2519540490312848,3.968977691943467,1.5381560125235354,1.061034757803873,0.7600047621398919,1.5381560125235354,6alpha,0.7600047621398919,True
Abell2744,L1,9,gaussian,O3,kappa_spearman,0.20565930819960695,4.862410599132372,1.4499830410232943,0.972861786303632,0.6718317906396507,1.4499830410232943,6alpha,0.6718317906396507,False
Abell2744,L1,9,gaussian,O3,kappa_ssim,0.000696265472963193,1436.2337913212357,1.0203904700350315,1.4975117247546939,1.798541720418675,1.0203904700350315,alpha,1.0203904700350315,False
Abell2744,L1,9,gaussian,O3,kappa_mean_difference,-0.05647724862833251,-17.706244979829588,0.8887082017087411,0.4115869469890786,0.11055695132509744,0.8887082017087411,6alpha,0.11055695132509744,False
Abell2744,L1,9,gaussian,O3,kappa_rms_difference,0.16647397149647228,6.006945055799253,1.3581810108700074,0.881059756150345,0.5800297604863638,1.3581810108700074,6alpha,0.5800297604863638,True
Abell2744,L1,9,gaussian,O3,kappa_normalized_rms_difference,0.6454238639835391,1.54936942341739,1.9466796894635772,1.4695584347439148,1.1685284390799335,1.9466796894635772,6alpha,1.1685284390799335,True
Abell2744,L1,9,gaussian,O3,kappa_rms_amplitude_ratio,0.46031314865566375,2.172434141671777,1.7998880509540598,1.3227667962343974,1.0217368005704162,1.7998880509540598,6alpha,1.0217368005704162,True
Abell2744,L1,9,gaussian,O3,kappa_variance_ratio,0.09008551105506461,11.100564211582833,1.0914896170810429,0.6143683623613804,0.3133383666973992,1.0914896170810429,6alpha,0.3133383666973992,True
Abell2744,L1,9,gaussian,O3,kappa_sign_agreement,0.4340277777777778,2.304,1.7743521956885744,1.297230940968912,0.9962009453049308,1.7743521956885744,6alpha,0.9962009453049308,False
Abell2744,L1,9,gaussian,O3,kappa_rms_x,0.16162135847013967,6.187301044030977,1.345333423244577,0.8682121685249147,0.5671821728609334,1.345333423244577,6alpha,0.5671821728609334,True
Abell2744,L1,9,gaussian,O3,kappa_rms_y,0.07439643640739572,13.441504032854326,1.0083868037588881,0.5312655490392256,0.2302355533752444,1.0083868037588881,6alpha,0.2302355533752444,True
Abell2744,L1,9,gaussian,O3,gamma_mag_pearson,0.2665065202861032,3.7522534117606887,1.562542509279393,1.0854212545597304,0.7843912588957492,1.562542509279393,6alpha,0.7843912588957492,True
