F_Dz,cluster_id,curl_rms,divergence_rms,e_total,f_irr_3d,f_sol_3d,f_z,nz,rx_proj_rms,ry_proj_rms,wave_speed_proxy
0.22230515024209105,Abell2744,0.010775461731457952,0.004880878451445099,1.0211477006689784,0.11563051319203471,0.9127349671912256,0.08769603477536336,3,0.004052417718044942,0.014813615837020937,0.03464101615137755
0.20720789477246165,Abell2744,0.002396441466761563,0.0014579617116281906,0.26761504152558147,0.23783603881976711,0.7911825931042362,0.24281628981901315,9,0.008589424454352939,0.010426841386052413,0.03464101615137755
0.15407641389668741,Abell2744,0.0017964684269272397,0.001105829655022646,0.32390524244272323,0.22720976386534159,0.7774665752331673,0.3096031273302908,17,0.015240326647833494,0.0162939697156848,0.03464101615137755
0.2236770725002844,MACS0416,0.009713608870869134,0.0044942738462644275,0.827472551920182,0.12607906368743696,0.9017578839519198,0.09801519347063355,3,0.003908733427231925,0.013251927409902295,0.03464101615137755
0.21518365742639176,MACS0416,0.0022579329349869015,0.0013517943755454605,0.24159709569841817,0.22930657313354022,0.7978919159899817,0.24939293673612845,9,0.008112352366371166,0.010062261074334606,0.03464101615137755
0.15403684212291335,MACS0416,0.001724501069648615,0.0010534951484302353,0.3030438545154298,0.22252099153115162,0.785009566678455,0.3126946053632767,17,0.014512013784868692,0.016012812882826154,0.03464101615137755
0.2548109029195806,MACS1149,0.007128515599813018,0.0031121869636910114,0.4558830760310461,0.11779487981171585,0.8932871894354195,0.0873916684003842,3,0.002835730254612694,0.009867197353980294,0.03464101615137755
0.22538270300511049,MACS1149,0.001983974488218887,0.0012063399138203838,0.19604674497238656,0.2188814453654829,0.8004284146305921,0.22702065279428188,9,0.0069074051566375486,0.009205464114661919,0.03464101615137755
0.1469461951660017,MACS1149,0.0016182374838012523,0.0010277723462063133,0.2829464752731522,0.22582484020613938,0.7784463380152303,0.28750949159277917,17,0.013608977248883818,0.01543385585518271,0.03464101615137755
0.23349861824997833,AbellS1063,0.008390678709162333,0.0036150797767546786,0.6290308776050475,0.11611377836455418,0.8986828452964875,0.08555169797473758,3,0.0032898888595890917,0.011584441180030861,0.03464101615137755
0.21230221959365206,AbellS1063,0.002005491703579417,0.0012315741369933956,0.20334510154570334,0.22801580725975182,0.7991179366466564,0.23597000926410028,9,0.007466489142420384,0.009190823741792496,0.03464101615137755
0.14637457022647565,AbellS1063,0.0015807929289593143,0.0009888567143370615,0.27211133991281866,0.2232502639014665,0.783771107181631,0.30136426722936843,17,0.013979974192194818,0.014639270032019569,0.03464101615137755
0.21428604256041417,Abell370,0.011652361733033316,0.005038394113928965,1.2065839057173617,0.10796396604356046,0.9133771425434306,0.07927792352112109,3,0.004131994276977313,0.016192496423566103,0.03464101615137755
0.20632025649203292,Abell370,0.0024319138056630076,0.0014850832653387402,0.28376213170487685,0.23772100986254185,0.7911371170131509,0.23860088189563858,9,0.008738334034144053,0.010858142650779955,0.03464101615137755
0.15608356002042437,Abell370,0.0017895377106479933,0.0010924508794435887,0.32774651854078085,0.22400350709869635,0.7804013967558829,0.3093702381499268,17,0.015327221832811216,0.016390866955781364,0.03464101615137755
