laboratory_id,cluster,lane,depth,depth_profile,neighbour_stencil,boundary_condition,orientation_rule,projection_axis,midpoint_centered
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,Abell2744,L0,n/a,n/a,padded-fourier,reflect,n/a,n/a,False
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,Abell2744,L1,1,n/a,N4,reflect,R90-transverse,z,False
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,Abell2744,L2,1,n/a,N4-midpoint,reflect,R90-transverse,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,Abell2744,L3,9,gaussian,N6,reflective,O3,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,Abell2744,L4,9,gaussian,N6,reflective,O3,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,Abell2744,L5,9,gaussian,N6,reflective,O3,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,MACS0416,L0,n/a,n/a,padded-fourier,reflect,n/a,n/a,False
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,MACS0416,L1,1,n/a,N4,reflect,R90-transverse,z,False
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,MACS0416,L2,1,n/a,N4-midpoint,reflect,R90-transverse,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,MACS0416,L3,9,gaussian,N6,reflective,O3,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,MACS0416,L4,9,gaussian,N6,reflective,O3,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,MACS0416,L5,9,gaussian,N6,reflective,O3,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,MACS1149,L0,n/a,n/a,padded-fourier,reflect,n/a,n/a,False
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,MACS1149,L1,1,n/a,N4,reflect,R90-transverse,z,False
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,MACS1149,L2,1,n/a,N4-midpoint,reflect,R90-transverse,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,MACS1149,L3,9,gaussian,N6,reflective,O3,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,MACS1149,L4,9,gaussian,N6,reflective,O3,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,MACS1149,L5,9,gaussian,N6,reflective,O3,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,AbellS1063,L0,n/a,n/a,padded-fourier,reflect,n/a,n/a,False
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,AbellS1063,L1,1,n/a,N4,reflect,R90-transverse,z,False
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,AbellS1063,L2,1,n/a,N4-midpoint,reflect,R90-transverse,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,AbellS1063,L3,9,gaussian,N6,reflective,O3,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,AbellS1063,L4,9,gaussian,N6,reflective,O3,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,AbellS1063,L5,9,gaussian,N6,reflective,O3,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,Abell370,L0,n/a,n/a,padded-fourier,reflect,n/a,n/a,False
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,Abell370,L1,1,n/a,N4,reflect,R90-transverse,z,False
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,Abell370,L2,1,n/a,N4-midpoint,reflect,R90-transverse,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,Abell370,L3,9,gaussian,N6,reflective,O3,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,Abell370,L4,9,gaussian,N6,reflective,O3,z,True
PBUF A8 THREE-DIMENSIONAL PROJECTION-LAB-001,Abell370,L5,9,gaussian,N6,reflective,O3,z,True
